id,timestamp,author,likeCount,text
UgzJqYX3WUuzG-JHCyx4AaABAg,1648695600,ゆり彦,0,"クッパキャッスルくそ笑った
楽しそうで可愛い！"
UgwHBD9W8pklJl9ta-B4AaABAg,1622505600,FlareChama,0,thumbnail sus...
UgyOdQaBO1umkgSFgJl4AaABAg,1622505600,富岡儀勇,0,13:20 俺用
UgwWX8l6wdqJLEuW-Ox4AaABAg,1617235200,ZORM DX,1,The thumbnail tho😏
UgwAwNvjlg2eRKiiiq54AaABAg,1617235200,GirlPower-hooksCrazys,0,"🦀🧀

🥵👌🔥"
UgyD1tW-JUay27OKixp4AaABAg,1617235200,なつ[本物],3,34:12 ﾅﾝﾃｺﾄｽﾝﾀﾞ
Ugz1ftfYlDnzlWvHnc94AaABAg,1617235200,Victor Manuel,1,Que onda xdd no entiendo nada pero me entretengo XD
UgxF-6gpZ2KRW-kZ-Bp4AaABAg,1617235200,Takayoshi A,0,"2時間弱も続けてくれてマッチング出来なかったのは辛かったが、簡単に参加出来る大会じゃないから仕方ない
これからもホロメンバーは自信を持って活動していってほしい、ホロライブはそれだけの人気がある"
Ugwsk-6kTCg6mhpYqiB4AaABAg,1617235200,O0O,0,Those are some nice knees!
Ugzv6L_eD44Pw2AYff54AaABAg,1617235200,Ütα - うた。-,5,1:37:19 追い出されるマッギョ草
UgzQaFFc7eu1raRNAVB4AaABAg,1617235200,Matthew,0,Thumbnail
Ugxvd5ubpbEGbPsphoJ4AaABAg,1617235200,オータ,4,サ胸（ムネ）詐欺……
Ugzr-6YlD5-Ae61D1gJ4AaABAg,1617235200,Yuuki 67,1,"Wait rushia is boing boing not pettan




Rushia: ALWAYS HAS BEEN BANG"
UgwK7H7tWzZB4BE9Svl4AaABAg,1617235200,Abdul Fattah Khan Bin Abdul Halil,2,4:19 start
UgxhInIKtmb4IfsDF8l4AaABAg,1617235200,SɑDCɑt๛ʑєrσ,1,"Something with the thumbnail 
Rushia is boing boing hahaha"
Ugzc8t3-JgORf9tMXq54AaABAg,1617235200,うより,5,"ここほんと草
1:49:10"
Ugzcrtp5EhCcLDZXJCF4AaABAg,1617235200,Featherフランシス,0,No word the timestamp hero
UgylqUnvLOTD2I9-0S14AaABAg,1617235200,謎の食通,0,自己紹介動画から来ました。
UgxIDihavQSYCmaOdR14AaABAg,1617235200,Marcel Romario Del Angel Alejandre,2,thumbnail sauce where?
Ugzf2mdqTJnPb9qrWzx4AaABAg,1617235200,ForessTube YT,0,guys there's too many kerbs
UgwPxsKKNmd8pn_j5ad4AaABAg,1617235200,André Santos,11,Who is that person near Flare in the thumbnail? I thought this was Rushia's channel?
UgxmOrJW9f9F_s_THgp4AaABAg,1617235200,Hadii,0,KAWAI KAWAIIII KAWAAI YABE YABEE YABE KAWAII RUSHIA KAWAIIII NEE ❤️
UgzfXud6Hw6ip1gDaYN4AaABAg,1617235200,Ben Henderson,7,The thumbnail is more Ina-ccurate 🐙 than my FPS accuracy
UgyeAf1f31naB8_Kb_F4AaABAg,1617235200,だるだる,0,サムネイル警察ですが、ここの配信のサムネイルの一部に虚偽改竄の疑いがあるとハーフエルフの方から通報があったのですが、、、
UgwV_D5cvRBE9lq6-el4AaABAg,1617235200,誰かの分身,1,今日もありがとう！サムネはいいね、さすがboingboingsexygirlRushia
UgwRnsWsIIk1XH1mDoV4AaABAg,1617235200,Tepes,3,This is cursed thumbnail has boing boings the other girl shouldn't have one..
Ugzsfy-KBP_hOh2O6mx4AaABAg,1617235200,はれ雄,0,誰がフレアとコラボしたのかサムネからだと分かんなかったけど、開いてみたらルシアだった。あれ
UgwJ9MeWXoxtfQivLUB4AaABAg,1617235200,鶴屋にょろ,3,詐胸のるしあ可愛いなぁ
UgzJJ8es0oQHno_RSyp4AaABAg,1617235200,わっほいわっほい,2,"サムネの絵師さんいったい誰なのだろうか。
絵が好きなんだが"
UgwjDlAoTJUVK-vnX0R4AaABAg,1617235200,りんご,20,4:19 声入り
UgwR5SnMAIhwpSgOjeJ4AaABAg,1617235200,たっくん,0,自虐るしあいいなぁw
UgyFqq2wXFK8ADaH5k54AaABAg,1617235200,"sometimes, i dream about amelia watson",1,heavy thinks thumbnail is misleading
UgznFQkWlB2IUmAHmUN4AaABAg,1617235200,david gamer Ramos,0,"Soy simp, te amo"
UgzanSZKLNhc_jTyB2t4AaABAg,1617235200,Davin Nasution,1,Best thumbnail
UgzanSZKLNhc_jTyB2t4AaABAg.9JYFiJQt4Wv9JZ7H2NJWqY,1617235200,Ursa minor,0,Yeah:>
UgzOuXzrfqPMd9tdJvR4AaABAg,1617235200,きりり,7,サムネの左の子誰ですか？
Ugzjl9g5Hk398JxnAUV4AaABAg,1617235200,てむ,0,おつるし:_ハート:
UgytXDFEDvfLneFhtux4AaABAg,1617235200,Himemiya Chikane,4,"Very fun stream, thank you Rushia and Flare!
Also thumbnail :_くさｗ:"
UgwhXtYj5fMghFnPugx4AaABAg,1617235200,Yakko,15,1:31:12
UgwhXtYj5fMghFnPugx4AaABAg.9JYAgDERc689JYDnX_YiI5,1617235200,サハラサハラ,0,助かる
Ugx5V9_Id-ZDm41y3DF4AaABAg,1617235200,Unconscious,1,"Friends, I need your help. I love this art style so much, but searching only bring me nothing. I need to find the artist."
UgzH3U7aXKvbQFGw5Ut4AaABAg,1617235200,Outrider Knight,1,The thumbnail is truth those who deny it are impure
UgwXIAGhRHk7cEdVUI94AaABAg,1617235200,何かよくわからん人,4,るしフレのスプラコラボに期待　ワクワク
UgyhorTTUYuCVC-QlFx4AaABAg,1617235200,はりりん,0,"久しぶり（？）のコラボ楽しかった！
次はスプラかな？（笑）
楽しみにしてるね！:_るんるん:"
UgzGFTkckakyJJ7_nAJ4AaABAg,1617235200,hoovyaj,1,Thumbnail is cursed
UgygT4uqY94b_xk6_j94AaABAg,1617235200,The End,0,Where sauce thumnail?
Ugw-nUn1s8oQAw8df7J4AaABAg,1617235200,Ajay Chavan,1,"38:10
Boing Boing"
Ugx60zSa3PfvylKibul4AaABAg,1617235200,しすこん,2,サムネの胸どなた？
Ugydw6Cz_4AFFpAriCd4AaABAg,1617235200,ジョルノ・ジョバァーナ@starArk,1,なんかるーたんの声変わったふうに聞こえるの俺だけか？それともマイク変えたのか？誰か教えてくれ·····これじゃあ1日18時間しか寝れねぇんだ·····(´；ω；｀)
Ugydw6Cz_4AFFpAriCd4AaABAg.9JY6IJi9bUc9JY8KzgfBmU,1617235200,シナモン王,2,るしあはフレアの前だとメスになるから違って聞こえるんだワ
Ugydw6Cz_4AFFpAriCd4AaABAg.9JY6IJi9bUc9JbYqVEvmJv,1617235200,ジョルノ・ジョバァーナ@starArk,0," @シナモン王  なるほどそういうことか、単にメスになってただけなのか(´・ω・｀)
情報あり〜"
UgyhzSO4pcXPfsNXtX94AaABAg,1617235200,i_eat _dough_NUTS,35,somethings wrong with the thumbnail....
UgyhzSO4pcXPfsNXtX94AaABAg.9JY6CqXLQQd9JY9f1vxrxv,1617235200,Piccuz,1,"Some... ""chest"" problems."
UgwEMuQW641LFeLkGUt4AaABAg,1617235200,りゅうせい,5,サムネ誰ですか？
UgzVV8uVgVYxFWxVmOZ4AaABAg,1617235200,鷲じゃよ,27,サムネに知らない巨乳がいたような・・・
UgyagR1tp27AVWV67JZ4AaABAg,1617235200,マロ,4,"33:11 対戦ありがとうございました！ 1位やったぜ！
いちゃつく二人を尻目に駆け抜けてしまったけど1位だったから良しとするぜ:_あせり:"
Ugx8d0kcfevVuENMhVd4AaABAg,1617235200,Sad Popo,1,thumbnail sus
UgzjQpkodYcoBI-KZEd4AaABAg,1617235200,kind akuma,1,"I really love rushia's ""fu-tan~""
( ꈍᴗꈍ) ಥ‿ಥ"
Ugxu_CFAyoJVIyFP4614AaABAg,1617235200,まお,0,"おつフレるしドライブ🏎💨
ある意味仲良くドライブデートな結果になったね！
楽しい時間をありがとう！"
UgytWHC7Aq9cEcggspl4AaABAg,1617235200,長瀞「ながとろ」京介,29,1:12:11 たいありでした。
UgytWHC7Aq9cEcggspl4AaABAg.9JY4RnqMlmF9JY7TjoLP-6,1617235200,むねのかのん,3,ここ飛ばせて貰ったけどクソ声可愛いヮ
UgytWHC7Aq9cEcggspl4AaABAg.9JY4RnqMlmF9JY80X_Brsh,1617235200,長瀞「ながとろ」京介,1, @むねのかのん  1秒ずらして完璧なタイミングに編集しました！！情報共有ありがとうございました‼️この声確かにめちゃめちゃ可愛い‼️
UgzEpxhJo948MpBSs9p4AaABAg,1617235200,ラッセル,1,I'm late :(
UgxgPNhlOK-6k9IeoFt4AaABAg,1617235200,るしあ推しのひなた,0,可愛い過ぎましたよ
Ugwdi7AGdNAdBPvPFLR4AaABAg,1617235200,Nyandere,129,I don’t understand why people are saying theirs something wrong with the thumbnail. Unless you are not pure of heart.
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79JZVfSFJBTS,1617235200,Crilled Gheese,6,"perfectly fine thumbnail, nothing changed at all"
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79J_GNHemNeC,1617235200,murnita jaya,6,"Actually it's because rushia has boing boing in the thumbnail, you know, she has no bo-"
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79J_OWGHy1IN,1617235200,Yuuki 67,1,I BELIEVE IN PETTAN SUPERIORI-......
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79J_QU9FOG8m,1617235200,Agga Viriyo,1,Haatong be like
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79Ja2hRYfu1J,1617235200,I Love Hololive,0,S A U C E ?
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79K5cOlFqdUv,1617235200,ZORM DX,0,"Yup rushia have big booba in the thumbnail
This kind SUS😳"
Ugwdi7AGdNAdBPvPFLR4AaABAg.9JY3qG7RES79KRsfY-d9SU,1617235200,Nevermore 349,0, @Yuuki 67  Pettan??
UgywPZGgMCQEre_3Xi14AaABAg,1617235200,Rade,1,"Sadly I wasn't around for the stream
The thumbnail is beyond cursed and I would like it to revert back to please

What? I like flat Russia, she's cute
And I'm gonna die"
