id,timestamp,author,likeCount,text
UgwRvXlLMG28XByxjEl4AaABAg,1640995200,ワラソティス,0,俺マナガルムのテイム挫折したから、凄いよ！るしあちゃんおめでとう👏
UgxipGqontKRvdZ2ANV4AaABAg,1630454400,エリート街道,0,かわえ
UgwK-KpoMGywonk08Bd4AaABAg,1617235200,MomonKusa,0,2:08:47 Lol what is that drawing
UgwtpLBnDZyWP0FSnnl4AaABAg,1617235200,ぽいまる,1,"テイムおめでとう！🎉✨😆✨🎊
めっちゃ頑張ってるるしあちゃんが素敵でした！
これからも応援してるので頑張って下さい！"
UgxCnKDleAF_4gp1-kl4AaABAg,1617235200,Towaマジ 天使 [SSRB^35P^星詠み],0,18:09 ☺
UgwkJ-AKpbyXTJWf7Z14AaABAg,1617235200,メランコリィ,2,"2:06 開始 / start
2:54 練習 / practice
7:08 晩酌配信 / drink stream
8:17 作戦 / strategy
13:50 るしあぼいんぼいん / Rushia boing boing
14:48  セルフBGM / self-BGM
16:32 救援物資防衛 / orbital supply drop
19:13 レベル / level
24:39 マナガルム① / managarmr①
34:50 マナガルム② / managarmr②
36:00 静まり給え / please calm down
37:05 悪魔 / devil
43:00 マナガルム③ / managarmr③
50:38 上昇 / rise
56:18 高所恐怖症 / acrophobia
1:00:55 お星様に / RIP
1:05:38 マナガルム④ / managarmr④
1:08:37 マナガルム⑤ / managarmr⑤
1:11:30 捨ててないワイバーン / not abandoned  wyvern
1:16:40 一時撤退 / retreat
1:31:26 マナガルム⑥ / managarmr⑥
1:33:07 マナガルム⑦ / managarmr⑦
1:35:32 マナガルム⑧ / managarmr⑧
1:41:05 マナガルム⑨ / managarmr⑨
1:46:47 マナガルム⑩ / managarmr⑩
1:52:35 成功 / success
1:59:00 ゲット / get
2:03:50 マナガルムお披露目 / show off managar
2:06:54 可愛いから許す / cute is justice
2:07:56 ED / ED
2:08:52 トーク後ED / talk after ED
2:11:15 明日の配信 / tomorrow's stream
2:15:43 スパチャお礼タイム / superchat reading start
2:30:53 明日の配信 / tomorrow's stream
2:49:53 ED / ED
2:50:29 Cパート / C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for Google Translate."
Ugw6uckRNLHud2f8JtN4AaABAg,1617235200,ろいろい,1,"マナガルムテイムおめでとぉぉ
途中危うい場面があったけど、諦めず見事にテイムできたね😌流石やで!"
UgzmMBPFQV0YdpNWjxV4AaABAg,1617235200,幼なじみほのぼの,2,"るしARK助かる！　マナガルムもテイム成功おめでとう！
ここわらった
35:06"
UgxN4JIszTIiXbN_IDp4AaABAg,1617235200,Alejandro Valdes Olvera,3,"Please español ,i love You :v"
UgykqnCy9JGV7AyB7-N4AaABAg,1617235200,Dereck Chen,2,Keep up the good work!!!
UgzsSoDlvsVbxnbI6KR4AaABAg,1617235200,sope1,2,ルシアのARKはワクワクする
UgzBksyJwFm_vIC-tTJ4AaABAg,1617235200,"Mendoza, Daniel Christian",1,I love your voice its to lovely
UgwkdPurdueZ49vrx-h4AaABAg,1617235200,Peex,3,あなたはフラットではありません
UgwNkzd22PDN-uYq9hR4AaABAg,1617235200,JerNyte,1,I miss green rushia
UgyGa-e09B3Y4vWiTyp4AaABAg,1617235200,雪だるまになった謎の生命体【凛】,2,"配信お疲れ様でした〜(*´ω｀*)




1:31:09ここのモンボの言い方が何か好き( ˘ω˘)ｽﾔｧ"
Ugz4hIdtg1MNRaTVqoJ4AaABAg,1617235200,Schwi Chan,3,Enjoyed the stream. Thanks!
Ugyy8d-_yfBAxv05LQB4AaABAg,1617235200,Killer125G -_-,1,Rushia is boing boing
UgxUwpOFgzEtwDLEzC54AaABAg,1617235200,Luis,1,"Nice video, BOING BOING Rushi"
UgwJzZ2aqq_U6iZT0y54AaABAg,1617235200,たま,3,"マナガルムテイムお疲れ様！
飛んでるマナはユキフクロウで凍らせて落とせば回収できたかもしれないですね
同じ方法でケツァルとかも落とせますし"
UgxiAOMgc5dnatYCsIh4AaABAg,1617235200,MA Me,3,Vに興味がないですが、るしあちゃんに惚れたｗ！HOLOLIVEをたのしんでいます
UgxqbxvdwWO4uXemp2h4AaABAg,1617235200,トマトL寸,2,"リアタイできなかった
ｍ(｡≧Д≦｡)ｍｽﾐﾏｾﾝ-!!
メンバー戻れるようになったら即日
戻ります！"
UgyNk5DH1CpHLthrBAx4AaABAg,1617235200,ラフ・コフ,4,"るしあちゃん、マナガルムテイムおめでとう！！！

最初に比べると本当に進歩しているのです！感動あり、涙あり、るしあちゃんの笑顔ありな配信ありがとうなのです！

大好き(最推し)なのです！！！"
UgzPL0seIrgDl4rYycd4AaABAg,1617235200,てば,3,るしあドンドン上手くなってるよ！次のるしArk楽しみ！
UgwqTFPNzHTsCUyFURV4AaABAg,1617235200,ちょむ,3,"マナガルムテイムおめでとう〜
るしARKがどんどん上手くなって成長してるね〜すごい楽しかったよ〜"
UgxuI6862L9XTHdPw6p4AaABAg,1617235200,ゆうゆう,1,るしあちゃんの晩酌配信で霊感があるって言ってたから夜にあった怖い事がほんとにやばそうで心配
UgwHszoLJpy_JF33nCp4AaABAg,1617235200,MAXI2006O,0,soy el sub 510.000 :-)
UgzuR4TfIV0nBszwHIV4AaABAg,1617235200,Yuuma Ivan,2,rushia sukiiii
Ugz1ZNJbxvLnIQP6kIZ4AaABAg,1617235200,アンハッピーリフレイン,2,"テイムおめでとう🎶

るしARKのご繁栄を心よりお祈り申し上げます✨"
UgzxLTh-QbzV08d80a54AaABAg,1617235200,Juan alfredo Mamani sillerico,1,O me perdi el directo para cuando haces otro directo
Ugy9UG10L0-5G1_hAqR4AaABAg,1617235200,せいら,5,"マナガルムテイムおめでとう〜！！
過去のテイムと比べてもかなりの激戦だったから本当におめでとう🎊🎉✨
手に汗握る展開でとっても楽しかったよ！！
お誕生日のお祝いもありがとう🥰
絶対に素敵な1年にするね"
UgzHCyj87gln8wrgXnF4AaABAg,1617235200,Eternal Reroll,0,White hair rushia when
UgylKIIUpydEZjz_9D14AaABAg,1617235200,Retsu,5,今日も可愛い
UgyGggAHEFZD8Ltx9aR4AaABAg,1617235200,Hysterically Hysterical,9,The outro that we always wait for starts at 2:50:28 💖💖💖
Ugw8RyMDLKBe-Pp5soV4AaABAg,1617235200,神の毛,40,今一番好きなVtuber
Ugw8RyMDLKBe-Pp5soV4AaABAg.9DLRm9CgHtz9DLV0oOfKFd,1617235200,よしみ💍💭,4,俺も一番好き！
UgyM1ySyoqSz4oZ7nuV4AaABAg,1617235200,KENVIN M,2,Love you
UgygpmI-Gu7xSluPaQx4AaABAg,1617235200,よしみ💍💭,10,るしあ可愛いすぎて死にそう
UgwAOwV4Jj3bo-D5V8F4AaABAg,1617235200,よしみ💍💭,9,"初めてリアタイで見た
おつるしー
大好きだよぉ
また来るね"
UgzRibX_hwt_wOnA9uV4AaABAg,1617235200,Chin Mustache,10,I can’t get enough of her voice
UgxrxQargHGrfMkeFgd4AaABAg,1617235200,Fortress AndroidPLDN,14,Hello from the Philippines. This is my first Rushia live stream and I enjoyed very much. Thank you for the stream and hope to see more.
UgxrxQargHGrfMkeFgd4AaABAg.9DLPR7RiIgE9DLUeBgoBRF,1617235200,Hysterically Hysterical,2,Yo I'm from Phillipines too welcome! See you next stream!! 😊😊
UgxrxQargHGrfMkeFgd4AaABAg.9DLPR7RiIgE9DLdhmft2rJ,1617235200,Razor Zero26,3,"Welcome to the rabbit hole my fellow Filipino friend. Enjoy your permanent stay, you're not gonna regret it!"
UgymmK5F06GiEip1Gr14AaABAg,1617235200,alice,6,"るしARKのソロテイムは試行錯誤してるゲームの一番面白い部分見れて大好き
すごく上手だったよ"
Ugy7OmEGECAn1mwKzat4AaABAg,1617235200,Yes My Dark,1,:33
