id,timestamp,author,likeCount,text
UgyDxp9b6HDu0jwXcTF4AaABAg,1648724400,ヘイラス・マリオン,0,じゃあね
UgzAlbIOW7G8w7XjBeZ4AaABAg,1648717200,galaxy dragon,0,o7
UgymANb2zpgtyeP7IOJ4AaABAg,1648425600,COCO o7,1,さようなら😿
UgxFujCWo-G4Tn1YT2x4AaABAg,1633046400,popcap990,0,1:14:24
UgwB-asC9HPSMJPF6_t4AaABAg,1630454400,邱冠綸,0,What's the bgm at the start
Ugy2QhOzpKP_7xj3POR4AaABAg,1630454400,Shawn Afshar,0,It was so nice seeing Rushia play a new game with her kouhai! :) I hope we can see more in the future!
UgyFxlFGyLUy3V2sQHx4AaABAg,1630454400,ろいろい,0,"面白ポイント盛り沢山で楽しかったww
久し振りのぼたんちゃんとのコラボ見れて嬉しかったよー"
UgwUuYaB4ElYmceCbM94AaABAg,1630454400,Mecks089,0,"Rushia played COD?
Her and Botan need to play Halo.

And Gmod Prop hunt needs to be a thing with the Hololive girls."
UgxvgJtYtjnOua6R7yV4AaABAg,1630454400,シュテル,0,"CoDは完全初見だったけど、るしあちゃんたちのプレイ見てるの凄く楽しかった！
るしあちゃん昔FPSやってただけあって反応が速いし、左右に揺れて身を守ってるの経験者っぽくてカッコ良かった！
かくれんぼはマップ把握して迷彩作るの奥が深い！るしあちゃんと一緒にどれだろうって探すの楽しかったよ！
そのあとの撃ち合いもマップや敵の位置考えてしっかりキル取るのさするしだ！
楽しい配信をありがとう！"
Ugz4Pn43s8kMluAyyp14AaABAg,1630454400,Takayoshi A,0,135万人耐久はマリオカートを希望します、るしあはポケモンが好きだからポケモンユナイトもかなり推薦します
Ugx0VmsqevsDqL0SYSR4AaABAg,1630454400,蒼い鳥,0,"最初の隠れ鬼みたいなゲーム
めっちゃ面白そう。
また見てみたいな:_きゅん:
おつるしです！"
Ugz8cwOcLLQX9jPySs14AaABAg,1630454400,メアリス / MarySioux Ch.,0,"おつるしでした！
るしあちゃんの声めっちゃ好きなんだけど、そんな好きな人が好きなFPSをやってくれる贅沢よ！
弾の事だんって言うの面白いし可愛らしかった笑
ぼたんちゃんがCoDを広めてくれるの嬉しい。"
UgwE7ux5qiwDg9I4jSZ4AaABAg,1630454400,こんたろ〜,0,"流石経験者！
特に被弾方向に即座に振り向いて射撃する所が凄い。
何万時間以上やってる猛者でも振り向いて射撃まで出来ない人がいるのに出来てる！
1:00:32
1:01:22
1:02:01
1:02:16
見ていて楽しいし、練習したら必ず上手くなるタイプの人やん！
もっとFPS見たい！
BF6もやって欲しい！
ファンレター書いたらFPS動画増やしてくれんかな〜♪"
UgzM3IYeKH0zxcyKq1R4AaABAg,1630454400,Vyse,5,"Thank you for streaming, Rushia! I never would have expected Rushia to be playing a Call of Duty game. I do find it oddly cute though to see Rushia running around and shooting stuff, a little tiny Nekoromancer who's just a little taller than the gun she's holding. Good job, Rushia!:_るんるん::_ハート:"
UgxhpAGcu8vY7jsCb6d4AaABAg,1630454400,rubbermarble888,0,"1:15:08 1:18:49 click this for a surprise

8:18 man literally just walked past that suspicious sofa LOL
11:00 wonder why Rushia's shoot was unbinded
12:35 absolute unit
15:05 trying to teamkill
16:03 25:50  LOL
17:15 17:55 moving plant spotted
25:20 the moving tyre
26:05 this guy is an actual madman
26:40 absolute unit botan
32:50 42:00 rushia trying to smurf on this kids
35:05 becoming an absolute unit
39:17 her first kill!
40:34 running chair alert
41:03 まな板
41:37 comrade barrel is running
47:15 ora ora ora
49:14 he's fighting for his life
53:50 playing tdm!
54:40 55:00 55:18 58:55 1:00:30 1:01:20 1:01:50 tdm kills, she's actually decent at this
55:23 ok maybe not lol
57:20 the jumping genius
57:40 58:10 58:32 knifed
58:40 knife is making her cry
59:05 random cute noises
1:00:40 ""ushiro"" shoots at botan
1:02:40 TIL 凸砂 = quickscope I think
1:03:14 ALMOST LOL
1:13:10 ladder congestion
1:17:50 motorcycle with slowpoke
1:18:35 driver down
1:19:15 first domination kill!
1:26:28 <3"
UgzSs4HQn4VIvt5Pks14AaABAg,1630454400,dani wijaya,1,What a wholesome duo
UgyDDO0oWpKAxkHu0Wh4AaABAg,1630454400,Shawn Afshar,0,"Watching from the archive, let's go!!"
UgxWOOqOCLrnhKZnjg54AaABAg,1630454400,task po,1,るしあちゃんがFPSうまいの以外でした。ワチャワチャ感がとっても楽しそうで、自分もプレイしたくなりました!
UgzUCuRZK-KREFQAu4F4AaABAg,1630454400,MUKAKIN姫,0,るしぼた
UgxouAdNjs4ARj8_fIt4AaABAg,1630454400,デレステの民,1,おつるし！
