id,timestamp,author,likeCount,text
Ugwi6_rvE-drT7wHicl4AaABAg,1648737840,AsAki,0,"今までありがとう
おやすみなさい"
UgwBk_4aIEn-0oBsZCB4AaABAg,1648736460,犬そば,0,消えてしまうのか…
UgwyPtYTCjHaXMjIakJ4AaABAg,1648735140,Faris Daffa,0,LOVE
UgyIXD8JJ0R0_xHHfP94AaABAg,1648735200,赤とも太郎🌋,0,( ´ ▽ ` )ﾉｵﾂｶﾚｻﾏﾝｻ
Ugz8wQa35c9mfTOBInl4AaABAg,1648735200,れふ,0,けい
UgwUrCIjKfFjY9RlS9J4AaABAg,1648699200,IncaRaven,1,BEGONE xD
Ugx2QKaTaAjmaUmEQcp4AaABAg,1648695600,Pan,1,Supongo que aquí se da el adiós..
Ugwy-0A-ljVHdle71PZ4AaABAg,1648681200,Chin Chan,1,A few more hours boys and this will be gone sad. I hope she's doing well now.
UgxG-MAGpeGFsM9_5mR4AaABAg,1648670400,KawaLynn,1,♥
UgyGQXUBywe7Yl8B_F94AaABAg,1648666800,TrappedinaBrain,0,There is about to be a big hole in YouTube soon when these are gone
UgyCUCyWiLs-t6TfiRp4AaABAg,1648663200,Loop1e -,0,"Figured i would leave a mark of me being present in front of the fall of a legendary figure. Thank you Rushia for everything. Even though i am not your biggest fan out there, i do sincerely hope you will do well in the future. ありがとございます. Otsu!"
UgxzF7R2PumymysxwCx4AaABAg,1648684800,Sal Shoker,0,Thank You For The Relaxing ASMR Rushia❤❤
UgxB4IlytLvfA-fyhC94AaABAg,1648684800,Atrシア,3,"見納めに来ました。
なんやこのASMR、楽しすぎるだろ。"
UgzN5LlIuzXdGFPbtv14AaABAg,1648684800,KIRUA,1,"辛いとき、このASMRにるしあに救われた。
ありがとう"
UgwZLLnMMvGUzpbpfKx4AaABAg,1648684800,MD ISHRAK.,0,I cannot understand what is going on
UgztNOVF5TvTSJYmxN94AaABAg,1648598400,Abu Taher,1,おやすみ。
UgxEVHUdGtg3f1sTxN54AaABAg,1648512000,のんのん,3,"長い間助けてもらった。何回自殺をしようと思ってもるしあの配信告知を見るたびに「あぁ、これみたいな」って思わせてくれてありがとう。君がいたから今の自分がいるって思うよ。でも後三日でチャンネル消えちゃうよ…悲しいよ、消さなくてもいいのに…何で何だ

今まで本当にありがとう。愛してるるしあ。
いつかまた、見れたらいいな

長文失礼"
Ugx0XHpsKAuO8hoXQM54AaABAg,1648425600,ぴ,1,るしあちゃんのことしか見てなかったよこれからもるしあちゃんだけが永遠の推しです
Ugzh8B9T556eVpAmTwx4AaABAg,1648425600,ユグ_,0,ありがとう。ずっと大好きだよ。
UgzH9Ywou61PcIrbU_Z4AaABAg,1648339200,キュア一人暮らし,0,"これ本当に良く聞いたなぁ
特に11:40好き
ヘラるのかと思ったら自分で笑い始めちゃって可愛過ぎる"
UgxuG6_qBGHn-2NS-Fl4AaABAg,1648166400,I M,2,14:24
UgyVeXjsHsR4iArku494AaABAg,1648166400,きょーー,37,"アーカイブを聴きながら勉強している者です。このコメントが誰かに読まれることは無いかも知れませんが思いを書かなくてはと思い、このコメントを打っています。
BGMがオルゴールに変わってるしあちゃんが嬉しそうに、楽しそうに話しているのを聞いて涙が溢れてきました。今はもう潤羽るしあとしてこの声は聴けないけど、みなさんの心の中に残っていると思います。このチャンネルが残っている限り聴きに来れるのが唯一の救いです。ありがとうございます。
起きてしまったことはもうどうしようもないけど、僕を含め多くの人がるしあちゃんの事が大好きです。
今まで潤羽るしあをありがとう。"
