id,timestamp,author,likeCount,text
Ugzg9XYoab2n7au9oj54AaABAg,1635724800,ぜりー,5,"リスナー相手に三連勝はマジですごい！！
やってる間にどんどん上達していってたし、ソラとの相性めっちゃいいのでは！？
すっごく楽しかったよ～！またリスナーボコすところ見せてくれ！またねー！"
UgxOExfiJdVtwzNa5XN4AaABAg,1635724800,ミスるな！ひっきー,8,"スマブラ配信おつるし！
3連勝ほんと凄かった！覚醒してたね👍ソラという新しい相棒に出会えたかな？さらに練習したらもっと勝てそう！明日も楽しみにしてるね！:_きゅん:"
UgyIaD5TV6q_8A9VEfh4AaABAg,1635724800,KOBATO Shaman,4,おつるし
UgwZ2qn3b0zbFdzgK3t4AaABAg,1635724800,忠犬ホスト(柴),19,"配信お疲れ様でした！
連勝おめでとう！
ルシアには本当に感謝しかないよ
いつも楽しい配信をありがとう！"
UgzUEkLaRDR2MCbUwl14AaABAg,1635724800,もるげんろーと,7,"おつるし〜
今回はまさかの！！！
どんどん上達してきてるね！かっこよかったよ！ 
後は上からじゃなくて下から復帰するようにしたらもっと良くなると思うよ〜"
UgySL0zWk1iDLCIjZ3V4AaABAg,1635724800,YT C,16,"Thankyou for the stream Rushia, seeing Rushia having fun makes me happy too:_きゅん:"
Ugz4DzIgX0iqtgWj_s54AaABAg,1635724800,KON,48,"Thank you for having fun today at Rushia sharing smiles and laughter.  Yes, I'm still worried about her cat's health, don't forget to take care of her cat and keep him warm, Rushia, don't overdo it.  Don't forget to take care of yourself, Rushia.:_るんるん::_ハート::_ハート::_ハート:"
UgwKGG3WjRpiPtdJh5d4AaABAg,1635724800,S.S,6,"おつるし:_きゅん:
るしあちゃんスマブラ強くなってきてこっちまで嬉しいよ:_大泣き:
次回の配信も楽しみにしてるね👍"
UgwSJo6OwmrdvuEYDJl4AaABAg,1635724800,"fire,",3,"スマブラ楽しかったね！
初めてのキャラで3連勝はホントすごい！
上達つよつよだった！またぼこぼこにされたい！"
UgxHVf7qJbkHL3pbhfV4AaABAg,1635724800,That Time I Got Reincarnated by 🦋🦋,5,"おつるしー
Thank you for today Rushia."
UgwB654V-ntoa0OAtVN4AaABAg,1635724800,守名しづき,10,"リスナー相手に３連勝ほんとすごい！
毎回上手くなっててさすがだよ！今日も楽しい時間をありがとう！"
UgydpxNmKk9MWQfOGbl4AaABAg,1635724800,よしお,4,おつるし！！！スマブラ3連勝と4勝おめでとう！！！次は絶対入る！！
Ugw_lFHXJTifvG_MDmt4AaABAg,1635724800,水無月Minazuki,5,Rushia daisuki:_ハート::_ハート::_ハート:
UgwpbCPBLdcs9IED5i54AaABAg,1635724800,誓帝愉悦,6,"スマブラ配信おつるし～
リスナー相手の３連勝凄かったよ！そして今日も楽しかった！
もちどるの件、るしあちゃんの優しさはみなに伝わっているよ！
ありがとう！"
UgwKVl4_AypfyAkc4Px4AaABAg,1635724800,りんSTANLEY🐳,5,"るしあちゃんスマブラ配信
お疲れ様ですいや参戦したかったでしたが
参戦出来ませんでしたでもあつ森がアプデ
来るから楽しみに待ってます
スマブラ特訓頑張ってください
るーしーあ　あーそーぼ"
