id,timestamp,author,likeCount,text
UgwhqwGP_gjNcnvkJC14AaABAg,1617235200,猫乃わんこ,0,ほうれん草！
Ugzzx81-1IGYN_ZiurJ4AaABAg,1617235200,Gan,0,"I am sorry Rushia as i just saw this,please take care rushia dont push yourself"
UgxT4PfA7a8ONrv5JjR4AaABAg,1617235200,アンハッピーリフレイン,0,るしあちゃんの話す話はいつも面白いよ😊
UgyQaa7R1S3NDAB7GCR4AaABAg,1617235200,Swarde Maru,0,Rushia-chan should disable Hey Siri temporary if she decided to play horror game then.. :D
UgzS_gxPSXzFhkBSKUd4AaABAg,1617235200,ZeroXIris,0,"I've been working really hard these days. I finally finished watching the full archive, I'm so happy to see you well after that RFA stream. I will continue to support you forever cute necromancer ^ ^ :_きゅん:."
UgwOuzMt_MSwlRFOsTF4AaABAg,1617235200,conscript117,0,"Rushia-chan I love you so much~ Thank you for being so wholesome, thank you for making me expect something out of my everyday. |
 ルシアちゃん〜愛してる〜元気でいてくれてありがとう、いつものことを期待してくれてありがとう"
Ugx5kbHfVktBiqqbW394AaABAg,1617235200,あすか,0,1:29:11 可愛すぎる(///∇///)
UgxqigLgsTZ3UKXcwt94AaABAg,1617235200,Victor,0,"I love you rushia, keep doing good❤️私はあなたを愛しています、良いことを続けます"
UgwbQpfTjQwI_PMSdYV4AaABAg,1617235200,雪だるまになった謎の生命体【凛】,0,配信お疲れ様でした〜(๑╹◡╹๑)
Ugz0ddHLmUGc4cC5_oV4AaABAg,1617235200,島咲空,1,いつも丁寧にありがとう。アーカイブで見てるよ
UgxVK2YEUrYJRMyr3-p4AaABAg,1617235200,Skullface,0,るしあのダジャレだけで生きていけます
Ugy2P8FpuG2IZ8Xi6Bp4AaABAg,1617235200,Haise Sasaki,0,Can someone here explain to me when does she changes outfits? I'm new to her channel.
Ugy2P8FpuG2IZ8Xi6Bp4AaABAg.9E0L40qoLHb9E1-qzaaHvJ,1617235200,don’t worry,0,that’s her twin sister
Ugy2P8FpuG2IZ8Xi6Bp4AaABAg.9E0L40qoLHb9E7V1MWiM-W,1617235200,Erwin Nieuwenburg,0,This one is basicly her new one. But she seems to switch to what ever one she likes best for just about every stream.
Ugxg7TGYtPPPQISRdlF4AaABAg,1617235200,Nexcell Pride,3,"A great after event stream... obviously dedicated to Zatsudan and Superchat reading (In that ocassion is ""Supaachaato Orei Time"")

An interesting note about themes on this stream is about New PC, and suddenly I remembered one earlier stream on May... I don't know if was the ""Mario Kart 8 Deluxe"" or the ""Animal Crossing"" (Or another of now private videos) when before reading Superchats, but after gameplay stream, Rushia shown a Powerful Laptop with many LED lights in the screen case... I remember something about it, and I saw something about this: if the lights are configurable, would show a butterfly, a dokuro, a fandead or even Rushia's face."
UgzrFhH6A4cMgf9Lq_R4AaABAg,1617235200,社畜だワン,2,"仕事でリアタイ出来なかったのでアーカイブで見ました!
元気になって良かった:_きゅん:出勤コメ拾ってもらっててビックリ!!ありがとう:_るんるん:"
UgxMUbZ6ADQ2ubP37QN4AaABAg,1617235200,夜勤りん ご,1,"いつもありがとうね！🦋
久しぶりにリアタイできて嬉しかった〜！"
Ugz0HufakTzuKBYOM494AaABAg,1617235200,ペガサスナイト,0,おつるしー、ゆっくり休んでね
UgwqhMgVldIncHZP4Vx4AaABAg,1617235200,ろいろい,2,いつもいつもありがとう✨
Ugy81R8dz6Yu9vnOPzV4AaABAg,1617235200,Zach Yu,0,Thank you as alway Rushia.
UgylasGAw_-sLj4DudZ4AaABAg,1617235200,Flat R,0,"るしあ ありがとう..。本当にありがとう !
You always make my day a lot better"
UgzvtW_A7BugRqszOJV4AaABAg,1617235200,"fire,",0,"配信おつるし
お話楽しかった～いつもありがとう"
Ugz9nfm48MXcsnM4PMp4AaABAg,1617235200,karla velazquez,0,"for a long day of online classes and homework in various subjects, a nice and great video of Russia, lots of encouragement and luck"
Ugw-9X3jzhzKZzGPgVJ4AaABAg,1617235200,tarou567,1,Rushia super boing boing
Ugwnh5bT5kGw0sYELHB4AaABAg,1617235200,Whystillsingleitweird,0,"Thank you for being you, I love you!"
Ugwe3kdaP-DfxTNv5qV4AaABAg,1617235200,メランコリィ,76,"3:42 開始 / start
5:40 マリオとRFA
17:06 海外の人も心配してくれてありがとう / forigners,Thanks for worrying about me.
20:11 花粉症 / hay fever
21:58 蚊 / mosquito
28:33 血が苦手 / dislike of blood
30:14 鼻血エピソード/ nosebleed episode
32:44 保健室エピソード / school Infirmary Episode
39:06 ささやき / whispering
40:52 newPC購入 / I want to buy a new PC.
58:49 プロゲーマー / pro gamer
1:01:14 あつ森配信の謎の声 / unknown voice in Animal Crossing stream
1:11:07 お祓い / exorcism
1:13:44 スバル先輩 / Subaru senpai
1:18:22 面白い話 / funny story
1:21:45 ネクロマンサー芸人 / necromancer and entertainer
1:22:51 ダジャレバトル勃発 / Pun-Battle breaks out.
1:28:49 八重歯 / double tooth
1:29:30 サンタ / Santa
1:31:33 クリスマスの配信 / stream on Christmas Day
1:47:49 ノブナガ(HxH) / Nobunaga(HxH)

1:49:13 スパチャお礼タイム(マリオ) / superchat reading start(Mario)
1:56:07 スパチャお礼タイム(RFA) / superchat reading start(RFA)
1:57:15 余裕と思ってた / I thought I could play RFA.
2:05:09 みんな心配してる / All fandead worried about Rushia.
2:07:05 ヨガファイア / yoga fire
2:09:32 30分やった / I played for thirty minutes.
2:16:53 るしあじゃない / It's not Rushia.
2:18:05 大人 / adult
2:24:19 切り抜き / video clip
2:28:44 Siri / Siri
2:32:41 るしふぁー / rushifer
2:45:00 スパチャお礼タイム(この配信) / superchat reading start(this stream)
2:59:31 初めてのお酒の飲み方 / How to drink alcohol for the first time
3:06:34 配信環境 / stream environment
3:21:42 おやすみ、ちゅっ / Good night,chu
3:21:58 ED / ED
3:22:37 Cパート /C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for DeepL."
Ugwe3kdaP-DfxTNv5qV4AaABAg.9E-WYEK8v6s9E-eS2gFm-I,1617235200,J,0,"These time stamps really helped, I couldn't find the question I sent or the reply :("
