id,timestamp,author,likeCount,text
Ugy07esrbbeXUjOrWMp4AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……るしゃ
UgyBDg8UY1iodb5TZfR4AaABAg,1648717200,サカ,0,これまでありがとう　頑張ってください
UgxnjPjQeyu_aZvGUzx4AaABAg,1646092800,レーニン,1,ウマ娘のガチャ動画だけみてて、めちゃめちゃ楽しませてもらってました。もう見れないなんてぇぇぇぇぇ
UgwWrtgRNUggJEQbUrV4AaABAg,1646092800,고길동 gogildong ゴギルドング,0,るしあのことが好きすぎ‼️ がんばれ！！
Ugwo94i_1rd40XdqsB54AaABAg,1646092800,yameteee~,2,I love you rushia!!!
UgxKuLO1FGpQCZRsmb14AaABAg,1646092800,Keumala Zafira,0,Ada yang bisa jelasin dia kenapa?? 😢
UgxKuLO1FGpQCZRsmb14AaABAg.9YpVZrnyBIz9YsBjWAEhj8,1646092800,Its_Vinz,0,gk sengaja nyalain kamera
UgxKuLO1FGpQCZRsmb14AaABAg.9YpVZrnyBIz9ZBvnkkWoNi,1646956800,Alvin,0, @A z e L  wkwk
UgxKuLO1FGpQCZRsmb14AaABAg.9YpVZrnyBIz9ZIgtZSPwZw,1646956800,Rawrnime,0,kena pecat ama hololive broh
UgyIskLP-60u3LXufUh4AaABAg,1646092800,Chonklord-_ 2556,0,"I see, I was looking for some English comments and it appears I've found one. Although to be honest I've only scrolled a few times, so what would I expect this is a channel of a Japanese Vtuber, of course there'd be mostly Japanese comments (not complaining). Otherwise it's pretty good based off of what I've seen so far, a bit difficult to get a sense of what she's saying based on mostly her body language and reactions, because I can't understand what language she's speaking.

Anyway I should probably watch clips of her videos instead of watching this straight, no context and understanding of language."
UgwECt8HUIVyemKet5h4AaABAg,1646092800,F-35 memes,0,"10:04
Idklul"
UgxE8XAv1ell-QiCITB4AaABAg,1646092800,preset_uciha_46,0,すごいかわいい
UgyuToTp-jw913xJo3V4AaABAg,1646092800,Tmr. Oh,1,Nasi goreng satu 👁️👄👁️
UgwlLk3tvL3Sz9Yk9JF4AaABAg,1643673600,clock,0,素晴らしかったです！！おつるしー！
UgyG0CkJFqCODviDDad4AaABAg,1643673600,anime knight,418,10:05 in that moment Rushia felt the true terror
UgyG0CkJFqCODviDDad4AaABAg.9X6tJrwczw09XD81sYPzNU,1643673600,Vereenia,13,Context? Why did she open the camera?
UgyG0CkJFqCODviDDad4AaABAg.9X6tJrwczw09XDc0R5xm6k,1643673600,Jason,41, @Vereenia  accident
UgxcZEoCuUL3Aujuysd4AaABAg,1643673600,Toram Syndicate,0,10:04
UgyeIcQYHZTZZDqeN414AaABAg,1643673600,биб миста,4,10:05 hmmm
Ugx0SKtxnN7z2kAVooJ4AaABAg,1643673600,ErizoRandom26,0,10:04 xd moment
UgywlXcqTBTfTl7SUUZ4AaABAg,1643673600,Vince Kilat,0,❤
UgxRZgAhHYz55u-aKX54AaABAg,1643673600,Maximum Effort,0,Lol another camera-kun incident
Ugy7U2CVcGK7z69Kag54AaABAg,1643673600,4A6_17_ Ethan Goh,0,10:02
UgxtVi4rjyf3Yw65Gg14AaABAg,1643673600,Tyreczb,4,10:04
UgxJT5Wex0HBs2Etjwl4AaABAg,1643673600,Kishacorheunbl,10,10:05
UgzwXIqbcKwMuIplgHh4AaABAg,1643673600,Slugbunny,1,Webcams need to come with shields like in the good old days. 😱
UgyxaMLyki1oBH2YQBN4AaABAg,1643673600,mene super sus,1,10:05
UgzmLi68o6sPMIqUf_d4AaABAg,1643673600,＇A＇,2,ガチャばっかでエアプしてそう
UgzvI-DPEgT4fqxBQPh4AaABAg,1643673600,Cannabishoujo,1,10:04
UgzOi2nCACs4vnMk2314AaABAg,1643673600,Misery,1,10:04 ey ey ey
UgzrKBroky6nXluaTlx4AaABAg,1640995200,神之者,0,有中国盟友嗎？
UgwxLuxOHa24qUxXMqp4AaABAg,1640995200,Osmar1,0,"Las suyas por si acaso
Naa mentira xd buen video no entendi nada de lo qie dijiste pero veo que tienes apoyo
Yo solo vine por tu voz xd"
UgwjY8CR7KF7yffVdOt4AaABAg,1640995200,진진돌이,9,43:30 1:11:13 1:22:53
UgysmpjBr_vR6KoY-b14AaABAg,1640995200,ところ天の助,0,始まるまで5分30秒は痺れた
UgzDv1jjejYneXk61x54AaABAg,1640995200,トラレオ,0,コンビニダッシュは恒例事項
UgwVFwuwYVdY8ZUIqcR4AaABAg,1640995200,まさまさ,2,こいつ広告の女か？そうだったらさっさと引退してくれ
UgwVFwuwYVdY8ZUIqcR4AaABAg.9W7fwsdA4FW9YouKnw4uvJ,1646092800,まさまさ,1,本当に引退しちゃった( ˊᵕˋก;)💦
UgzAYsEWJUaf3sGnUUp4AaABAg,1640995200,Excalipoor,20,10:05
Ugz8Ms2_TgiyrEoH0Gd4AaABAg,1640995200,EUPATHÉIA  gamer channel,1,"Do twitter da Rushia:""！ Parece que minha conexão com a internet não tem estado muito boa desde a noite passada, então eu gostaria de pedir que você, por favor, espere um pouco até que ela se estabilize (ᵕ̩̩ ㅅ ᵕ̩̩) ... uu "" (Does Japan became Brazil or what?)"
UgxVhgsIhtjauge6HZN4AaABAg,1640995200,Orange,0,Rip Camera-san :3
Ugxy7U39ONnrkt0AF1h4AaABAg,1640995200,M T,0,アニメウマ娘2期の同時視聴やってくれないかなぁ
UgwqHCUPxEnhzClBGbF4AaABAg,1640995200,Skip Johnson,1,💪🦖💪💪🦕💪
Ugyb1iKuMw64f6LJ2vR4AaABAg,1640995200,うるはヴァジラ,0,"窓カフェって言ってるの発想の天才すぎるｗ
マンハッタンちゃんカフェ無事お迎えおめでと！
そしてウマ娘お帰りなさい！
これからの配信も楽しみにしてるよ:_猫耳るしあちゅう::_ハート:
楽しい配信をありがとね！"
UgyEsTL36FbHa0ikcWN4AaABAg,1640995200,IV NickName,0,HIIIIII
Ugw4rwguzv7z9fh74Dx4AaABAg,1640995200,みのるん,0,ぎっくり腰かなお大事に〜
UgzSjlUjlsZ2yiHLkpx4AaABAg,1640995200,池田幸正,0,一人だけと思ったかｗｗ（ひだり）
