id,timestamp,author,likeCount,text
UgzlOA7yDyZBhIz79l14AaABAg,1648699200,削られたウニ,0,おもしろかったな…
UgzHPaVB6bvGtc6BDwl4AaABAg,1646092800,May May,0,"damn I feel lonely now
feel like like standing alone at the end of a party"
Ugwyvn8hQ8Uh3Qx37lF4AaABAg,1646092800,げんき,1,"これをアーカイブで見て、るーちゃんが大好きになって、一気にふぁんでっどになったんだよなぁ
けっこう参ってた時期だったけど、すごくワクワクしながら最初から最後まで一気に見て、元気もらったの覚えてる"
UgwEfpRYeblaJkPSmRl4AaABAg,1638316800,絶対呪いを解くサンズイツカ,3,"ダメだ…
見ようと思ったけど指示厨がウザすぎて見る気失せたわ"
UgzmEmQ1Om-jfVzyz3B4AaABAg,1633046400,蒼い鳥,0,"おつるしです。
猫耳がピクピクしてるの可愛い
壁に過剰反応してるの:_くさｗ:




自分用、特に好きなシーン

10:29     爆笑する、るしゃ

13:12     フラウィーの行動に戸惑う、るしゃ

18:54     トリエルと手を繋いでデレデレ、るしゃ

25:46     フロギーに逃げないでと言う、るしゃ

27:51     フロギーわからせる、るしゃ

45:40     Gステップを見つける、るしゃ

48:02     敵を見つけて喜ぶ、るしゃ"
Ugw4tlyeBCjufCFJHXN4AaABAg,1633046400,もいくんです🐣💛,0,🔪🔪🔪🔪🔪
UgxX7eBx6CpIBh3fQ3p4AaABAg,1630454400,三毛猫,0,駄目だ、トバイフォックスは吹くわw
UgyTcVbqh-GRnaw34Ut4AaABAg,1630454400,山田,1,RPGの固定観念にとらわれてる感じがして好き
UgxPKaFsLX8KoGankax4AaABAg,1630454400,山田雪ファンド,1,やっべ、この配信で更にるーちゃんの事好きになった…
UgxwD5Nxy37rAZKxrKJ4AaABAg,1630454400,ZERO.B-ぜろびー,4,"るしあはRPGをだいぶ駆け足でやる癖があるよね。
自分はかなりじっくりやるタイプだからそこら辺にギャップを感じちゃうなあ。
配信だから急いでやらなきゃいけない気持ちも分かるんだけどね…なんかね…"
UgwRGcEEME6otsvNr7d4AaABAg,1627776000,あおい,0,1:20:12  1:21:44 1:22:14  1:25:38
Ugw7gGqFqDM57lp2Zrh4AaABAg,1627776000,すずめめろん,1,"ホロのアンダーテールみてると
セリフきっちり読む派と
倒してレベルアップする派がわかって面白いな"
Ugx9HPcXSQ_Eugc7IE54AaABAg,1627776000,ジャンヌ・ダルク,1,10:31 ここに来るシーンはおもろい（名前がこちへ来る時）
UgxPmutOLaZGTeotGYl4AaABAg,1625097600,Mさん ニ乃推し,0,コメ欄地獄だなぁ。指示厨とネタバレ厨多すぎ
Ugz29yBvWPO--fciFUp4AaABAg,1625097600,白イチジク黒カミキリ,0,やっぱりどこも民度いいね
UgzSMJCC8BDo_Hw3_eR4AaABAg,1625097600,仮のみっつぅ,0,"顔が見えない分強気に出ちゃう人っているんだよね
どんなに傷つけても相手は自分のこと好きだから赦してくれるだろうって思ってさ
気持ちに余裕があるときは良いけど人と話すのもそれなりにコストかかってるんだよね　精神的に
時には視聴者の生霊に憑かれ時にはランキングに焦って…目立つのも色々大変だよね"
Ugw1LfaXXyNjMnbiKbd4AaABAg,1625097600,山のまつり,0,あのゲームとあのゲームやったことあるんか聞いてみたいわ
UgyV29tBr3wBKn6hWMN4AaABAg,1622505600,Yuya./ユーヤ,0,ルート指示厨きっつ…
Ugxvt59UoOTSPGc0Xid4AaABAg,1622505600,歌い手実況実篤,0,初見でGルートに行きかけるサイコパスルシア
UgwYdeRh2XutOEOkZUx4AaABAg,1622505600,ssseii t🔧,0,"45:42
これが噂の素のGステップ"
