id,timestamp,author,likeCount,text
UgwGAWCCeZkYDjlAmvJ4AaABAg,1648738648,寺村幸司,0,:_るんるん::_おこおこ::_おこおこ::_しょぼん::_しょぼん::_ぺったん::_ぺったん::_ちょうちょ::_ドクロ::_きゅん:
UgwaBya-Dz9CKyqwUKp4AaABAg,1648738440,高海千歌,0,thank you rushia !
UgwDfDjOR_yXr4K2RlV4AaABAg,1648738260,全科企業社楊金雄,0,byebye
Ugy6s8d_pmNqS0a2daB4AaABAg,1648738260,Aite,0,希望以後你可以成功登頂
UgxZ0s0f7cjA6Nimf1V4AaABAg,1648736700,Kovaleski,0,おつるしー全部ありがとう
UgycLJTxrQcTn6FKf6N4AaABAg,1648735140,Faris Daffa,0,LOVE
UgyieZYY7WejBhvsuFZ4AaABAg,1648735140,CHEE,0,おつるし:_るんるん::_ハート::_ハート::_ハート:
UgwbKlknGJD-5HuNkB54AaABAg,1648735200,靜水月,0,"Thank you, Rushia.
おつるし!"
Ugyg3lWFeC7vI401zp54AaABAg,1648731600,仮面ライダーKG,1,今までありがとう……
UgxpnXVRjfEDcMbcEOZ4AaABAg,1648731600,緋村抜刀斎,0,"この叫び声ももう聞けないのか・・・

寂しいです。"
UgzJCdDZnJHigKZvANt4AaABAg,1648728000,Samoth Wang,1,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
おつるし!"
UgwyzD5SOZZZnXXL91l4AaABAg,1648720800,1人に絞れないぺったんもすきな一途なかぷちーの,1,"ばいばいるしあ
:_おつるしのお::_おつるしのつ::_るしあのる::_るしあの:でした:_あせり::_あせり::_あせり::_あせり::_るんるん::_しょぼん::_しょぼん::_ちょうちょ:"
UgybXef8YJNOxuSkiyJ4AaABAg,1648710000,Nadeshiko,2,Thank you Rushia for everything!!! <3
UgwUcT_P20rIAtlzSnx4AaABAg,1648684800,Alfath Rabiul Assyahri,3,"Goodbye
I Miss your loud voice"
UgwUcT_P20rIAtlzSnx4AaABAg.9_AFM4YpCY69_EHznT8IK1,1648717200,T65Bx,1,We'll never forget it...
UgxEJdSBZ4PnbQ27eV14AaABAg,1648512000,紅玉撫子,6,"ここで初めて名前を呼んでもらえて、優しく接しても下さって…。よもやそれから間もなくして、かの一件があろうとは…。物凄く悲しいですが、今は…おつかれさまでした、としか…。

これから先、ここも閉鎖されてしまうとの事ですが…ずっと、私は待ってます…。たとえ、どんなに望み薄な奇跡でも、待つ人が他に誰も居なくなっても。またいつか…再び会える日を。"
UgzdjdrQfRt7lB9hBLB4AaABAg,1646956800,Ｙａｂｅ,3,Youtube why ? Why now ?
UgzdjdrQfRt7lB9hBLB4AaABAg.9Z8qw1Y2js-9_EHvn7D_wh,1648717200,T65Bx,0,Don't blame YouTube. Rushia herself made a mistake. A big one.
UgzdjdrQfRt7lB9hBLB4AaABAg.9Z8qw1Y2js-9_EJnoCW-gE,1648720800,Ｙａｂｅ,0," @T65Bx  Ik, but yt recommand me her video that make me feel sad once again. I kinda not ready for today"
UgyUEpxDVEmc2VfhSQ94AaABAg,1646352000,JN9,4,Last Getting Over It with stream.
UgyUEpxDVEmc2VfhSQ94AaABAg.9Z3a69GMquY9_EHpieDy4l,1648717200,T65Bx,2,Guess we're all simply gonna have to learn to just get over it.
UgyUEpxDVEmc2VfhSQ94AaABAg.9Z3a69GMquY9_EIgi0escH,1648720800,JN9,1, @T65Bx  I wish I could
Ugy2mlP8MoeAaPdDMtx4AaABAg,1646352000,えびもなか,1,This is so funny lol
UgzLq-cYMxb7nw4Btgl4AaABAg,1646092800,INKK,4,"Damn, came up in my recommended so I thought it was a recent stream. :("
Ugwh8PQlfMYAKQLLisR4AaABAg,1646092800,CoDmedyHDD,3,aint no way they did what they did...
Ugw6D1Eo8KRKIopKuYZ4AaABAg,1646092800,meon,5,왜 만남의 말이 있을 때마다 이별의 말이 있어야 합니까? 나는 작별을 싫어한다.
UgyUfap_0ONi6fi_wTN4AaABAg,1646092800,Agis lugandi 🦋💀,1,いつも笑顔にしてくれてありがとうございますその笑顔が恋しいです
UgxbYiyDEVAYrnl34UV4AaABAg,1646092800,robson joao,6,Sentiremos muito sua falta Rushia! Sempre te amaremos e teremos um lugar especial pra você no nosso coração
UgwRW0G5SVz0oslEN9t4AaABAg,1646092800,고길동 gogildong ゴギルドング,2,"Lets get over it!
 cheer up Rushia!
we always love you"
Ugx-yc3WZeBR_LDsvtJ4AaABAg,1646092800,Hikari Tendo,0,潤羽るしあは、あなたが投げられても、約束をサポートするためにいつもそこにいるコンテンツを作ります🙂
UgyWe4SCK-EtgJYYk4Z4AaABAg,1646092800,四谷佑人,4,3週間前には…こんなに…
UgymsibLNasL7YKshQR4AaABAg,1646092800,洪顥恩,1,I cried......
UgzNVI-OhDD1aarUF5B4AaABAg,1646092800,風景好可愛,1,😭♥️😭♥️😭♥️😭♥️😭
UgwSw4os-p78fHejTSh4AaABAg,1646092800,Yuuyake Ch.  マントゆうやけ,4,"そして、私の友人はまた、あなたに将来の幸せで良い人生を願っています。彼はまたあなたに会いたいと思っています。 あなたが私たちに戻ってくることを願っています:(
さようなら潤羽るしあ"
