id,timestamp,author,likeCount,text
Ugw3jQFJgcexFANln794AaABAg,1648736520,匿名 希望,0,😨
Ugz2oead1TvtmegvbHp4AaABAg,1648735200,緋村抜刀斎,0,"お願い事？
るしあのチャンネルが消えないことだよ。"
Ugx5VtdQGkDjVDgr6wB4AaABAg,1648731600,Cursed,0,I can't stand this
Ugx6mSp9Kwi3MNj_Y0p4AaABAg,1647561600,Moeru ch.箔銅モエル走る乳牛汚いバハムート卍組ホロライブオリジン三銃士背広じじい,0,まふまふと結婚やろ？
UgzjIxnghD4cYQHBq0J4AaABAg,1646956800,L,0,49
UgyTYOxW7GZ5Pe2T61t4AaABAg,1646092800,meon,6,Oh yes. kill me i hate this world
UgwL_ROWuzYWgrJLurp4AaABAg,1646092800,Mithkandrea [Outsider Apostle of the Thousand],7,She predicted her end. 7 months. T-T
UgyRN4KbvhQhSJOz5WB4AaABAg,1646092800,rei,2,We will miss you
UgxRw3NWRFnkz-k1tJR4AaABAg,1646092800,Duck,2,Yes kill me
UgwAV9Lak9op-ujPQX14AaABAg,1643673600,Elvee Kyupire,0,49
UgxDeAJq-ow3X00BBeN4AaABAg,1633046400,ピカチュウ,0,ピカピカ⚡️⚡️
Ugx2Q01yecqFiIZ4xMx4AaABAg,1630454400,TRUE,0,35
Ugy-50CPuYSe9g2YVwF4AaABAg,1630454400,Yo-yami Ziruva.ヨーヤミ,0,7・7ってかけ算かと思ったw
Ugye35-fmzG1hWEWCK54AaABAg,1630454400,Victor Isaev,0,?????????????
Ugy7Eyt46Qh-UKmMheF4AaABAg,1630454400,Observer_Zero,0,"0:17 ""Dear Soldiers Of The Soviet Union, This Is An Emergency Call From The Future, We Have Invaded Europe"""
Ugy_CilE7o71vSHrpVR4AaABAg,1630454400,パンパース🎧,0,るしあたん？
UgwCDkcxKbmcuTGr3hx4AaABAg,1630454400,匿名希望匿名希望,1,砂嵐に邪魔されて聞き取れなかったんだけれどるーちゃんの願い事は何っだったのかなー?(無知)
UgzoJBM_MqSJgpcCn8x4AaABAg,1630454400,uk ku,0,"なんて言ってんの？
鼓膜破壊ニキ解説はよ"
UgxA8kIb5f-XA6ZSmRl4AaABAg,1630454400,米酢元気,1,"自分の穴をキリンレモン...(空耳)
クソが。(空耳)"
UgxNlHqt2Noj6HprMSx4AaABAg,1627776000,嫉妬の傀儡MR,1,"み、耳があ、あ、あぁ
何もキこえナイ"
Ugwy1gKaV1omim79YVB4AaABAg,1627776000,ゆゆた,2,0:07 「るしあはあるよ」って言った後ギター()にヘドバンしだしたからロックになりたいのかと思ったw
UgxJtSxLUgmPgpTf1d94AaABAg,1627776000,リゼヘルエスタの頭上の鳩サブレ,1,ん
Ugw1fMmelQ-uXBTQbXR4AaABAg,1627776000,リッキー星人,0,タイトルがジョイマンなのかと思いました。
UgyafqHd959rXrEjhv14AaABAg,1627776000,天上的月半牛,0,良い...ひどい
Ugy-QydBHxzBMM7Yr1d4AaABAg,1627776000,もぎとと,0,耳がァ耳がァァァ
UgzMAnvciwpbnuq0g4h4AaABAg,1627776000,Nabeyaki 鍋燒 man [GD],0,._.
Ugz_FKmzzwfh82Gq4bZ4AaABAg,1627776000,aka🤖,0,これ聞いてから好きな人消えた
