id,timestamp,author,likeCount,text
Ugw7DX9EYpktDLDQcut4AaABAg,1646092800,Mtsuha Myamizu,0,imiss you pls balik ka na
UgxPKe3KGNsPFrw3o1Z4AaABAg,1643673600,이서진,0,울지마ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
Ugx5wBmLUBVrM4UzWat4AaABAg,1625097600,デージマ　ディエゴ,0,オペラオーよりも笑い声でかっ！鼓膜が吹っ飛んだ
Ugxp4d4FGMrseQbpJtd4AaABAg,1619827200,はるはる,1,"I'm sure I will be here.　My 推し might be only more and more, but the love to any of you never change
Thank you
We love you"
UgwTtBZCCTMlwTVVNil4AaABAg,1617235200,Young,0,23:53 28:51 28:59
UgwOXREfOhg2KJWVWzF4AaABAg,1617235200,ジャンヌ・ダルク,2,1:09:18 可愛い❤️
Ugxbqg_8A41gUc2C8Ip4AaABAg,1617235200,Monster Tokusatsu,1,"Halo Dada Rata, Gimana Kabar Papan. Sudah kah Tumbuh. Jangan Artikan Komentar Ini Atau Akan Terjadi Tragedi"
UgyXc9TL9PaHfl6VOTF4AaABAg,1617235200,うた,0,頷くの可愛すぎる
UgwiqG1Wfv26K0ftO5l4AaABAg,1617235200,yupebet gaming,1,1:25:29 HAHAHAHAHA~
UgwDGoe9zVJmP55LgY94AaABAg,1617235200,あ,0,1:27:34
UgyfbipO27W3wp1ScUN4AaABAg,1617235200,tatta t,2,"25:35
お手本のような上げて落とすで笑ったｗ"
UgxOz2odfIc-AjfGtht4AaABAg,1617235200,Ron man,0,1:27:55   おかのした
Ugw4lznly4ZiebJnK-N4AaABAg,1617235200,じゅじゅき,0,初めて見るけど　うるせぇなぁ
Ugywg5l9QYEG0me7vI54AaABAg,1617235200,かなで猫,0,サイゲまだガチャ優しいのにね……
Ugx_6y29rWpVLDLSMOt4AaABAg,1617235200,ただの17歳,8,オグリキャップとメジロマックイーンおったら最強や
Ugy65nL8W7WEQAdKXq14AaABAg,1617235200,ブラックハート,0,普段ガチャ課金などしないるしあちゃんのウマ娘の本気を見た気がするw　ウマ娘は私の好きなコンテンツなのでいつまでも楽しんでください　覇王もいいけど自分でるしあちゃんを選んだライスちゃんも大事にねｗ
UgxREUek7UlNHlV52TB4AaABAg,1617235200,jason蕭,1,嗯......以跑百米的速度衝去超商買點數，回來繼續直播都沒在喘的（可見露醬平常都有再練的👍
UgyCLETDA9MH1rmAY1l4AaABAg,1617235200,れれ,0,これ見ながら回したら出たわｗ
UgylE1R_5H36ZhpcsAR4AaABAg,1617235200,煉夜,0,ここ最近仕事が忙しくて見れてない...
Ugxpjq3OFAh2RvUDH854AaABAg,1617235200,なーちゃま,1,あぁ、リアタイしたいよぉ！！
Ugwm-NJQfAojpqMj2PV4AaABAg,1617235200,たぬぽん,0,無事致命傷ですんでよかった！
UgxBqPV9_U9Z4hpH-H14AaABAg,1617235200,バチボコよっぴ*,2,るしあ様ありがとうございます✨アーカイブ見ながら単発で引いたらオペラオー引きました✨無課金です🎵🎵🎵
UgwC0qicmRo-Wc_ekP14AaABAg,1617235200,Steve J,0,Yes!! Rushia reads Opera Oh's story @ 1:02:03
Ugxe_3IvTHr9HJAr2zN4AaABAg,1617235200,RX,0,1:16:45
UgwzmcfYSfqz8o8Ppzp4AaABAg,1617235200,elvis Hector Tapuy,1,BEST WAIFUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU <3
UgyemZZ8GZCJc6x2XSh4AaABAg,1617235200,Kanae Sumi,0,"毎度神回だが本当に面白かったw
3期生Liveの話だけどしっかり寝て、たっぷり陽の光を浴びてください。お願いします、何でもしますから。"
UgwUotXPXTyv0mfcmXp4AaABAg,1617235200,ゲン,6,"2:43:55    くっそ寒くてすまんかった！　
まさか読んでもらえるとは思わんかった…"
UgwUotXPXTyv0mfcmXp4AaABAg.9KZvdTesI929K_6vDtjRF2,1617235200,Kanae Sumi,1,道連れにしてもらえて良かったなw
UgzC1opVr2DG-l80iSp4AaABAg,1617235200,brothers C.,2,"星3が出なかっただけでグロってどゆこと？
結構確率通りに来てると思うけど"
UgxW0N4a6gF9aygSelx4AaABAg,1617235200,セキ,1,"るしあの配信は面白すぎるｗ
笑い方も大好き！！"
Ugy9WEBnMM_QAYdpIWB4AaABAg,1617235200,Kira Asuka,11,"一回の配信で二回コンビニRTAは草
でも、もしるしあちゃんがガチャゲームで出る時、僕もそうやるかもしれない...
一回目 33:49 37:30 
二回目 48:33 52:53"
UgxJSDoXW7HPAm50MxZ4AaABAg,1617235200,周宅男周宅男,0,笑死   直播中跑去買點卡
Ugz2FbCfVYXeOC5JBvJ4AaABAg,1617235200,DupinAndre,1,"No puede ser, Rushia se volvió aficta a los gachas."
UgxGcc2XxX8xTqkMSp14AaABAg,1617235200,ぺんぎん99,0,こんるしこんるし〜
UgxSf98cuB1dEX4mrL94AaABAg,1617235200,アキロゼと誕生日が同じ人間,1,初天井、欲しいキャラおめでとうございます！！コンビニ2回は笑いましたw自分語りにはなりますが自分もこの前初天井を経験しました天井したあとはスッキリしたような最悪な気分なのか分からなくなりますよねw
UgxJr3F5in2FDXv8JDl4AaABAg,1617235200,Kounomimi,0,What’s the game name?
UgxJr3F5in2FDXv8JDl4AaABAg.9KZ2cu7WQa19KZwUngcOZ_,1617235200,Super Chato Alien,0,It's called Umamusume. There's also anime series.
