id,timestamp,author,likeCount,text
UgwsQrh62EdCL8grVeN4AaABAg,1648717200,パルン,1,るしあありがとう
Ugw0F1r3PSh3JympxTp4AaABAg,1647561600,テーブルマロン,1,( *ﾟーﾟ)っ︎🌸　　受け取ってください♪
UgzKB0FJfcyByb66HcZ4AaABAg,1646956800,IdenityX Unknown,1,"Wooo~~~~ Spooky :_あせり:, COVER CORPORATION PLS DON'T DELETE HER YOUTUBE CHANNEL :_しょぼん::_しょぼん:

Watching Rushia play horror is some what a unique experience , you have such a soothing voice , and it really ease the horror environment :_きゅん::_きゅん:

Noooooooooooooo , A DEAD CAT ! :_えはてな::_えはてな:! That is freaking cruel :_大泣き: noooooooo :_大泣き:

Praying in horror game , that just hilarious:_くさｗ::_くさｗ::_くさｗ::_くさｗ:

Rushia "" Baaaa "":_ハート::_きゅん:"
UgzwpVIufiForO_AcOt4AaABAg,1646352000,Kobato Winga,1,rushia is cute and brave to play horror game. nice girl:chillwcat::yougotthis:
UgxbT1VhN_1UsZnCFOF4AaABAg,1646092800,ねっぺぺぇのネペンテス,0,"怖かったね。最後のはびっくりした。でも全部クリアできてよかった。
見てて楽しかったよ。ありがとうね:_きゅん:
またバイオ2リベンジするの見たいな～"
UgxS6KiEMR45XhtNgTd4AaABAg,1646092800,どんくささにほんチャンピオン,1,"おつるしー！
めちゃくちゃ怖かったぁ……
相変わらずのかわいい声で癒されました:_きゅん:"
UgzNqFnF2X0UZGqCJat4AaABAg,1646092800,い。,0,るしあ...
Ugw2Wnx5IYe6z-oVMYx4AaABAg,1633046400,ジェシャン,1,"ゲーム最後は本当にびっくりした:_あせり:音はやばすぎ..
るしあの歯、全身、ウィンクすごくかわいい:_きゅん::_ハート:特に正月衣装、動きと足はかわいい！！"
UgwJarqXScrf2SBLbw94AaABAg,1630454400,ぜりー,0,まさか初見でグッドエンドに行くとは…さすがネクロマンサー
UgwsPE1ZSvOnOAMOcBp4AaABAg,1630454400,"fire,",0,"夏だからホラー見返したら凄く楽しかった！
やっぱりリアクションがかわいくて大好き"
UgyEy3JxomLV59uIIxd4AaABAg,1619827200,donaco.どな子,2,見本のような綺麗な絶叫で素晴らしい。
UgyV29JOYrqKtEB3o154AaABAg,1617235200,Hanan Tafu,0,Omoshiroiii
UgzeW-0n6dblwnrvEJx4AaABAg,1617235200,PK Scratch,0,"Wait what? Spoilers for the English viewers here...

Boing Boing Nice Body Rushia is indeed a great necromancer...



She actually got the good ending."
Ugx-7pS7nYixf2CbFht4AaABAg,1617235200,Tito Bungo,0,is this from the same creator of the convenience store horror game?
Ugx-7pS7nYixf2CbFht4AaABAg.970kycDbvwo971sJ5IPg8l,1617235200,Migi右,0,Yep
UgwubMnObGmVWSAgf-F4AaABAg,1617235200,くちぴゆ,2,るしあかわいいね。ぎゅーしてあげる
UgyHefJ6iJquHbsp7_x4AaABAg,1617235200,新世界&新時代トビ介,4,"5:38 守護神と言ったらなぜか小学生の時にそう呼ばれてた←なんでだろう

それはそうと↓




1:30:14 1:32:10 ここすき"
UgyWU0r654g7bIR_Yil4AaABAg,1617235200,新世界&新時代トビ介,2,"未来のあなたへ
いつもお疲れ様です





動画切り抜きの方に対してだけどね"
Ugy4MFOlD6vLWyeSw8x4AaABAg,1617235200,Richard Wagner,1,"New watcher here, hope you enjoyed the game Rushia.
Tried to post some messages during the Stream but those failed for some reason."
Ugz0PzFIHRJhf35T66F4AaABAg,1617235200,そ,3,42:45 ぐ う か わ
UgxoIjsjshcXbztfbNl4AaABAg,1617235200,夕月瀧,5,はじめて見ました！最後まで楽しかった！
UgwCd_zPDj1B8Vo0wp14AaABAg,1617235200,duskinmop,9,55:45ここ大天使
UgwCd_zPDj1B8Vo0wp14AaABAg.96xteFbrvqY9Lyt0UK5buE,1619827200,あ、,0,里崎？
Ugw12XqLdk7D5HLxJEV4AaABAg,1617235200,ちょむ,9,"1:17:00 (音量注意)
2:11:07 (るしあちゃん全身)
2:31:05  (お正月衣装全身)
ホラゲ怖かったねぇ…
今回は大きい事は何事もなく良かった(？)ねぇ〜怖がってるるしあちゃんもかわいい
後半で恐怖もなくなった！
久しぶりにお正月衣装も見れてかわいかったぞ〜
幸せなのはこちらもです。
いつもありがとう"
UgyVI-DNJE-pKLYc_7l4AaABAg,1617235200,カルビと麦になった猫🐾,2,魚( •́ฅ•̀ )ｸｯｻ！
Ugz95MFZce9zeyu0wwd4AaABAg,1617235200,ニコニコプリン,46,"01:08開始 雑談
06:15 ゲーム開始
1:17:00  衝撃の結末 音量注意⚠
1:20:35 心霊現象
1:22:00  ｽｰﾊﾟｰﾁｬｯﾄのお礼
1:28:05 メンヘラるしあ
1:32:20 るしあの八重歯
1:54:00 バイオクリア耐久！？
2:05:52 るしあは見てる
2:11:00 るしあの全身
2:16:53 他のゲームもしたい
2:23:22 お着替え
2:25:30 ウインク
2:31:05 お正月衣装の全身
2:33:10 お着替え
2:36:08  固まるしあ"
UgwFXGoE-3tTVgQhfrd4AaABAg,1617235200,肉うどん,1,1:32:29 歯
Ugw4GNnJ18iHj7_lVEZ4AaABAg,1617235200,肉うどん,5,2:20:09 自分用イザナミ
