id,timestamp,author,likeCount,text
UgyUV5liLjZEJpgzpgh4AaABAg,1646956800,宇智波斑,1,:_ハート::_るしあのる::_るしあの::_るしあのあ::_ハート:
UgyUV5liLjZEJpgzpgh4AaABAg.9ZLkZgWZrN39ZLkbuKjOA-,1646956800,宇智波斑,1,:_おこなのです:
UgwrSJyOLQLw_4poCEt4AaABAg,1646092800,[Shinigami],0,すべてに感謝します！ 何が起こっても私たちはあなたと一緒にいます:_るんるん::_きゅん::_ハート:
Ugw0TiaHP1wolkLsqi14AaABAg,1635724800,蒼い鳥,0,":_おつるしのお::_おつるしのつ::_おつるしのる::_るしあの:

自分用

18:50     可愛い

38:40     サンズについて

39:36     メタトンについて

40:50     フラウィについて

1:00:14     ピカチュウのモノマネ

1:00:47     ピカチュウのモノマネ2

1:00:57     るっの鳴き声

1:03:16     ポイーンポイーン

1:08:14     ニャースのモノマネ

1:16:03     ストレッチ

1:32:06     高速移動"
UgxWQW_Llv7Leh9lN_h4AaABAg,1617235200,ふぃん,0,お姫様るしあちゃんも可愛くて好き:_きゅん:アーカイブありがとう😊:_ハート:愛してるよ〜
Ugwec7jKuq-YOEu0NTp4AaABAg,1617235200,ねくろまさお,0,めっちゃ癒された！
UgxRMXhxbGmIErIfiBp4AaABAg,1617235200,冤鬼,0,ちょっと顔持ち上げた時に見える丸っこい顔が凄く可愛いです。
UgxruNe1mYMgnVIrR854AaABAg,1617235200,れんたろ,0,"2:16 2:16 2:16
開始/start"
UgwUfuEJKSZpeeNT4Ml4AaABAg,1617235200,たんたん🛸💜,0,"メン限おつるし〜
サンズ戦、雑談楽しくとても癒されました！！"
Ugwb8mvDKmoA_yI8ZEN4AaABAg,1617235200,アーモンド,0,"おつるし！
いつの間にか寝落ちしちゃってたよw"
UgxfHOdf5Sec3unu5654AaABAg,1617235200,空零海ベル / Aomi Vel,0,"( ´,,•ω•,,`)♡"
UgyMA4UTsOFOE7ilFgZ4AaABAg,1617235200,ネギネギ,0,"るしあちゃんとのメン限は本当にまったりしてて幸せだ…！:_きゅん:
まったりしすぎて寝落ちちゃったけど…:_あせり:"
Ugx_mimKrsBBum9EWpF4AaABAg,1617235200,蒲焼さん太郎,0,"メン限おつるし！
るしあちゃんとメン限でまったり過ごせて楽しかったよ！
るしあちゃんしっかり休むんだよ〜
だいすき:_ハート:"
Ugws_tGUINElIV7jNGB4AaABAg,1617235200,yuki,0,配信見れないんでアーカイブで楽しませてもらいました！！お疲れ様です！
UgxtqG7bhCJrdmSaKNN4AaABAg,1617235200,ろいろい,0,メン限のこの落ち着いた雰囲気大好きだ
UgxKUg1t4F8XkQxD_El4AaABAg,1617235200,Kira Asuka,0,"メン限ありがとう！
スパチャお礼タイムで寝落ちしまってごめんなさい
1:16:24 ストレッチ始まる かわいい
1:19:11 空気椅子"
Ugzexxi6XEPyQr2jxnl4AaABAg,1617235200,おぼにゃ〜だ〜!,0,"るしあ〜
昨日は夜遅くまでありがとう！
ゆっくり休んでね〜
大好き！"
Ugw5-skhDCULAerBjtJ4AaABAg,1617235200,るーまん,0,お疲れ様です‼️
Ugz0ApxQfq-upoOhbNh4AaABAg,1617235200,まて！オレはやってない,0,ふわふわゆるゆるメン限雑談配信助かるしあ
Ugyc9fegM88P2ZAd9o14AaABAg,1617235200,リブラリ Librari the Wizard,0,"This stream was so relaxing, I fell asleep halfway through"
Ugw4YZM18fnSOzih34J4AaABAg,1617235200,エア丸しあ誤字常習犯,0,"メン限おつるし！
寝落ちしてたけど、目覚めも良かった！"
UgxNgOVICp67HY1u9vR4AaABAg,1617235200,The WanderingWind,0,"1:49:30
1:49:55
Thank you very very very much Rushia-chan!
Love you!!:_るんるん:"
UgxmNgk0b4NyEFODrIV4AaABAg,1617235200,Vyse,1,"1:56:22
Thank you, Rushia! It's always a fun time when you stream. Thank you for your hard work! Good job!!! Rushia's English too cute. Goodnight Rushia."
UgyAi092wsTQ_1Mc2Cp4AaABAg,1617235200,Nexcell Pride,0,"I lost the second half of this Member-Only stream due to battery dying.
Someone can explain me what happened after. :_ちょうちょ:"
UgxFHQa0PRwzeGeGryh4AaABAg,1617235200,のの,0,"通常配信の感情表現豊かなるしあちゃんも大好きだけど、
メン限の優しさ100パーセントのるしあちゃんもまた大好きです
いつも、素敵な時間をありがとう

この時間がずっと続きますように"
Ugw2L4XXmVK6M6FB0RJ4AaABAg,1617235200,うすみどり,1,"メン限おつるし〜！
るしあちゃんとまったり夜更かしができて嬉しかったよ〜
朝から夜まで、るしあちゃんを身近に感じられる1日でした。
ありがとうね…！"
UgyG_-gDrF8ULw7-uHl4AaABAg,1617235200,シオンすきすきbot,6,2:19:47 2番目に大好きだぞ！
UgxwlRyneorDAXdJsI14AaABAg,1617235200,FINALタツヤ そのための拳,2,"1:26:22 
コメント拾ってくれて嬉しかった!　（引越し業者じゃないけど）サンズ戦楽しかったよ　るしあちゃんも皆も体調には気をつけてね:_るんるん:"
UgwZWGCESf-oy9AEQGR4AaABAg,1617235200,ツンデレアドミラル[TsundereAdmiral],1,Thank you for the stream!
UgzeTOxmhSUqiLnLxY54AaABAg,1617235200,Kenjo,2,Thank you for the stream i hope u rest well^^
UgwFIAwJB3OR3qQJHB54AaABAg,1617235200,Kovaleski,3,"thanks for the member stream today and good night , love you rushia"
Ugwx-XTfYMhM3QXx5P94AaABAg,1617235200,まお,1,メン限でしか見れないるしあちゃんの一面もとってもキュートでとっても癒されたよ〜
UgxA07hAT2_2jTbDRRp4AaABAg,1617235200,alice,1,メン限のまったりした空気大好きですよ！次も楽しみにしてますね
Ugy0gyz0VvPC1_xYIzh4AaABAg,1617235200,KON,3,I love u Rushia Good night :_るんるん::_ハート:
UgyQwIUoM-tHeLo7-KZ4AaABAg,1617235200,ペン太,1,"おつるしです♪
いつも癒しをありがとうございます😁"
UgzcGmP52pYCyuaFXSV4AaABAg,1617235200,Doro,2,Thank You for member only stream today and good night
UgxtIYyro034J7Perdh4AaABAg,1617235200,もぶㄘゃ,1,"おつるし！作業終わったらるしあちゃんもゆっくりしてね〜！
大好き！おやすみぃ"
UgzAMvJAAvxUCwblclR4AaABAg,1617235200,かえで楓,3,Happy day
Ugzy4L06B0drpxsk7FN4AaABAg,1617235200,りくし,1,見るの忘れてた笑
