id,timestamp,author,likeCount,text
Ugxt5c5_YcQOvc3ZG8x4AaABAg,1646092800,Hoàng Anh Ngô,8,I downloaded this. Don't judge me....
Ugx_0ak3EhMzeh5OeSZ4AaABAg,1646092800,Yang Benjamin,4,るーちゃん大好きだよ~T...T
UgycyAZ9anD_jLnbuGd4AaABAg,1646092800,のこたけ,2,まふまふ君はどこでも見えますね笑
UgycyAZ9anD_jLnbuGd4AaABAg.9YKiZ0BHYuX9YQqe8GMSIG,1646092800,るーと,2,荒らしみたいに滅茶苦茶悪いわけじゃないけどあんまそういうこと言わんほうがええで
UgycyAZ9anD_jLnbuGd4AaABAg.9YKiZ0BHYuX9Yp-7TWzZU5,1646092800,zcray,0,剣持でいいよ
UgylQmdDLDHo__jQ7xx4AaABAg,1640995200,Hさん,0,海外のコメ翻訳するとちょうどいい具合に面白いので好き　あとルシアちゃんかぁわいい！
Ugyei5nzJHUQqNc5hs54AaABAg,1640995200,たーたー,0,断じてmuneではないです、、
UgxukSNTnyv6Y8l5kH54AaABAg,1638316800,ありおす,1,好き 本当にるしあが大好き
Ugzg1-_k-FIeaMa27Sd4AaABAg,1638316800,Bruce OvO,0,"かわいい...かわいい...可愛いて何回もリプレイした！
るしあ成分少し補充しました...
るしあちゃんありがとう:_きゅん::_ハート:"
UgwblSw5av2WKZTCMZV4AaABAg,1635724800,はなび,0,かわいすぎんっだろ
UgyUuMDc2oLlsoKrADx4AaABAg,1635724800,ダイ,0,なんだろう背景が黒いだけでなんか怖くなってきた。
UgwcGDUJ3ytA-GKfN254AaABAg,1635724800,ネス,0,あぁ…浄化されるペコ～😍
Ugy-ILYcu8cAEbx91Fh4AaABAg,1635724800,𝔍𝔒𝔈𝔈𝔓𝔏𝔄𝔜𝔈𝔇,0,Just kill me with ur cuteness
UgyMcT5KyZj69ZaZBn14AaABAg,1635724800,Felix Barker,0,Doko mitendayo? Hmmm?
UgzOqNBByl8MYqIbz8h4AaABAg,1635724800,LHAT KatoriChido,0,Ur voice so soft lemme hug u
UgwWYnq2VKMCy4mTMnV4AaABAg,1635724800,Враг Государства,0,0:09 cursor :3
Ugwl3O-EQaVcpiRo0J94AaABAg,1635724800,虚言君No war,1,すまないが抜いた
UgzEeXaEN7v_cK6vnOp4AaABAg,1635724800,Jaredh Li'l Hiryu Maranan,0,nice thighs HAHAHAHAHA
UgztLmlBX-EANQDiHqJ4AaABAg,1635724800,Unknown Entity,0,She could've went and murder us with her iconic scream. Glad she didn't. 😂
UgzflLWfBOSCj2bsNVZ4AaABAg,1635724800,沒看過吉娃娃喔？,0,現在早上兩點
UgyLdPHyWMKt99jmAgh4AaABAg,1635724800,舐め舐めおじさん,1,か、こわいい
UgxShiimqLR_Iz2eC3l4AaABAg,1635724800,RUEI-CHIAN CHEN,0,so cute！
UgyPJaJFpi4ovpJuDD14AaABAg,1635724800,Texas,0,"I click on the video.
I saw thighs.
I smashed that like button."
UgwqGoN4TQhWZFQUW5l4AaABAg,1635724800,Muffin Ch. アグリバスタード,0,あなたの足、明らかに
UgxrfqSTKdtn1vkFfrJ4AaABAg,1635724800,Smart_autism,0,Wowowowowowowowowoowowowow 3 am and I found 5 cute thing broooooooo letsgo
UgwM7xyo7gETOGCJL-Z4AaABAg,1635724800,SIMPLY Takuma,0,"Wait, why i have a knife in my chest....?"
Ugy-uUcmm5qdWLJtMPZ4AaABAg,1635724800,MAT OMI,0,"他に見るとこ無いんよ




おや、誰か来たようだ……"
