id,timestamp,author,likeCount,text
Ugy9S6SQN6PGHA_A23Z4AaABAg,1646092800,どんくささにほんチャンピオン,0,"課題のお供として聞かせてもらったよ！
酔っ払ったるしあちゃんめちゃんこかわええ！！より好きになってしもたわ:_きゅん:
いつか一緒にお酒飲みたいな"
UgxzBVHG65Y_w1JxNGx4AaABAg,1638316800,よしわら: yoshiwara,0,この時にタロットカード占いの話してたんかー
UgzG16vaBHBZ2XLj0ed4AaABAg,1638316800,よしわら: yoshiwara,0,"るーちゃんに甘えたくなったらここに来よう😌
ばぶみがすごかったな笑
今度晩酌配信があったら牛乳と甘酒買っとこ〜"
UgyCbm7HGkhKO35F_cx4AaABAg,1617235200,ゆきしらす丼,0,1:11:35 自分用
UgwxSWW2ohLdTiCo_zp4AaABAg,1617235200,The WanderingWind,0,1:13:43 my heart and soul belongs to Rushia. Kawaii!! I'm having a heart attack....:_ハート::_るんるん::_きゅん:
Ugz1A5_P_WnvI19EZCl4AaABAg,1617235200,Echo&Hz,1,1:11:30 自分用
UgzZAXIZOKmnwOSBKPJ4AaABAg,1617235200,趣味の趣味さん,0,かわいいは罪
UgwtLY2iLDw5s447S-h4AaABAg,1617235200,Z's・kirak【ジーズ・キラク】,0,間違えなく言える一言は・・・アーカイブ残してくれてありがとうｗ
UgwEMLz7TS-huDZUAAF4AaABAg,1617235200,A S,9,1:32:41 応様
UgxBdo3ut_oxl-EpcIh4AaABAg,1617235200,StGeorge,1,she has mommy potential <3
Ugz8gRsJx2GwcX2BZlB4AaABAg,1617235200,さばちゃん,0,可愛い生き物すぎてつらい
UgzLZc-Fdct8z_ZdRct4AaABAg,1617235200,レグルス,0,43:46 死期が近い人の周りには黒い靄があるとか黒い人影が現れるとか、そういう話は聞いたことある。
Ugz2yw46xhximAQUfvJ4AaABAg,1617235200,YAGOO VIRUS,3,"""Seeing my girl happy makes me happy""

                               -Pineapple Man"
Ugy-HHTlI8G9-fVpQsF4AaABAg,1617235200,田中太郎,0,"眼鏡あってないの下りで大爆笑してる所ほんと好き
出来上がってるなぁって思いながら微笑んでました"
Ugyf3wIR6qT9tfj_Q9t4AaABAg,1617235200,Paul Allen,0,can someone tell me whats up? Does Rushia swap back and forth between the old and new model of is she going back to this one?
Ugxmu5hhIW4AwtGWvOt4AaABAg,1617235200,煮込みのタイセイ,0,酔ったるしあは非の打ちどころがありませんねぇ可愛すぎる...
Ugylr0-TSH14hcfkadh4AaABAg,1617235200,SAKIMORI雫,0,自分のスパチャ読まれるかなって10秒飛ばししててありがとう、ありがとうね、ありがと〜っていうありがとうのバリエーション聞いてて1人でニヤニヤしてる私です
Ugzy5BooWNDc1pZAxlx4AaABAg,1617235200,あど,1,"3:13:01
3:50:16
自分用
ちなみにいつも「ちゃん」をつけられていますが、男です。(真顔)"
Ugz1PdXtgrnfBvdMjkN4AaABAg,1617235200,The two tails,0,Esto me motiva a aprender mas idiomas
Ugwxx-GJuHNjlDc0hDB4AaABAg,1617235200,Sergio cabrera,0,Hola
Ugztl_UTuPM-ziizmbF4AaABAg,1617235200,Ruttsu's Monogatari DX,1,Kawaii~!
UgyulwHP7sQ_Qih0lDp4AaABAg,1617235200,醤油バッタさん,0,"YouTube君に上限スパチャ認識されてなくて草
メモ帳からコピペしないと正常にコメント打てないのも草





草…"
UgxeGF4O8cOYple2d954AaABAg,1617235200,aioria de leo,0,😀😀😀jaja 👍🏻👍🏻
UgwEeC4We1805lYlTXh4AaABAg,1617235200,FoodDude03,0,russia
UgzvJ1yuX032ydBLtMt4AaABAg,1617235200,スイッチマン,0,3:14:12 自分用
UgzvJ1yuX032ydBLtMt4AaABAg.9DJsIaRu7JL9DU6y_Mo7Q2,1617235200,スイッチマン,0,1:52:38
UgwFSrFgHlHnG_PHgKR4AaABAg,1617235200,bignokis,0,"Rushia turns my wounds into scars
It heals me so muchhhh"
UgzogcE6tzlmttO-Tmd4AaABAg,1617235200,Michael Mahagaputra,0,...this is so cute
UgxNt0gIhfXJdOeJfe14AaABAg,1617235200,Jomo,1,"With my sleep schedule completely fooked, I could actually watch her stream at 3 AM (Philippine Standard Time)~"
UgxycTbIpLa2UHSrTrR4AaABAg,1617235200,Defender A34,0,ばぶぅ～ばぶぅばぶぅ！(*^＠^*)
