id,timestamp,author,likeCount,text
UgzGy68QBs-hiBD8hQ14AaABAg,1648728000,白玉,0,"じゃあね。
ありがとう。"
UgxeM1B4U9lCwSDr0kF4AaABAg,1617235200,さんごしょう,0,へいSiriでSiriが反応した
UgzgshgzGwyPY7dJ6oV4AaABAg,1617235200,白米,0,最近知りましたが癒されてます
UgyYc_qWp6rADiX2cBp4AaABAg,1617235200,むはにたあ,0,"あくまで個人的な考えです。
他人の言動をコントロールすることなんて不可能だから今後もあんな事は起こる。
我々にできることは「気にするな」のような精神的なサポートよりも「俺たちが付いてる」みたいな我々は味方だから安心して欲しいという気持ちを伝える事じゃないかなと思います。
「俺が信じるお前を信じろ。」

冒頭のるしあちゃんの事を分かってる皆様の領域まで行ってないので、これからも追いかけていきたいと思います。"
Ugxh4fstCF7MqZauexN4AaABAg,1617235200,メランコリィ,41,"1:52 開始 / start
6:23 自己紹介 / self description
7:33 ギャップ / gap
9:51 会いに来た / here to see fandead
10:32 ASMRマイク / ASMR microphone
11:33 配信開始時間 / stream start time
17:23 みんなの力になりたい / wanna help fandead
18:53 みんなのおかげ / thanks to fandead
26:08 チャット欄のママ / mama in chat 
26:34 お兄ちゃん / Russhia's brother
32:08 相談 / consultation
35:33 魔界ちゃんとネイル / Makai-chan(Rushia's friend) and nail polish
48:07 ヘアートリートメント / hair treatment
　　　◆ヒートケアヘアセラム◆
51:21 シャンプー / shampoo
　　　◆Deep Layer◆
59:30 香水 / perfume
1:02:47 眠くなる声 / drowsy voice
1:05:31 ささやき / whisper
1:08:33 Twitter / Twitter
1:11:40 蚊 / mosquito
1:16:03 るしあストーリー / Rushia story
1:17:08 鍋 / japanese hot pot dish
1:28:28 体温 / body temperature
1:33:40 マイクラ / Minecraft
1:48:44 スパチャお礼タイム / superchat reading start
　　　　FALL GUYS配信の分 / superchat in FALL GUYS stream
1:49:47 恋愛相談 / relationship advice
1:51:31 失恋した気持ち / heartbreak
1:52:16 るしあじゃダメ？ / Why not Rushia?
1:54:17 Siri / Siri
2:05:34 歯医者 / dentist
2:43:17 スパチャお礼タイム / superchat reading start
　　　　この配信の分 / superchat in this stream
3:17:40 ED / ED
3:18:09 Cパート / C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for DeepL."
Ugxh4fstCF7MqZauexN4AaABAg.9Dd8ccK5jsV9VwSMh-ZXl6,1640995200,塔小庭,0,謝大哥。
Ugx5UjtsGYLAx3kZ37B4AaABAg,1617235200,アンハッピーリフレイン,0,"こちらこそありがとう✨

るしあちゃんに出逢えて本当に良かった😭"
UgyhhvZMYVN9B1TR02N4AaABAg,1617235200,赤ヘルサガン,0,いろんなやつがおるから。　　でも聞いてくれる人もいっぱいいるからね(チャンネル登録53万いるわけですし）。　と言う自分は何もできなく、無責任でごめんね。
UgyhhvZMYVN9B1TR02N4AaABAg.9DcsOS-mw739DfBN-XjzyX,1617235200,牛フィレ肉のカルパッチョ,0,53万か…まぁフリーザ様なら敵が多いのも納得
UgyhhvZMYVN9B1TR02N4AaABAg.9DcsOS-mw739DfIWz-81V8,1617235200,赤ヘルサガン,0,???
Ugz7EjAXw5n4tXjrh654AaABAg,1617235200,Diva A,0,Yo
Ugx2mvZVL9x4Bt1gTzF4AaABAg,1617235200,Masaki Gitse,0,I love you ❤️
UgzeM3GSQ7BY-BS779F4AaABAg,1617235200,shin1300,4,"Rushia we love you, just ignore those annoying people in your chat, some of us who are real fans will support you no matter what. Its just sometimes those who are hurtful and annoying are the loudest but dont mind them they are very few and those that support you are 99.99999% of you fanbase"
UgwAZs4inVeWVYa59PN4AaABAg,1617235200,Alec 0_0,1,"Hope you are well rushia ,we support you♥️"
UgwWjFY45ygs_M8Hk3Z4AaABAg,1617235200,Dorcas Mutton,0,Rushia we are all here to support you❤️
