id,timestamp,author,likeCount,text
Ugx1iIEmsUyKZ6um2Bt4AaABAg,1647561600,IdenityX Unknown,0,"Marshmello Time :_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLSSSS:_しょぼん::_しょぼん:

Everytime I saw this background , I saw Penta's family

Hope I can understand Japanese and ask you some question , but it is fine , seeing you is nice already :_ハート::_ハート:"
UgzInqVhtlBKVDFdsmV4AaABAg,1617235200,Louis.,0,花澤さんのモノマネ、本番より 1:21:18 の方が似てる
Ugz67jaIzTMWtU8-ZXF4AaABAg,1617235200,KIURazin,1,This girls are too pure to be good!
UgzAgYm7NFyvB2rqPyx4AaABAg,1617235200,박준희,0,Hello Bonjour UNBELIEVABLE PEEKABOO SURPRISE HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES HAPPYSMILES
Ugy4X9RtOnfvh0oKvE54AaABAg,1617235200,gumita11,0,"こんるし~  いつも、家族愛溢れる配信で癒されています　Gの話は、面白くて共感できます
個人的には、ペンギンの壁紙が可愛くて好きです🐧

夢に溢れる　るしあちゃんを応援しています🦋"
UgyqlZ7dAbUhCCRMAXB4AaABAg,1617235200,Night Sky,0,るしあーいいね、ありるしー
Ugxbr2ETHRXVQXum7np4AaABAg,1617235200,Le Vu,0,UWU
Ugxy8OyCr5pYc16hIQB4AaABAg,1617235200,とま,0,推しの好きなものは好きになりたいし嫌いなものは嫌いになりそうだけど最近まな板が怖くて自炊やめた
UgzTMQJVhvTXEpIFmbF4AaABAg,1617235200,桐生会•幹部•松陰寺成政Vtuber準備中,0,"Get out of Japan,You are a salesman."
UgxxEsBbTkRKYS5UlhN4AaABAg,1617235200,MomonKusa,0,Yup i hope rushia can play pokemon soon
UgxNjXGH4u8AaxDphLV4AaABAg,1617235200,miZel,0,"隙自語すまん。
自分は金縛りになった時、顔の溶けた女の真っ赤な風景でした……。マジで思い出したくないけど、コメしたことによって思い出した。"
UgzXVuZOqCAwG_5htl14AaABAg,1617235200,yêu anime,2,こんにちは、ベトナム人です
Ugx3Ug0tIybZGn0VuF94AaABAg,1617235200,Echidna witch of greed,1,Flaaat
UgxOfsfYPXmUtLJd6jN4AaABAg,1617235200,Echidna witch of greed,1,Scream plss I need to hear your scream
Ugx-G5Hav4tqZsc9a7x4AaABAg,1617235200,天牙笹音,0,人前でビックリするくらいの恥かくと、少々の事では動じなくなるよw
UgxoKri67IxNz9BHcGN4AaABAg,1617235200,Loan Nguyễn,2,From VietNam With Love :3
UgxoKri67IxNz9BHcGN4AaABAg.9CjfmN43R7o9CsEEm7WjB8,1617235200,Tom Đang Chơi Đồ,0,Bây giờ VietNam trong mắt stream này ko còn đẹp nữa
Ugx87zxHYQMx2VqSsZZ4AaABAg,1617235200,Johnwi Dokuristu,0,ベトナムのコミュニティに謝罪させてください:(
UgyDg5hfltvYfj1yyIh4AaABAg,1617235200,堕天使じぇみる,0,るしゃは可愛いのカッコイイ。
UgxVg-7FZQe0tmD5gnp4AaABAg,1617235200,この漫画chはスノアが乗っ取っちゃいました,4,"3:03:07 スパチャ読みありがたき御反応です(*´ω｀*)
1周年記念ボイスセット　全部セット購入しました！
直筆サイン楽しみです！"
Ugx-JXzeLXhOggQG-jx4AaABAg,1617235200,riryu【雪民】りゅーたにえん,0,"目標と頑張ってること聞けてよかったです。
これからも頑張ってください(´ω`)"
Ugw_l_p9csKJtj5sZPJ4AaABAg,1617235200,かっぺー,1,るしあ船長寝取られた....
UgztNfDORouhSQpkbOd4AaABAg,1617235200,メランコリィ,75,"1:54 スタート / start
9:43 食用虫 / Edible insect
12:56 緊張しない方法 / method of not being nervous
17:36 猫との接し方 / how to treat a cat
21:28 好き / love
21:36 金縛り / sleep paralysis
31:53 女の子から告白 / confession from a girl
38:33  マネージャーについて / Rushia's manager
45:06 赤ちゃん / baby
45:36  にゃんことG / cats and roach
54:20 好きなタイプ / favorite type of boy
57:22 ポケモン / Pokemon
1:01:03 悩み相談 / consultation
1:07:33 愛と恋の違い / difference between love and love
1:13:02 運が良くなる方法 / how to be lucky
1:14:40 グッズ / goods
1:15:33  APEX / APEX
1:20:05 花澤香菜キャラのモノマネ / voice imitating (Hanazawa Kana)
1:21:43 千石撫子 / Sengoku Nadeko
1:23:35  花沢さん(サザエさん) / Hanazawa(Sazae san)
1:25:19 部屋着 / loungewear
1:28:05 格闘 / fight
1:30:22 握力 / Grip strength
1:34:42 ノエル / Noel
1:39:20 ぺこら / Pekora
1:43:18 コラボ / collab
1:44:26 スバル先輩 / Subaru senpai
1:48:30 目標 / Rushia's target
1:54:50 ジブリ / Studio Ghibli
1:57:17 押入れ / closet
1:59:01 ED / ED
-------------------------------------------------------------------------------------------------------------------
1:59:47 ED後トーク / talk after ED
2:10:20 悩んでた事 / trouble
2:12:34 お兄ちゃん / Rushia's brother
2:20:39 るしあお姉ちゃん / Rushia's sister 
2:22:37 スパチャお礼タイム / Super Chat reading start
2:22:49 ぺん太 / Penta
2:25:01 チュッ / chu
2:27:29 ヤンデレモード / yandere mode
2:39:39～2:50:27 引越し / house-moving
3:11:00 イス / chair
3:19:55 ED / ED
3:20:45 Cパート

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for Google Translation."
UgztNfDORouhSQpkbOd4AaABAg.9Cj9v52M1DR9Ck0gyt-9qK,1617235200,Higg 2020,1,Thanks!
UgztNfDORouhSQpkbOd4AaABAg.9Cj9v52M1DR9Cm-8-SDAKw,1617235200,Burger Water,2,"Your English is good. Thank you for the translations. 

ありがとう！"
UgztNfDORouhSQpkbOd4AaABAg.9Cj9v52M1DR9LNvIpwYQNj,1617235200,meii!,0,Thank you sweetie
UgyTnYkSNizWKAe7sbB4AaABAg,1617235200,Motoyo Makoto,2,"Cute appearance and cute speaks I LOVE it so much
But rip i missed out :<
But NP i came anyway to get some good feeling"
Ugw9h3Q-r1h3kuI3qgd4AaABAg,1617235200,Bagus Putra Fadila,0,"2:22:05
るーねえ"
UgzM9HWCMdHUG1kDj5F4AaABAg,1617235200,激落ちくん,0,るーたんの雑談枠が1番好き
UgzL0hDlxTUIjYmVpoJ4AaABAg,1617235200,ぬくりあ.,0,"雑談楽しかったー(*’ω’*)
頑張って夢を叶えていこうね。共に歩んで、素敵な未来を叶えましょう(๑•̀ •́)و✧"
Ugyd1OW8NtWfrzeQge14AaABAg,1617235200,Couch Waifu,3,"The kawaii factor of Rushia never ceases to amaze me, such incredible cuteness that brings tears of joy to my eyes!!!!😍😍😍😍😍😍
Seeing her play Splatoon 2 the other day was pure joy, it's been so long since i've seen her tackle something that fun in a while, although every stream, no matter what she is doing is always fun!!!!!😁😁😁😁😁
Will always remember that i am a stalwart member of Rushia's Pettan corps too, since any forms of petite beauty are the best kinds of beauty, and Rushia is the epitome of pettan beauty!!!!!
Anyways can't wait to see Rushia's next entertaining stream, hopefully it's another exciting one like her Dark Deception and Splatoon 2 streams!!!
As always, Pettan power is true power, flatness is true justice, and Rushia is the pinnacle of pure petite pettan beauty!!!!!😍😍😍😍😍😍😍😍😍😍"
Ugyd1OW8NtWfrzeQge14AaABAg.9CiGxQSuJIX9Cj3ZTeAJh5,1617235200,Nathan Wivell,1,"My corps, your corps, Uruha Rushia pettan corps!"
Ugzko0N2GikXt6P2CIF4AaABAg,1617235200,Rudolf Keizah,0,"И мне не нравится твой новый шмот, зелёный был лучше, он успокаивал"
UgysrMWOobdgCcfJwrp4AaABAg,1617235200,Rudolf Keizah,0,Бля никогда не понимал почему вам по кайфу писать каракулями и картинками вместо букв
Ugy-J7R-HZYuRDdMF214AaABAg,1617235200,カフェ俺,0,"1:00:17
お願いします"
UgwKLRJ6mKC9tLd06e94AaABAg,1617235200,ちょむ,0,"雑談やっぱり好きだなー
色々お話できて楽しい
目標達成応援してるー！"
