id,timestamp,author,likeCount,text
UgzqgE2WXiGivzScsl54AaABAg,1647907200,蔡国庆,0,Rushia 新衣裝超可愛，美人。😄
UgzV3YttqtLK9v6N-_h4AaABAg,1646956800,IdenityX Unknown,0,"New Outfit ! ! ! :_るんるん::_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL :_しょぼん::_しょぼん:

OMG, PINK NECROMANCER , KAWAIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII:_ハート::_ハート::_ハート::_ハート::_ハート::_ハート:, THIS IS INCREDIBLE, RUSHIA YOU LOOK SO FREAKING KAWAII:_るんるん::_るんるん::_るんるん:

This outfit movement is so Nice it even have shadow ! ! And the legs movement is also unbelievable and shaky shaky skirt , ah~ ~ ~ :_きゅん::_きゅん::_きゅん::_きゅん: , and BIG BRAIN RUSHIA , short hair Rushia , so many accessories , this is just amazing:_ハート::_ハート:

But the lag is real , time to level your PC Rushia"
UgwA105Gpywkq8czIzV4AaABAg,1646092800,Bud Friesel,2,"what an outfit. What a vtuber. 
Thank you, Rushia. <3"
Ugy7tnjjPbg3Ac2Jnst4AaABAg,1646092800,スライムライム,6,"るしああああああああああああああああああ
大好きだぞおおおおおおおおおおおおおおお
今まで本当にありがとうございました、るしあちゃんは最高にかわいい！！！"
UgxeH6KGdX_a9IIS5EJ4AaABAg,1646092800,Free Float Kaleid,1,Its a cute outfit Rushia. Really suits you well. Glad it turned you well for you. Hope you're doing alright. We fans still love and support you. :^)
UgweSJ4mQnSTFSq-Grp4AaABAg,1643673600,"fire,",0,"ピンク髪ホント綺麗でかわいい！！
髪型変えれるのもオシャレ好きなるしあちゃんらしくて大好き"
UgxNsphFXiXHj3U7X5p4AaABAg,1638316800,ぜりー,1,"今だからわかるけど、お披露目するの本当にすっごく緊張したんだろうなって。
そして今コメント書いてるこの次の日に、2着目の新衣装がお披露目されるんですよ…
楽しみだなあ"
UgwY2GUsJO0CFD5yA214AaABAg,1630454400,クラノス,1,エンディングの最後最高かよ
UgzDIrkIsKZJ_JkbWD94AaABAg,1625097600,点P,1,姿は変わっても胸は男と
UgwpDi8vBmncr3a3RSB4AaABAg,1625097600,Nexcell Pride,0,"Passed exactly 1 year about that New Live2D reveal.
It's part of her Live2D 2.0, precisely due to same modeler.

Tou Ilie made a great work on modeling... Starting with the New Year outfit at 2020 January 4th and Live2D 2.0 at mid February 2020.
At that moment, despite that new outfit and new hair color, also can described as part of Live2D 2.0 due to same features, but called New Live2D due to new add-ons, like glasses, alternating hairstyle and also a Yandere-mode (that feature couldn't be added at normal Live2D 2.0. Maybe Yasuyuki-sensei was too busy to add them at that moment to add these new features at normal Live2D 2.0)

Curiously and personally talking, I was thinking about it would be her definitive form at following streams, but starting at July 7th she started to alternate between Live2D 2.0 and New Live2D models. Starting September 2020, Rushia used more the Live2D 2.0 (Green haired) than her New Live2D (White and Pink-purple haired)

Fortunately, her Green haired form and the White Pink-purple haired form are part of her cat form at New Live2D 3.0, also modeled by Tou Ilie (Debuted at her 2021's Birthday. The Live2D 3.0 included Live2D's Piyoko)"
