id,timestamp,author,likeCount,text
UgzxzHckLA1rTBfDdHF4AaABAg,1648737840,かんづめ,0,おつるしあ
UgwR9HtBLsqdjMZAgId4AaABAg,1648737720,072  :名無しですがなにか,0,"全然俺は許すよ
大好きるしあ"
Ugzgy3p3FY-s4N4rQQV4AaABAg,1648731600,仮面ライダーKG,0,今までありがとう…………るしゃ
Ugwd4yqp-IYD5-uvP3l4AaABAg,1648731600,gray　Area,0,"あいねこ　を　大事に　大切にしてくれて　ありがとう　うちの　まえの　ねこも　そういっていた　…
現在のくわしい状態は　ぜんぜん　わからないけど　最後まで　苦しいかも　しれないけど　ネコの側に　ついてあげて　…
自分の前に住んでいたねこは　最後の日は　倒れて　病院いって　危篤だから　慣れ親しんだ自分で家で　看取ってほうがいい　ゆわれた　朝から夕方　夜まで　つらい気持ちと　今まで　ありがとうの　気持ちで　一緒に　見守るしかできなかった　
ねこは　あなたのことを　一番大切な　家族だと思っている　だから　今まで自分のことを　大切にしてくれて　ありがとうと　いつも　忘れない　思っている　大切な深い　絆がある"
UgznhobLF5-WShrwiKV4AaABAg,1648720800,滿臉豆漿,0,🤣
UgzJmBiM2b2OjZEQSxp4AaABAg,1648706400,Dawg the Undying,0,"Unfortunately, this was where the trouble started."
Ugz4l8TPh_yNTo2EVCp4AaABAg,1648512000,背景,5,他に謝ることあって草
Ugz4l8TPh_yNTo2EVCp4AaABAg.9_4xKW5-Dbd9_6AO1YFS-P,1648512000,鶯,2,お前もな？
UgxIA4XOinkj1ANqn1B4AaABAg,1647907200,鈴木昭弘,1,"心が落ち着くまで時間を取ろう。
るしあ様の気持ちすごく伝わりました。大切な家族のためにゆっくり休んでください。それからまたいつか配信いたしましょう。"
UgzcUIWbYO2aiWm3DHl4AaABAg,1646956800,7割の確率で断罪失敗する男,0,猫「は〜困った飼い主だニャン」
UgwDRn4WeQU4ISJ8azV4AaABAg,1646956800,佐藤義則,0,謝らないで❗
Ugw1bxKpKE1GqDvyuyB4AaABAg,1646956800,CS_Aqua,0,お身体をお大切に
UgyhVEFXZHiBEt-OF9V4AaABAg,1646956800,横山昌人,0,ペット飼ってる人にとって、家族だからこそ心配だな😭
Ugw70fDB0q_oY748b7l4AaABAg,1646092800,أ,2,8:01 10:49
UgzmMGm7Mb_B_pGwBB14AaABAg,1646092800,濱幸輝,1,頑張ってください
Ugx3wwFQCuMqP2G2aWB4AaABAg,1646092800,Bongkot Ngarmsak,15,彼女がした事なぜあなたがそれをしたのか理解しています。あなたがどんな人生を送っていても、私はあなたをとても愛しています。習慣が変わりました。私はまだあなたを愛しています。悪いことをするファンは、あなたではなく、謝罪する必要があります。このように、それらのファンは彼女を非難するでしょうが、その知らせを聞いた時、涙が流れ、麗ハルシアという言葉を見るたびに、あなたが必要になるたびに泣きます。
UgxldIbKMjBKY0cCKE14AaABAg,1646092800,ศุภธร งามศักดิ์,3,私はあなたの笑顔、あなたの愛、そしてあなたが以前やっていたことを見つけたいと思っています。彼らはみんなをとても幸せにしてくれます。彼女は良いことをした。必要があることを理解しています。お詫びする必要はありません。しかし、彼女のために悪いことをしたファン彼は彼女に謝罪する必要がありますそれは彼女を不快にさせましたそれが本物であるかどうかにかかわらず、私はあなたの復帰を待っています。または新しいアバター、私は何があっても永遠にあなたを愛します。私はあなたをフォローして愛しますどんなに涙を流しても、あなたは同意するでしょう
UgzAkALfpjTtPeKz-Vx4AaABAg,1646092800,Sumie H,2,🦋。。。。。
UgzHKdHVJxjeSun_CVd4AaABAg,1646092800,Eggy roll,3,"Rushia best girl, goodbye さようなら( T_T)"
UgyXoeINMsaGoKuacUl4AaABAg,1646092800,fuzukimaru2,4,"色々メンタルが駄目になってると判断力　著しく下がるから本当にメンタルケアに行った方が良い。依存心が強くなってとんでもない事をしでかす人も珍しくない。
今回の契約解除に至った一因はこの出来事もある気がする。中の人の非はあったにせよ､これ以上悪い事が起きない為にも､本当にメンタルケアに行って気分を落ちつかせてゆっくり休んで欲しい。
Vtuber関連と生き物関連以外の他の趣味を見つけてそれに打ち込むのも良いと思う。(生き物関連はその生き物が亡くなった時のダメージが再びくるリスクがある。)
とにかく今は自分の命を大事にして欲しい。彼女の命は他の人達にも関わるから。"
UgzwcOmReCJuv_Ucuwl4AaABAg,1646092800,Duck,0,And now her dammit
UgwlcNHYQOoJTIAnnXx4AaABAg,1646092800,me i,4,声きも
UgwlcNHYQOoJTIAnnXx4AaABAg.9YpcKosa_Bn9Z99a08n8Gh,1646956800,しゅう㌨,1,なら来なけりゃいい話
UgwkbLuztxFKHc_a5d54AaABAg,1646092800,ky,1,いまおすすめにくるのは運営悪意あるだろw
UgwK9q9kZCd-98M7j7B4AaABAg,1646092800,アル,6,その3ヶ月後、まさか自分も謝罪をするとは思いもしなかった・・・
