id,timestamp,author,likeCount,text
UgxTtGHPR9mLJjJW9vN4AaABAg,1648731600,むうさん【へこバス】,0,"るーちゃんを推し始めるきっかけとなった配信です
本当にありがとうございました"
UgzYDyGkmJmrRJuNOHN4AaABAg,1648598400,いちごちゃん,1,"るーちゃん今まで楽しい配信をしてくれてありがと！！ゆっくり休んでくださいね。
幸せに毎日を過ごしてくださいね。
おつるし〜！！"
UgyOjbRBRwAUxRtEggl4AaABAg,1646956800,FaRushaMo,2,:_るんるん::_きゅん:
UgzcInaU3xztWTJEd-N4AaABAg,1640995200,ひよこ•ө•,0,もう1年も経ってしまったのか………
Ugxj2LihtRzqoe8HHeV4AaABAg,1640995200,むうさん【へこバス】,2,そろそろクリスマスなので来ました、るしあちゃん推しになったきっかけの動画です。
Ugy3NBJQQZZhr-WjG9p4AaABAg,1640995200,dsdsdsd7667,0,辛苦了(๑•̀ᄇ•́)و ✧ 謝謝你(*๓´╰╯`๓)♡
UgxFBewEXgj0XY4qAj14AaABAg,1630454400,凜祢,0,かわいすぎるー:_ハート::_ハート:
UgyQgw5zRyqgPsjybRp4AaABAg,1622505600,みそスープ,0,14:56 キミに100パーセントで可愛くてめちゃくちゃ元気出た！:_きゅん:
UgyCwJhkLKYg5bZLvZ94AaABAg,1617235200,影縫夜斬,1,"いのちの名前が本家より数倍好き
10:12"
UgwyxP3XgK8byVSckoZ4AaABAg,1617235200,はるはる,0,Thank you
UgzYstx61D383ixP94F4AaABAg,1617235200,のぎ・おか,0,23:32エヴ
UgySUgqe-WWCHxpXxQR4AaABAg,1617235200,もにみひ,0,"ここで歌っているいのちの名前を聴く度に目頭が熱くなる
るしあの声には力があってどの歌にも言霊が乗って人の心に届く
歌手ではないのだろうけどるしあには歌い続けて欲しいと思った"
UgxuVtTPYMQGTAwziG14AaABAg,1617235200,みっつさとう,0,疑うまい、歌が上手いことを
UgwoKaWFwpTpgs1ih4N4AaABAg,1617235200,Sal Shoker,0,Thanks For The Singing Streaming Rushia Merry Christmas🦋🎄🎅☃️❄❤
Ugz5WTcMn7INr6AePvt4AaABAg,1617235200,jeffya55,0,"@00:10:13   いのちの名前 / 平原綾香
00:19:10   CHE.R.RY / YUI
00:23:32   残酷な天使のテーゼ / 高橋洋子"
UgxTM_Fq0H7BPmYV3394AaABAg,1617235200,非常食,0,るしあの歌ってるところ初めて見たけどいつもと全然声違くて高評価押した。最高すぎないこのギャップは。
UgyJF3nfaiyQEPz7DZ94AaABAg,1617235200,かにされす,0,単体の曲ばっかり入れてる再生リストに歌枠ぶち込んだのは初めて。ってほど好き。
UgzUMieZWlTTMf_bLMZ4AaABAg,1617235200,【星野カービィ】,0,るしあちゃんめっちゃ歌上手い！！！！！！
UgwWaXEiqQFbHR5X2RV4AaABAg,1617235200,悠さ野MATOHKA,0,I'm shocked
UgyNC0TYND-iplLzVvl4AaABAg,1617235200,絶望の彼方,0,ほんとうにるしあは元気出る。
UgxN0974vUt6O7Lj4QN4AaABAg,1617235200,非常口,0,"生で見れなかったから遅れて一気見してる最中でこのアーカイブ見たけど大丈夫？
この配信酔ってない？いつも配信こんな感じ？








なんで見れなかったかって？
バイトだよ！メリークリスマス！（やけくそ）"
UgwIcixY7bCamLm1S254AaABAg,1617235200,Thunderlord00,4,"haven't heard Rushia sing before this, and I'm pleasantly surprised she has such a wonderful voice. Will tune into more streams in the future for sure"
UgwI5TSe2dP3x64DHRZ4AaABAg,1617235200,tokitaya,0,リアタイは出来なかったけど、やっぱりるしあの歌はいいなあ。
UgyfveQ_C6YFl4l0C2h4AaABAg,1617235200,CHAKEN,0,"いのちの名前感動した

10万出すからCD作って欲しい"
UgyLRvNo8j01JO4PAPh4AaABAg,1617235200,読めなきゃ人間失格です。斯斯然然,0,メリーボッチマス
UgxslpS34k1Vco25DNN4AaABAg,1617235200,King Of Bel,2,14:57 I wasnt ready for Rushia to be so cute singing this...
UgxslpS34k1Vco25DNN4AaABAg.9Hi40ibDgUN9ILZSVmRI2_,1617235200,Churma,0,Me too..
Ugxiq-b1IdORYKS83294AaABAg,1617235200,jamy03影-ジャミィ-,0,"るしあちゃんのお歌は凄く素敵！
癒されたし感動したよー。"
