id,timestamp,author,likeCount,text
UgypG84GkFghUndwZa94AaABAg,1635724800,Gustavo Ch.グスタボCh,0,Rushia fue excelente directo de [Morley Online] ¡Obtén muchos productos de Holomen con los trucos de Dios! !! !! [Uruha Rushia/Hololive] y realmente fue muy excelente directo jugando a morley Online aparte consiguiste buenos premios de holomen es tan relajante verte feliz ah eres tan hermosa Rushia te amo.
UgxvKZywgkL6qBH7EXh4AaABAg,1625097600,ふぁんでっどA,0,1:24:38
UgzNbdDVsh6Nzbo_ird4AaABAg,1625097600,zレイファン,0,Did she deleted today Minecraft stream?
UgzNbdDVsh6Nzbo_ird4AaABAg.9OwhEBtjr1u9OxzsCP9gNF,1625097600,Terry,0,Yes
UgyHg8qh5WLD96VxDiZ4AaABAg,1625097600,ボボ某ボ・某ボボ,1,応援してます。応援させてください！
UgxRFypw27V3pynJL2N4AaABAg,1625097600,O W L E T S,0,:)
UgyeGG1fPuaKETsU1IJ4AaABAg,1625097600,Just Some Guy with a Mustache,4,"To the guy who tried to upskirt Rushia, I just want to talk to him. I just want to talk to him. Right, Fandeads? We just want to talk to him. Bring Rushia's big brother, too. He just wants to talk to him, too."
UgyeGG1fPuaKETsU1IJ4AaABAg.9Ots1WdyXzh9OtxRYENv0m,1625097600,Rifai Sukarman,1,"Bring all your Jellal clones, he won't stand a chance
We'll help too"
UgyeGG1fPuaKETsU1IJ4AaABAg.9Ots1WdyXzh9OxUfnQUVzd,1625097600,Anonymous User,0,Timestamp?
UgzOv_MkzmWNm400Eft4AaABAg,1625097600,はるはる,0,Thank you and sorry for that
Ugwd2HYLokXpw1aDH9p4AaABAg,1625097600,m,1,38:41喧嘩したいの？からの始まっぞは草
UgxYnE5ek3MOaCwgtlh4AaABAg,1625097600,교묘해,0,와
UgwYZBDThb6CctnuVbt4AaABAg,1625097600,ひなぎく,0,るしあちゃんが盗撮被害にあってるんだと思うとなんか興奮する
UgyugO_4T7rZZ0hpFeN4AaABAg,1625097600,神牙戦虎:zingasenko,0,スリーブか…俺がほしいくらいだ…るしあのスリーブがほしい、デュエマのメインデッキじゃなくてサブデッキのスリーブボロボロになり始めたから3重目と1重目のスリーブ買うのに合わせて2重目のスリーブのためのるしあのスリーブほしい
Ugwm5Xn0evH6_dFVvTp4AaABAg,1625097600,たんたん🛸💜,0,"おつるし〜
ゲーセンデート楽しかったよ！！
沢山グッズGETおめでとう🎉
ゆっくり休んでね！！"
Ugxzd_MniD2LhBoW2eF4AaABAg,1625097600,Young,2,17:19 19:33 25:13 1:02:11
UgxlTqTNN4IRW7PYZZZ4AaABAg,1625097600,Vyse,0,"Thank you for the stream! Molly Online streams are just like chatting with Rushia streams. These claw machines are never nice to Rushia, but you did your best! Good job!:_猫耳るしあちゅう::_ハート::_ぴよこ:
See you soon.:_猫耳るしあｚｚｚ::_猫耳るしあｚｚｚ::_猫耳るしあｚｚｚ:"
UgyeEkHepknvI4P9tdd4AaABAg,1625097600,うるはヴァジラ,0,"ゲーセンデートで彼女のはしゃいでる姿見れて幸せすぎた:_ハート:
るーちゃんのはしゃいでる姿ほんと可愛くて、その姿見れるならうちはなんでも頑張れる:_ぴよこ:
ゲーム最中のお話もめちゃくちゃ楽しかったw
忙しい中会いに来てくれてほんとにありがとう！その中でもるしあちゃんを近くに感じれるこの時間がほんとに嬉しくて好き。
がんばるしあ！いつでも心は傍にずっと応援してるよ:_ハート:
今日も楽しかった"
Ugzakn3vuV3zfl631St4AaABAg,1625097600,Akko,1,Opening bgm name?
Ugzf378q-_wb7VEkRKF4AaABAg,1625097600,Félix A.G,0,Arigatou Rushia!
UgwDaJKzitKaXmbBydZ4AaABAg,1625097600,Ramadhon Al Qodri,0,Hay I'm form indonesian 🗿👍
Ugw9Igl3gv58VotZWz54AaABAg,1625097600,🌙赤月雪人⛄️,0,おつ:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_るしあのあ:
UgzKMmxjuoZGQQyKKGN4AaABAg,1625097600,誰かの分身,0,"るしあちゃん、今日もゲーセンデート凄く楽しかった！ありがとう！:_きゅん:
たくさんグッズ取れて良かった！６個景品すごい！さするしだね！
後、１年記念日お祝いしてくれてありがとうございます！本当に嬉しい！
今もあまり言葉がよくできないｗ
報告で喜んでくれては幸せだね！
応援してるよ！これからもるしあちゃんだけずっと愛してる！:_きゅん:"
Ugy8Gd3Kj12eU9sbOh94AaABAg,1625097600,RAMPAGE SUPERCAR,0,ありがとるしあ
