id,timestamp,author,likeCount,text
UgyaTHbjtyTSa4S88eB4AaABAg,1643673600,Tsurugi,0,34:29 じぶん用
UgwHkdq4M2z8skRY_JN4AaABAg,1619827200,食用かっぱ(養殖),0,"19:38 から19:40にかけてガチでヤバ
結構心霊系信じない人だけどこれは怖い

なぜこの時間に見てしまったのか"
Ugwt4WdIjT8mxuvZZCl4AaABAg,1617235200,ދެ,0,34:29自分用
UgwFAQjjpJL1847ql3Z4AaABAg,1617235200,zib soeru,0,57:50 自分よー
Ugz63r-bbRJSzsmcJX94AaABAg,1617235200,たけし,0,49:29
UgxFMYLl0uU7RXKtjId4AaABAg,1617235200,うみしお,0,34:29
UgybxGiNiDKT0fGeTWN4AaABAg,1617235200,toi³,32,34:29 自分用
UgwiF_bU8kDwi-2M-bd4AaABAg,1617235200,7 1,0,34:29
UgyMmvjALFKLCEouCvN4AaABAg,1617235200,ToMo,7,"35:12自分用
「るしゃァー！」"
Ugyh5ZLjaLoQQeCfN8N4AaABAg,1617235200,あらかわちゃんねる,59,34:12 るしゃー好き
UgzIRRInN3-oAWoBHuJ4AaABAg,1617235200,りるちゃ,1,るしあはおばかだから、ビンタが、るしあ(おばか)を嫌っているw
UgwChnzngXddkVgmji14AaABAg,1617235200,じゃがりこじゃがバター味,1,アップリケ…
UgylicAcwZ5pZRT2wxp4AaABAg,1617235200,アンハッピーリフレイン,0,"おつるし🦋

ビンタおめでとう🎊🎉"
UgwP2hU9L-Ufb4cbKxp4AaABAg,1617235200,大魔王ぼんてん,0,19:40
UgwzWNRfDsAB7hUfc6B4AaABAg,1617235200,Picass 01,5,49:25 ビンタされた理由で草
Ugz-mTvxd1LI6GGxWqF4AaABAg,1617235200,ぱすと,0,ネクロマンサーの所以ですね
UgwPAFcPA8MNRyLovdR4AaABAg,1617235200,xiangling honkai,0,Boing boing pettan
UgzvS9BySgrseJs0Nlt4AaABAg,1617235200,Whafflee,3,"19:40 First Sui and now Rushi.  These streams are becoming haunted, I’m scared"
Ugw1Ic_gBsMfrDQZk0R4AaABAg,1617235200,アヲガラ,0,"1:53:42
uhoy!"
Ugyf2UbIx6Y_vFaZwBd4AaABAg,1617235200,Rohan !,1,心霊こわっ…
Ugy2QQ6gskH4igotal94AaABAg,1617235200,ポンシノTV,4,るしあ　お墓から友達呼んだ？
Ugy_tVqxlRsKSc_53R54AaABAg,1617235200,Yveee,0,Rishia😍😍
Ugzve9XSBhurPGxk-Zd4AaABAg,1617235200,雪だるまになった謎の生命体【凛】,0,配信お疲れ様でした〜(人*´∀｀)
UgwQb9MoZdcNyH46rLB4AaABAg,1617235200,M'CURY,0,Ala mak. Bangun tiduk sakit perut langsung loncat ke wc
Ugwb7tNPILgjuMWoI4R4AaABAg,1617235200,Mesugaki Cone Tall ฅʕ•̫•ʔฅ,1,"_░▒███████
░██▓▒░░▒▓██
██▓▒░__░▒▓██___██████
██▓▒░____░▓███▓__░▒▓██
██▓▒░___░▓██▓_____░▒▓██
██▓▒░_______________░▒▓██
_██▓▒░______________░▒▓██
__██▓▒░____________░▒▓██
___██▓▒░__________░▒▓██
____██▓▒░________░▒▓██
_____██▓▒░_____░▒▓██
______██▓▒░__░▒▓██
_______█▓▒░░▒▓██
_________░▒▓██
_______░▒▓██
_____░▒▓██"
UgywvN6BNFRGt6IdH2Z4AaABAg,1617235200,Alice,1,"配信おつるし！！
ビンタ召喚ヽ(*´∀｀)ﾉｵﾒﾃﾞﾄ─ｯ♪"
Ugy9pCFpfI_kOd-rkhR4AaABAg,1617235200,ろいろい,3,"配信おつるし～🦋
ビンタ召還おめでとう！！
これからの村生活が楽しみだね！😌"
UgzRPBgU47mdw7acsSd4AaABAg,1617235200,ふるる,7,"3:45:20
ここの音と19:40の音が似ているように感じる…？
何かの環境音を拾っちゃったのかもね。"
UgzRPBgU47mdw7acsSd4AaABAg.9Dxb6-0it599DxcAhmHqJn,1617235200,サザイエ,0,るしあの吐息の様に出ちゃう声だと思う。無意識で出しちゃうやつ。
UgzRPBgU47mdw7acsSd4AaABAg.9Dxb6-0it599Dxe6HbjAI2,1617235200,ふるる,0,"サザイエ  あー、なるほどです！確かにそう聞けば正にそうですね…
分かってから聴きかえすと不思議なもので、もうただの可愛い声にしか聞こえなくなりましたw"
