id,timestamp,author,likeCount,text
UgzEYR9b2xiQFncrVw54AaABAg,1648728000,モノクロJunction,0,もっと続いてほしかった
UgymrawbbTZYYncXSal4AaABAg,1648684800,冥魁OwO Reaper,1,好想再看到她們連動啊...(༎ຶ ෴ ༎ຶ)
UgymrawbbTZYYncXSal4AaABAg.9_AAT56TPc19_Ea5QiO9_m,1648728000,D star,0,我也是😭
UgxevPpyqH30uEWDEHd4AaABAg,1648512000,深海鬼ごっこ,1,"自分はあやめ推しなんだけどるしやのことで落ち込んでると聞きにこの配信が来てくれてなんだか気分わ戻って来ました
ありがとう"
Ugxc9bUI3OkoU6uFRtR4AaABAg,1648339200,龍牙神,0,🦋
UgwUAKps9kba-R-GNRJ4AaABAg,1648166400,ゆり彦,0,ひたすらに可愛い空間だ……
Ugz4T2Qd3UNUw3KOpBF4AaABAg,1647561600,幸葉 / tsugumi,0,アーカイブ巡回。最初で最後の自枠コラボ雑談なのかな？終始癒される神コラボだったなあ…
UgxWWEoTGLb8R6SAPZF4AaABAg,1646956800,IdenityX Unknown,0,"Konnichiwa Senpai !:_るんるん::_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL :_しょぼん::_るんるん:

Ayame : ""speaking""
Rushia : ""speaking""
Me : Don't care what they said , just watch :_ぴよこ:"
Ugy9vYo6kjhDFssZsb94AaABAg,1638316800,クリスティーナ,0,"「あやめしぇんぱい」
としか聞こえん、かわいい。

るしあの声真似かわ余すぎ"
UgwNiLqIae3yMwaj-LN4AaABAg,1638316800,ぜりー,1,先輩とおしゃべりできて嬉しそうなるーちゃんかわいい
UgzQPFW7IJmav5uyor94AaABAg,1638316800,DEF ABC,2,"限界化オタクになったるしあ
しかしお嬢との相性いいな、趣味一致なんだし二周年ライブも来てくれた
二人の可愛さを限界まで引き出す事ができるからこれからもコラボしてね！"
UgzEuzVPj-hZso9lqhZ4AaABAg,1638316800,シュン,0,17:43
Ugwy2Azb-S7iI4Iy1eN4AaABAg,1630454400,yusuke o,0,好きと好きのコラボ！今更やけどめちゃくちゃ楽しく見させてもらった！ありがとう🥰
UgzGel6r8XPFzR0qygN4AaABAg,1625097600,焼肉定食,2,"里芋の煮っ転がしですか？？って言った時にBGM一瞬なくなってタイミング最高だったな

面白かった"
UgyXtE8dBGliX7YTYz14AaABAg,1622505600,Scheidj Bleu Villados,0,Rushia-all-permanent-smug-mode stream
Ugz6B6k0RZSlA3hxgp14AaABAg,1619827200,donaco.どな子,0,イイ...　しか言えない...:_きゅん:
Ugwmq1z6yc1RCvzsPOZ4AaABAg,1619827200,愛佳【まなか】,6,1推しと2推しが揃ってるとか私得やん:_きゅん:
UgwbIjsls142i480GYV4AaABAg,1619827200,単体じゃ無力,0,18:45〜、42:30〜、癒しの時間
UgxN3HwNiPu4tCBTqr14AaABAg,1617235200,7134 brown,0,赤目ロリぺったん
Ugx0UB1-QucdKkvBXqN4AaABAg,1617235200,nosuke,0,"見逃した～～！！。
こんなかわいい空間があったのか～"
Ugzt52MdR5DvmpI_1sZ4AaABAg,1617235200,バイル,0,"キャベツ切るのが得意です！
だから頭に千切りのせてるのか"
UgySw6lNcHSDAofZHU94AaABAg,1617235200,Sateba,0,生きてて良かった。
UgwhhdbfnkLbNCRA0hJ4AaABAg,1617235200,ぽん,0,1:00:16
UgxD8RMQ3Xm5prl6U0t4AaABAg,1617235200,さざなみやっこ,3,団長もホロライブ入る前からお嬢のことガチ恋だって言ってたけど、ルシアも他の2期生コラボと違って少し距離感があるのは、お嬢の事をホントに憧れてたから目の前にしたら少し他人行儀になってしまうのかもしれないな。。
UgxD8RMQ3Xm5prl6U0t4AaABAg.9G9W3Dil4EE9UGDbTbB3bD,1638316800,DEF ABC,0,"るしあとスバルもこうだからあまりコラボしないかな？るしあとお嬢の方が多いと気がする
逆にアヒージョになって行く団長．．．不思議だけど面白いね"
Ugwwm92dSwgD8c-i2VR4AaABAg,1617235200,クロ,0,30:51　自分用
Ugz-s91VMp0nIL6D3Lh4AaABAg,1617235200,Sebas1509,0,What's the BGM of this stream?
UgwC6hqPIvXVV4ORJaJ4AaABAg,1617235200,Kuro m,0,あやめちゃんも、るしあちゃんもマジでてぇてぇ、、
UgzNgkNUzjrh9_gd81h4AaABAg,1617235200,Tausif Ansari,0,Rushia Boing Boing
UgyLBzvEba6FzJ4zPJ94AaABAg,1617235200,颯爽と駆けつけた噛ませ犬,3,"推し二人が会話をしている…
嬉しすぎる😇"
UgxKztK2Ksf8X9LNZR54AaABAg,1617235200,シュガー,2,38:56
UgxGHV4tduErJ6LwfZx4AaABAg,1617235200,kan,2,なんだこのてえてぇコラボは…この2人揃ったら可愛さ溢れててやばい！コラボありがとうやで(今更みたファン
Ugwq-Qvl1StIIbIfFPJ4AaABAg,1617235200,Soy abean,0,以前的视频都被删了吗。。。
UgzWtlX8fetWV4ll2Ht4AaABAg,1617235200,Soilderbae,44,"Where's Rushia's archive? I can only find up to 1 month ago... 
ルシアのアーカイブはどこにありますか？ 1か月前までしか見つかりません..."
UgzWtlX8fetWV4ll2Ht4AaABAg.9Bl2RjBvCz29DaFcksWXZJ,1617235200,Aysy1337,1,WHAT HAPPENED FUUuuUUCKK!!
UgzWtlX8fetWV4ll2Ht4AaABAg.9Bl2RjBvCz29E5K_uK0NaP,1617235200,かったー,1,消されたのかもしれません
UgzWtlX8fetWV4ll2Ht4AaABAg.9Bl2RjBvCz29ESoSfLBW9I,1617235200,シドウ.,3,Twitterで見たけど著作権なんちゃらかんちゃらで１回非公開にしたらしいです
UgzlXlGSMEOa_O9DKjV4AaABAg,1617235200,みなみのそら,1,てぇてぇ
UgweHf5A2HoUehCWurh4AaABAg,1617235200,third eye三ツ目,0,自分用　41:15
UgxfW2ou2yyfumSQ4ZB4AaABAg,1617235200,ゴータマ,0,"26:18
しおり"
Ugx64uFU8AeszxOs7Xx4AaABAg,1617235200,greisia,0,なんか彩度低くない？
UgzC1iNQZ2hvgJP8XPB4AaABAg,1617235200,せいや,0,ありがとうと、伝えたいね(昇天)
UgyDtIWH0OXDgG8V4sJ4AaABAg,1617235200,歌大好きなんよ,0,"45:43[！？]




A V"
UgwgUgNc4Rz1cKrtFrZ4AaABAg,1617235200,シュンヤ,0,"幸せな空間ですね。
ありがとうございます。"
Ugws-q3Jap_cQQz3Z4F4AaABAg,1617235200,てきお,0,"2人とものもうタイトルとサムネからわかるいい匂いと可愛いの塊感。
話し変わるけど最初に流れてるBGMカッコよすぎるだろ...るしあの選ぶBGM毎回センス良くてしゅき。"
UgwAkilqGrzSe676VPl4AaABAg,1617235200,Master Fish,0,I dont understand whats happening but i still love it
UgxnKe6oGp1u_ozpj_14AaABAg,1617235200,assault gloxena,0,Best girl 👍
UgzyouEKCgkyic5uRih4AaABAg,1617235200,ッDxDi,0,"Who else just watches her streams even if you don't understand anything but enjoy it, Ight I will learn Japanese now, let's see how many I can learn through quarantine"
UgzyouEKCgkyic5uRih4AaABAg.99UDuVyobXt99Y8hXcLCSq,1617235200,八雲よみ /Yakumo Yomi,1,"It shouldn't be that difficult to pick up the basics. I'm nowhere near fluent, but I do have knowledge of the language (I can read hiragana, katakana, some kanji, and know grammar/sentence structure). The biggest barrier is probably going to be vocabulary. Since the Hololive streamers are native speakers, they use a lot of slang/informal language that you probably won't learn from a textbook/learning app.

That said, definitely see if you can learn the basics. Just memorizing hiragana and katakana shouldn't take you too long, and you'll likely learn the basics of grammar along the way."
UgzyouEKCgkyic5uRih4AaABAg.99UDuVyobXt99YA-2ATUXv,1617235200,ッDxDi,1, @八雲よみ /Yakumo Yomi  okay thank you 🙌
UgyXjAuQ2UwkUR-7E3t4AaABAg,1617235200,oo Q,10,あやめ先輩の語尾に濁点付くかんじ「〜だよ“ぉ”」「〜ね“ぇ”」とっても良き
Ugy7aRP8jwcsgn4FZrV4AaABAg,1617235200,なかたい,0,こんなラーメントークでかわいい人たちいますか？
Ugx0Lf_XILhx5w36h-54AaABAg,1617235200,蒼井夢瑠,1,"基本アーカイブ＆切り抜き視聴勢なのですが・・・・。




これほど後悔したことはないと思いました。
終始てぇてぇ回なんて生きてるのが辛い(´・ω・`)"
UgxwYg_fZZgE0BguwV94AaABAg,1617235200,Mas Chan,0,平和や
UgxPi6COAwo92zTP2hV4AaABAg,1617235200,ベイサイドブルー34,0,なんだこの子犬のじゃれ合いを見ている時の様なホワホワ感は!!
