id,timestamp,author,likeCount,text
UgwFLicLVOq_fM5Cm_p4AaABAg,1633046400,長瀞「ながとろ」京介,1,"たいありでした

17:07"
Ugym0Z4DQ1pexI2QhT54AaABAg,1617235200,Takayoshi A,0,"自分用
1:04:31 Wii ワリオこうざん 3位
平均順位 3位"
Ugww2yxpHAwWrz5hY3p4AaABAg,1617235200,みや,0,ゲーム中は、初号機と化すルシアすこ！
Ugw01xcx7CJplo6Tx4Z4AaABAg,1617235200,Lucy,0,OPの曲がなんていう曲かすっごい気になるんですけど誰か知ってる人いませんか
UgwWD17KxDnZPPx3NtJ4AaABAg,1617235200,thundershock,0,I love Rusia
UgxYCppnvGT-2lAJvep4AaABAg,1617235200,trái đất,1,本当に申し訳ありません Rushia
Ugx1SJUzMk8Vx_5Q-Ax4AaABAg,1617235200,trái đất,3,私は以前にあなたのライブストリームを見たことがありますが、私たちの国（ベトナム）からの悪い言葉もたくさん見ました。国を代表して、深くお詫び申し上げます。ご返信をお待ちしております。
Ugy2vBsivpT3LhMH4Ch4AaABAg,1617235200,Eclipse,1,Nice
UgxX1OefI9xl4v7s-194AaABAg,1617235200,加藤ガハマ,0,可愛かった
Ugy67bXrobVoYpyl04l4AaABAg,1617235200,マーク,0,"全部見終わったけどるしあちゃん全然うるさくなかったよ！👂✨
それどころか感情豊かなるしあちゃんが見られたので良かったよ！とても楽しかった！リアタイ次こそは…！"
UgwYwkVk-fESjMH9lIt4AaABAg,1617235200,$@MER,5,40:28 plz someone clipe this🙏
UgxZR443vbkHeVn7zDV4AaABAg,1617235200,zeijuro,2,I missed the stream. I'm really sorry Rushia chan. I won't miss it tomorrow!
Ugxip2HHNsxDxyxxSCx4AaABAg,1617235200,ろいろい,0,"いつも楽しそうにゲームしてくれるから、見てるこっちも楽しいよ😆
キラー取ったときのるしあちゃんが可愛すぎた"
Ugywu9KnYSjvcy5thJt4AaABAg,1617235200,"fire,",0,"最初から元気いっぱいで見ててほんと楽しい！
マリカも上手くなっててさすがだった"
Ugw8Z7olfWD32PQXW6l4AaABAg,1617235200,vanguardduelist,3,"I missed this stream, but hopefully I’ll catch the next one. Looked like a fun stream."
UgyypdHK9rZseqHtIGl4AaABAg,1617235200,Morales モラレスCarlos カルロス,0,おめでとうございます、各レースはとても楽しかったです。 あなたはたくさん改善しました。 頑張ってくれてありがとう、とても楽しかったです 👌👌❤👍😮
UgxPZ4C1pDM7UDzpYPt4AaABAg,1617235200,MrDerpinati,0,1:10:18 :p
UgyEI0gmDQ03Jy_VCLd4AaABAg,1617235200,焼きたてエッグタルト,0,"今日はいつもより初号機しているのは気のせい？
そしていつも通りかわいい:_るんるん:"
UgzoJAzsV28kKRQESCB4AaABAg,1617235200,メランコリィ!,37,"2:07 開始 / start
4:17 声の大きさ / volume of voice
5:14 透き通る声 / clear voice

8:36 1戦目 / 1st race
┣10:49 ショトカ / shortcut
┗11:25 小台パン / small desk smash
12:25 ルージュラ
12:57 2戦目 / 2nd race
┣15:00 キラー① / Rocket Killer①
┗15:40 キラー② / Rocket Killer②
17:01 3戦目 / 3rd race
┣18:27 うわあぁ / uwaaaaa
┗19:10 キラー / Rocket Killer
21:01 4戦目 / 4th race
┗21:12 はあちゃまとワトソン / Haachama and Watson
25:19 5戦目 / 5th race
┣27:20 ショトカ / shortcut
┗27:37 アイテム / item
30:55 実況 / commentator
34:05 ジャイアン / Big G(Doraemon)
34:25 6戦目 / 6th race
37:43 清楚るしあ / pure Rushia
38:25 ぶん殴られたのび太 / punched Noby
38:36 7戦目 / 7th race
┣40:17 るしあとクッパだけ見て / Just look at Rushia and Bowser
┗40:46 汚い声 / dirty voice
43:37 8戦目 / 8th race
47:29 9戦目 / 9th race
┗49:14 ファイア / fire
50:12 ♪もののけ姫 / ♪Princess Mononoke
51:19 10戦目 / 10th race
┣51:31 ♪テルーの唄 / ♪Teru- no uta
┣52:14 ジャンプ台 / jumping board
┗53:04 ぶりっこるしあ / innocent Rushia
55:24 11戦目 / 11th race
┣55:35 8位以下なら罰ゲーム / If I come in eighth place or lower, there's a penalty.
┣57:12 やばい / yabai
┗57:35 キターー！ / Come on!!
59:08 来月、回線工事します / I'll install an internet line next month. 
59:41 12戦目 / 12th race
┣1:00:21 苦手じゃない / I'm not bad at this course.
┗1:01:12 キラー / Rocket Killer
1:03:40 打ち合わせ / meeting
1:04:26 13戦目 / 13th race
┗1:05:27 ちゅっちゅの刑 / The kissing penalty
1:08:54 14戦目 / 14th race
1:12:55 ED / ED

1:13:40 ED後トーク / talk after ED
1:15:32 寿司 / sushi
1:29:04 釣り / fishing
1:43:26 スパチャお礼タイム / superchat reading start
1:53:09 明日ASMR配信 / tomorrow's ASMR stream
2:20:38 ED / ED
2:21:08 Cパート / C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for DeepL."
UgzoJAzsV28kKRQESCB4AaABAg.9FJgdRCN7kp9FK33K-060F,1617235200,Jack Stiner,1,"Thank you for this, wise guy"
UgzoJAzsV28kKRQESCB4AaABAg.9FJgdRCN7kp9FKUM6adUMj,1617235200,tsztsun tang,0,"i wonder the BGM at 1:13:40 ( talk after ED )
its relaxing"
UgwXFuSQK9Yjq6OpgW54AaABAg,1617235200,TheSpeedyFire,26,"20:38 Made it again! 

It was fun racing with you Rushia!"
UgwXFuSQK9Yjq6OpgW54AaABAg.9FJdnrfXny19FJeUG4MS4a,1617235200,Donny Corn,2,Nice to see you having fun there.
UgwXFuSQK9Yjq6OpgW54AaABAg.9FJdnrfXny19FK9RwNaB-d,1617235200,Carlos Rodriguezカルロス・ロドリゲス,0,Nice 👍
UgzeeU4ADBXJkSevVK14AaABAg,1617235200,ウホホイゴリラーテ,3,"自分のコメント読んでくれてありがとうございます！
みんなもチート行為は辞めようね！
1:56:38
2:09:00"
UgzxUYmtb_ob8oir56B4AaABAg,1617235200,まお,1,元気一杯で観てて元気を分けて貰える
UgyKfuvAVnbfu7vCDP14AaABAg,1617235200,Nexcell Pride,14,"Once more, Rushia is more closer to the audience.
And special mention was the satellite which were going down too many times.
But at least this didn't stopped our Princess anyway, because in mid of stream she said ""next month my internet will be better"" (According with one of live translators)

Anyway, again demonstrated the closeness between Rushia-hime and all fans. :_ハート::_きゅん:"
UgyarEa5SceNDFce6ZJ4AaABAg,1617235200,toad mc'nugget,2,"I sense anger and frustration when I heard she smack something I think the keyboard bc I heard the sound ""no please spare me"" condolence"
UgwwogYRdm7Il_K9nVx4AaABAg,1617235200,Amai Ta. Yume,5,Thank you for the Stream Rushia! I love it so much! You're voice helped me while I am doing my work. I'm on my way now on getting money on my own. I'll soon be a membership <3
UgyZGE6Me47F8qkYREt4AaABAg,1617235200,Redan Kenneth Uy,19,"8:58 Race 1 
11:27 Desk-kun -10 HP
13:19 Race 2
17:22 Race 3
20:28 Mic-kun -10 HP
21:25 Race 4
25:42 Race 5
29:50 DC Rant
31:13 Commentator Rushia
34:48 Race 6
38:57 Race 7
43:57 Race 8
47:58 Race 9
50:14 Song Intermission
51:34 Race 10 with Song
55:44 Race 11
1:00:16 Race 12 
1:04:09 Race 13
1:09:15 Race 14

Bullet Time:
15:02
19:13
22:48
28:01
46:04
52:55
53:22
57:40
1:01:43
1:06:13
1:10:55"
UgyOoVTjCZH5n1NW5w54AaABAg,1617235200,夜勤りん ご,6,るしあちゃんって本当に楽しそうにゲームするよね！見てるだけでも楽しいです〜🦋
