id,timestamp,author,likeCount,text
UgzFQZXNEGUkk2xJk9d4AaABAg,1647648000,Phạm Phúc Lâm,0,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
UgyT49v-fkI7eXNFDWt4AaABAg,1640995200,よしわら: yoshiwara,0,"配信ありがとう！
るしあちゃん終始泣きそうな声やんなあ
メンタル含めこの頃から疲れ溜まっておった？心身ともにぶっ壊れてるって何があったんだろう。
俺はただ、醒めない夢を見ているだけさ。（カウボーイ・ビバップより）という言葉を贈ろう。"
UgyYymWtxopKHfydaSR4AaABAg,1627776000,astromath,0,"I just can't believe her going gallivanting around at night when there's too many mobs for her to take on.  She should've at least find a building (there were several she passed by) to take refuge in.  Since I don't understand the Japanese language and the google auto-translate makes a butchery of the translation, I have no idea of what she is saying."
Ugxku_kkZCO0Jcr98vN4AaABAg,1625097600,ミヤネス,0,"6:11
8:47"
UgwKBrUzs50JVhUzhr14AaABAg,1625097600,ラムもか,0,9:08
UgzSLaycuf3Yj8NQs594AaABAg,1625097600,ラムもか,0,8:47
UgxNObO2J7C96V0cHw54AaABAg,1625097600,ラムもか,0,6:11
UgwOyhr6UxXidd9ksV54AaABAg,1622505600,TOP TOU,1,この配信の最初のBGMわかる人いませんか？
UgzI4Mzwfm4nvYVpyh14AaABAg,1619827200,Kaori Ch. ツイステッドワンダーランド Lunacute Games,0,Konrushiaaa
Ugw4ibMByet58JwZfzN4AaABAg,1619827200,X ME,0,ナイフ出るの速すぎてワロタ
Ugx0ef5vMjCtxmVJIeB4AaABAg,1619827200,くみいん,0,3:47:08
Ugxti8LPBfTkRcSMV9N4AaABAg,1617235200,アルファグライス,3,9:08 ヒエッ
UgzzG4Wf1UaCxjhUYfJ4AaABAg,1617235200,SonicPhoon ソニックプーン 索尼克潘,7,"6:11
8:47
9:08

tag from Subaru"
Ugy2YqZtif4v3qG8FK54AaABAg,1617235200,nino,0,最後のbgmなんなんだ...
Ugzr7bgwO18eSX07Vat4AaABAg,1617235200,ブルガリア師,26,6:12殺人事件
Ugzr7bgwO18eSX07Vat4AaABAg.9LJYMRlmNdL9LNSunKNASj,1617235200,Purple Flip,2,たすかる
UgyFTJz-IWVtBVPkofx4AaABAg,1617235200,ぽっぽ笑wara,0,1:40:00 るしあ壊れてら(˙꒳​˙ )
