id,timestamp,author,likeCount,text
Ugx6pEzoS6dGbIG_UIl4AaABAg,1633046400,吟遊詩人がいす,0,21:49
UgypLa_k9ojgQadAen94AaABAg,1630454400,Checkmate Dot,0,We learned that million is impossible
UgwiXHv1VE7H2ITBRoB4AaABAg,1630454400,はむ,0,オープニングの音楽ってなんてやつですか？
UgwNNBuIiDWVbePorA94AaABAg,1630454400,Xope,0,(^-^)
Ugx71kB49evWIbjwFmV4AaABAg,1630454400,tuan anh,0,...............................................................
Ugw9V_yS7rlb5JZjKtl4AaABAg,1630454400,千寿。,3,金を持て余したブイチューバーの成れの果て
UgyaAZHU69mViK3Z32B4AaABAg,1630454400,無,1,かわいいrushia ❤️🦋
UgwHuOazwyXVpnBXZsx4AaABAg,1630454400,N 3 R U 👾,0,Xin chào
UgxrGkHFlXUQ4OkGu794AaABAg,1630454400,横国医医あんず,0,ちょうちう❤️🥵⭐️
UgyDw-_5eINlaDnE2_R4AaABAg,1630454400,alelurrrgia XD,0,Ñ XD
Ugzl0BsAaTp_KQN8LYB4AaABAg,1630454400,Sola Fate,1,５億で豊胸手術した所で偽乳と言われるだけだからな
UgxSSPVBDkgAVi97myR4AaABAg,1630454400,黒豆,3,こいつキモいぺこ
UgyYUrNlxqn4DJzk_lh4AaABAg,1630454400,Vitchapas,0,ค**
Ugx3T1QUAYc51yCXjTB4AaABAg,1630454400,Vyse,0,"Rushia playing the lottery, not for money, but to win the hearts of her Fandeads for being so adorably cute. Thank you, Rushia.:_るんるん::_ハート:"
Ugwh56Jb2ZVVDBL-QJZ4AaABAg,1630454400,もち米バニラ,0,配信おつるしです！いつも楽しく見てます！配信頑張ってください！:_るんるん::_るんるん:
UgwXQkiS26p2H1Sq0tZ4AaABAg,1630454400,Trang,1,Ham tiền
UgzBzUiJakrSRAa_LWt4AaABAg,1630454400,Trang,1,Ngực nhỏ
UgzWjsvTeEw33FbPSoJ4AaABAg,1630454400,Trang,1,Nhỏ lép
UgwHdVLzh13JwXMeInJ4AaABAg,1630454400,Trang,1,Lép vl
Ugw4twD-OVu2wehOcHJ4AaABAg,1630454400,Motoyo Makoto,0,Thanks for the daily medicine
UgxpKWVUT5cDxyjkL9h4AaABAg,1630454400,젝핀이,1,指の影が綺麗だ  指細くて長そう
UgyYb1s1BeS4Q3RWTGd4AaABAg,1630454400,Hoàng pêp,0,Kanata is cute
Ugzaq0--W9dUVX-F0DN4AaABAg,1630454400,フジ,0,るーちゃん可愛い綺麗な指
Ugw60JjtS6yKgAlLNhZ4AaABAg,1630454400,凪,0,今日の配信壁紙可愛いイラストレーター誰だ！
UgxhZwE6h4OY9pRM8PZ4AaABAg,1630454400,いうこう,0,2:07:52 かわいい:_きゅん:
