id,timestamp,author,likeCount,text
UgwKDyLyaDg5P8Y8V6t4AaABAg,1648738500,Kang,0,お疲れさまでした
UgyEsHgSDcNW_po_q854AaABAg,1648738380,Cliff V,0,o7
Ugx70FT6-qLCGzjcnSp4AaABAg,1648738380,高海千歌,0,thank you rushai !
UgwQVyR_UDdd_xxflQZ4AaABAg,1648738140,hao nguyen,0,i love you
Ugy3bwemVQuNVt6HsRl4AaABAg,1648738140,翠 白ノ宮,0,ガワは好きだよ😁
UgweKjNcBduftjlBfrh4AaABAg,1648737300,yuimio morioka,0,愛してる
UgyaRXV2NO62P41wT3p4AaABAg,1648737300,yuimio morioka,0,本当にありがとう
UgwYPD7aTNgqELRVU_N4AaABAg,1648736640,畳おいしい,0,"今までありがとう😊
楽しかったです"
Ugx3DlcVz9SEAoMTtpt4AaABAg,1648735140,Faris Daffa,3,LOVE
UgzNzfWPNzmDNZEBjPd4AaABAg,1648735200,緋村抜刀斎,1,"るしあは消えない！
たとえ、チャンネルが消されても！
私たちの心の中にいるんだ！！！！！"
Ugwt_zHTL0IQRfK48vB4AaABAg,1648735200,キツネ,1,短い間だったけど、アナタを知れた事で幸せが一つ増えました。ありがとう
UgyPpqTSdlqekCxVXSt4AaABAg,1648735200,りゆ,0,ありがとう
Ugw8FzB8L8TcAPDi6p14AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……
UgzZpwWRKQLDg0J_5Rh4AaABAg,1648724400,スーパー古戸レイジ,0,Rushia!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
UgzlVQ2qG6-UUub_v3d4AaABAg,1648724400,StriderLoweyd,0,I can't believe I'm still getting over it.
UgyfFqaus-mCoFGh0yp4AaABAg,1648724400,バイバイ露西婭,0,Goodbye.  Love U.
UgyMYb-5mfbh6NohVoJ4AaABAg,1648720800,Little Chemie,2,O7
