id,timestamp,author,likeCount,text
UgzGkfdgVQZbYMydmd54AaABAg,1646956800,chester,1,❤️❤️
UgwPEoZi2J3kZ1l8tFV4AaABAg,1646092800,暗黒魔界のぉぉおおお ぉおぉぉおおおドラキュラデーモンサタンでびるショー君草www!!タマネギかw何,1,るしあ氏最高❤❤❤
Ugx74dzFqxNgbqmo8Mx4AaABAg,1640995200,戰地風雲,0,"27:17😂😂😂😂😂😂😂😂😂😂😂😂😂
41:08
咆哮MAX"
UgycC1X1hjlGRVsfSal4AaABAg,1640995200,ワラソティス,0,純粋にスマブラを楽しむるしあちゃんが可愛いんじゃ！！
UgyI0KONA3MydwJ9dS14AaABAg,1638316800,ｽｲｶﾊﾞｰ,0,1:18:18😏
UgwPhlZyJJtWSNW0iMd4AaABAg,1633046400,Jenna Rizzo,0,"I play SNK Heroines as Terry became a girl (thought to be a skin), the girls and the main villain speak Japanese."
UgyMevD8x2xqAiGuP0l4AaABAg,1630454400,영선,0,2:33:48 Mafty
Ugwse1UEag1J04dnlCx4AaABAg,1630454400,ゆーと,0,なにこの清楚の塊
UgyGLvwJE_xsdp0on0R4AaABAg,1630454400,キラ,1,1:22:43 ここの笑いめっちゃ好き
Ugzr-EtmRDPFCuKQiiN4AaABAg,1630454400,キラ,1,1:11:28 ここバカうまい
UgxHHCzOUPYkeFm6crB4AaABAg,1630454400,かいちゃん,0,セフィロス強いでー
Ugzvgb-kebZzvNpRkk14AaABAg,1630454400,いよてん,0,"るしあの花に亡霊とグッバイ宣言を聞きながら寝るとすごく快眠できます( ´艸｀)
怒ったときのオラついてるのも清楚なのも元気なのも全部好きです。
癒やしをありがとう(*^^)"
Ugxas-GGS_bKUjq5oF54AaABAg,1630454400,ワオワオチャンネル[channel],0,"1:44:52
淫夢語録を拾ってしまったるしあ"
UgwAOAT7QD36R1DTY194AaABAg,1630454400,Hikari Aoi,0,あ
Ugwk0eTrfH1ZSJ_tY9N4AaABAg,1630454400,こう,4,1:47:05 ナガレさんに反応
Ugz6b5Zv9GjuFKE6FZB4AaABAg,1630454400,カビ助,0,こんにちは，今度あなたの配信に行きたいです。修行だ修行！
UgyE1q4m_f-euOIE58l4AaABAg,1630454400,sonic,3,1:58:43ナガレ戦
UgyLG3ZDSbT9aZpuHg94AaABAg,1630454400,ふぐ鍋,0,"1:58:27
vsナガレ"
UgxvUdY8mZehFWljZ594AaABAg,1630454400,ー ふぁ,0,"ナガレさんから来ました
かわいかったです"
UgxdVOhu2KX4HI34sQZ4AaABAg,1630454400,Dog BLUE,0,ザクレイとかタミスマの動画ばっか見てたけど、やっぱスマブラってパーティゲームだったんだなあって
UgxOMvrpre1-AqT0B8d4AaABAg,1630454400,ゆーま,0,27:19 ってパックマンの横bの玉に判定吸われたんですか？　アーマー？　コメ欄に流れてるカウンターはパックマンにはないです、、分かる人教えてくれー
UgyBojkgYfdKExLmWSB4AaABAg,1630454400,わた,8,1:28:56ここ惚れた
UgyG24ao_0bgKCIkUXF4AaABAg,1627776000,CH,0,cute
Ugx9UYcWXlahUAxzpZx4AaABAg,1627776000,senmon,0,？？「スマブラは愉快なパーティゲームですからねw」
UgyUev18viUQttVhTm54AaABAg,1627776000,Joshy el Colocho,0,:3333
UgzX5fiNeAlo1fa0hDR4AaABAg,1627776000,imoutoLOVE10032,3,また、ナガレさんとやっていたのか……ナガレさんおめでとう御座います
UgxDHQsbG1UmKxHHMJ54AaABAg,1627776000,林檎飴,0,パスワードいうて10^4通りだからな…
UgxATresTn9KugSb9Pd4AaABAg,1627776000,Arnos Voldigod 😈💜,0,3:19:34  Very Epic Moment 😍😎👍
UgxrCNB194RVe8YHCIR4AaABAg,1627776000,TheMramezuki,0,okファンデッド　おすすめのボコボコシーンと絶叫シーンは？
UgyIfBBP6bC_pBIa1kh4AaABAg,1627776000,たっちゅん,0,2:54:11
UgyDGH5sVv4I8UKI1tB4AaABAg,1627776000,清楚です,3,34:45地味に見セプしてる
Ugwefhfi_aXUeWMPsh54AaABAg,1627776000,ヘイガニ,0,1:59:36オーダイル
UgwkJ9ZgTfTRkP866Eh4AaABAg,1627776000,野生のカツム,2,スマブラ好きだから今度やってる時におじゃましよぉ
UgzmPAkQQ7IPvVkb3Zp4AaABAg,1627776000,スマホを叩き割った雪冬AoI(雪民),18,るしあさんが愛される理由何となく分かった気がする
UgwG9Y1esXJoNiKomK54AaABAg,1627776000,STIアレク,1,スマブラ配信最高(*´ω`*)
UgxPnErNpWNWzXwCupJ4AaABAg,1627776000,A君,1,清楚だよ！
UgwRVJcrWG88QQdxwK94AaABAg,1627776000,ぶどうの人,0,"おつるしー！
配信見てて楽しかったです！
今回は、入れなくて残念だけど次は入りたいです！
また配信待ってます！"
Ugx0l1Vg7CqHZOIw3Gp4AaABAg,1627776000,ニトロン,0,"るしあちゃん、もっと復帰強いキャラ使えばいいのに💦

まずは弱攻撃を使ってダメージ蓄積して、強攻撃でバーストする。

これがスマブラの基本なんだけどね。"
UgxawRJOmPdyjpvJUxt4AaABAg,1627776000,くるみ,1,自分用1:34:11
Ugw9WxlHcBUgc31fqm54AaABAg,1627776000,メソポタミア文明,1,"マエスマお疲れ様です
惜しくも3回戦敗退でしたが、大健闘でしたね！"
UgzKn126slz5LctPyCV4AaABAg,1627776000,ribeke,5,27:17 That's some Z-axis bullshit right there. Pikachu's move clearly come out earlier and should have hit Pac-Man. Feel bad for Rushia.
UgzKn126slz5LctPyCV4AaABAg.9QFgF5e6ZHv9QGv3baFf_O,1627776000,Colmar,3,The reason why her move didn't hit me was because pellet extended the first few frames of her fsmash's hitbox.
UgyNdZ8UkW7G8x6a37B4AaABAg,1627776000,こしあん,3,以前見たスマブラの配信より清楚でびっくり:_あせり:いつかスマブラで対戦したいな〜:_きゅん:
UgxD5NvUHNFVPn5lMtd4AaABAg,1627776000,やっこ,2,リアタイで見れなかった自分のかかとを粉砕骨折したい
Ugx55lluUqq58RyzHrl4AaABAg,1627776000,Aini,4,"2:00:17
可愛い+台パンw"
UgwgoGQW_K9SWCyKmJ94AaABAg,1627776000,磯部アスカ,3,27:18これどうなってんの？？
UgwQjdT0xZlMnjpUv754AaABAg,1627776000,自由人,0,推しにして本当によかった。面白いし可愛い。癒されます(*´ω｀*)
UgwzrX_da7XQXnJaUap4AaABAg,1627776000,贅肉マッチョGORI,0,配信お疲れさまでした、これから見ますね、頭にアルミホイルを巻くとマインドハックされなくなるらしいですよ
