id,timestamp,author,likeCount,text
Ugy_HY-72m3qr8je0oB4AaABAg,1647561600,IdenityX Unknown,0,"Okaerinasai Rushia :_るんるん::_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLSSS:_しょぼん::_しょぼん:

5:28 [Holy Music] Is this ,  Heaven ! So bright ! My eyes ! !:_えはてな::_えはてな:
1:22:57 Note , Rushia-Chan can't whistle , a 1600 years old necromancer can't whistle , unbelievable :_くさｗ::_くさｗ:
You really made me wanna play Ark so bad , but all I've got is a bad laptop , can't even play Minecraft without lagging , yes it is that bad

Rushia , you got so many Bird :_ぴよこ::_ぴよこ:"
UgxbUxoIr0F0sa9RffJ4AaABAg,1638316800,ぜりー,1,"はじめてのモンボ作り楽しかった！
こうして人は少しずつ成長していくんやな…"
Ugw-iTaXmqT-My9AmYh4AaABAg,1617235200,ゆきみいちごだいふく,0,ティラノくんって、ルーナコラボの家でワイバーン迎撃した時に相手のワイバーン追いかけて下落ちてましたね笑
UgwZAKNKb0lG2ehMPEt4AaABAg,1617235200,みくち,0,Moonyet lv.214
Ugzhx7cLhAz8RxBLxEF4AaABAg,1617235200,GameFuMaster,0,I like this look
UgxoCFGPDCEkkTJt6sN4AaABAg,1617235200,East Dreams,0,とてもキューティー！
Ugw3SngWT7mA-ibs6AJ4AaABAg,1617235200,Huy Đức,0,From viet nam with love: i love japan
Ugxm3orYLKCrBMUmByZ4AaABAg,1617235200,Chesed cheese,0,"Why did youtube recommend vtubers to me all of a sudden-
Im not complaining"
UgyFet-yodNB86YHK414AaABAg,1617235200,As bú cặc Redhoodvn,0,Vietnam is the funniest country.
UgwB29kwbRxpEB6vp5V4AaABAg,1617235200,Anonymous,0,I declare deleting this Youtube Channel! Within the next 11 days
UgyUwsqh16-gE9IpuWZ4AaABAg,1617235200,Nexcell Pride,0,"1:56:15 and 1:59:09, Arigato, thank you very very very much, Chouchou-hime. 🥰

Although I have a doubt... Maybe one of the two times you mentioned my stage name, one of both was from pre-kurukuru streaming. 🤔"
UgyvkzluH1xmiGhy9vZ4AaABAg,1617235200,Thanh Tung Nguyen,0,Why there is no eng sub Rushia?
UgyxFaseP0HuVLBCTfJ4AaABAg,1617235200,Bùi Khang,0,私はベトナム出身です。ベトナムの悪者に代わって、あなたのストリームで彼らが言ったことを謝罪したいと思います（正しく記録されない可能性があるため、Google翻訳を使用しています）。 これはスパムではありません
Ugyqxg_H07Syq08K2GZ4AaABAg,1617235200,Thanh nguyễn,13,日本語はわからないけど楽しい
UgxMYcdBMj_6hlrbluJ4AaABAg,1617235200,Hoa Nguyen,1,tôi rất thích channer của bạn và xin lỗi về một số thành phần người việt nam chúng tui vì có một số comment không đúng với bạn nên tôi muốn nói sorry
UgxMYcdBMj_6hlrbluJ4AaABAg.9B808wJTL-L9B9zhFe1SiV,1617235200,No Name,0,your comment have a mistake
UgxMYcdBMj_6hlrbluJ4AaABAg.9B808wJTL-L9BA-WRBnADd,1617235200,Hoa Nguyen,0,what mistake
UgxMYcdBMj_6hlrbluJ4AaABAg.9B808wJTL-L9BAmXez-kqC,1617235200,As bú cặc Redhoodvn,0," @Hoa Nguyen  ""comment ko đúng với bạn"" đoạn này,ko được hợp lí cho nắm."
UgxMYcdBMj_6hlrbluJ4AaABAg.9B808wJTL-L9BC1Q-xmwYp,1617235200,Hoa Nguyen,0,ok
Ugxq_YHGDu5gJcvP0wh4AaABAg,1617235200,Jiahui Wang,0,Kawaii pettanko
UgyaWXd5qJm83sdRmK94AaABAg,1617235200,寂しい,1,Tôi rất thích chương trình của bạn mong bạn ra nhiều video hơn 🤗🤗
UgyaWXd5qJm83sdRmK94AaABAg.9B7cLquHZe59B9zjptMbcR,1617235200,No Name,0,use english
UgyaWXd5qJm83sdRmK94AaABAg.9B7cLquHZe59BA-MQvUTie,1617235200,khanh nguyen,0, @No Name  làm gì có phụ đề tiếng anh
