id,timestamp,author,likeCount,text
Ugx4qxKHR6Zr263Odyx4AaABAg,1647561600,IdenityX Unknown,0,"Apex OMG :_あせり::_あせり:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL PLSSS:_しょぼん::_しょぼん:

It is really nice seeing a Princess playing shooting game , it is always interesting :_くさｗ::_くさｗ:
10:07 ""NAKAMA!"" a lost princess in the wild , poor little thing :_大泣き::_大泣き:
11:03 Rushia be like ""Say hello to my little friend boiiii"" :_くさｗ::_くさｗ:
13:11 Scream of desperate
14:28 Rushia just got Ora
29:06 Apex's Crawler group :_くさｗ::_くさｗ:

2:29:0 Rushia triggered :_くさｗ::_くさｗ:,but to be honest , we love u the way you are :_きゅん::_きゅん:
Nice game Rushia , Keep it up , Ganbate :_るんるん::_るんるん:"
Ugy2yAp6IhhSW9DLJ3J4AaABAg,1638316800,MinecraftIce1314,3,2:31:56 this is what I locking for lol
UgyIROVVI1RER3CSlpJ4AaABAg,1627776000,Angelica Wolfspeed,0,I’m kinda pettan too and boing boing
UgxENhlRMZCwRH3OSq54AaABAg,1627776000,AHYAI,0,"ゲームしてたら親の声が段々怖くなって回線切られるの懐かしいw
るーちゃんのあるある話、いつもわかりみが深くてすごい親近感わくから好きw

こういうなんでもない話で笑い合える人と一緒に過ごせたら絶対楽しい☺

APEXってよく分かってなくて触れてこなかったけど見てたらすごく面白そうでやってみたくなった😳…！！

いつものふわふわなるーちゃんもいいけど、対人ゲームしてる時の殺意高めのるーちゃんがドスが効いててかっこいいw
めちゃくちゃ好きw元気でる！
やっぱりゲームを楽しむならこうでなくっちゃね！！
すごく面白かった！また配信してくれないかなぁー壁|ω･`)ﾁﾗｯ"
Ugy5XGFkXODh4HkGqbx4AaABAg,1622505600,ディズニー大好きyuu,0,いつかまつりちゃんとやって欲しいな
Ugw3pd78EJkc5YWD0w54AaABAg,1617235200,Louis.,0,1:38:46 「ありがとうございます」と同時に頭下げてて可愛すぎる:_きゅん:
UgwN7jmg7c_vmVZ5_4d4AaABAg,1617235200,Farriz,0,Rushia is petta- wait guys pls help m-
Ugxaj006fq6pDQAjQAF4AaABAg,1617235200,1 1,1,"Its okay, Rushia-chan. You can scream at us as much as you want. We love it."
UgzSZQnbEWNw841fgtB4AaABAg,1617235200,村中ハルヒ,0,がんばるしあ〜
Ugz5XK8qoJHRbRheqvB4AaABAg,1617235200,rubbermarble888,1,2:31:42 came here for this
UgwXG1DETs08oq80m3N4AaABAg,1617235200,自由奔放な猫,0,2:31:45 🔖
Ugz9uf-HJfYgCfGNm8F4AaABAg,1617235200,KUVO,0,and now I'm starting to learn Japanese
Ugxem1s_C-DscUAYRLZ4AaABAg,1617235200,Chase Fleetfang,30,"To those people who want to see Rushia scream about boing boing and ""not flatto"", go to 2:28:30.

You're welcome."
Ugxem1s_C-DscUAYRLZ4AaABAg.9EHJZaAMepd9EeK0bt4mIx,1617235200,kyle the guy,2,thañk
Ugxem1s_C-DscUAYRLZ4AaABAg.9EHJZaAMepd9MUyH43kWLb,1619827200,ヤン,0,Thank you
Ugw3vPi_DXV-6EPMjtN4AaABAg,1617235200,Flames,0,2:03:46 what bgm?
UgxVLL6_JamamtIZLsx4AaABAg,1617235200,vamrack,7,She sounds adorable but i wish i could understand her lol
UgyU8AJlwRogBmd3oAp4AaABAg,1617235200,Steve Martinetto,0,Not flat? Could always show us :p
Ugzz-V0Lv31cXTy4RBd4AaABAg,1617235200,不定期剪輯歌枠的貓 【布団に隠れる猫=OωO)=】,0,潤羽るしあ ，OwO)/* 鐵砧 *\(OwO
UgwFvURHAeih-DLeVfR4AaABAg,1617235200,The WalkthroughKing,0,Flat
UgxPIrzYiDLgnmv3Lgd4AaABAg,1617235200,Z9,1,"Rushia REALLY wants a Bigger Chest,but can you imagine how Rushia looks like if she had a Bigger Chest?






She looks even more...







Beautiful ;)"
UgwnEn4DtFFJMtjyKSJ4AaABAg,1617235200,latvin,0,"Что ,русские ? Каво нахуй ?"
UgzGNhhXn5zGHREsuQl4AaABAg,1617235200,Doc Dat,0,But we don't wana have her boing boing 🤔 we love her how she is ?
Ugywm2AAghfkt4G5YfV4AaABAg,1617235200,isamu DAFFUNDA,0,早く降りるほど激戦区
UgxULZWtR2lRgAqKmtl4AaABAg,1617235200,HÆX A.,16,The whole 2:31:42 parts of the video was so cute lol
UgxULZWtR2lRgAqKmtl4AaABAg.9CYtohJJFdM9HlUtntSCJ6,1617235200,Astuti Saka,0,I came here for that 😂😂
UgxULZWtR2lRgAqKmtl4AaABAg.9CYtohJJFdM9OmPDtZMRB6,1625097600,Moisés Licona,0,Checkpoint
UgxEe9OY4tFz7mmGI5F4AaABAg,1617235200,あれBanana,0,"Boing Boing = Boing Boing..

草"
UgzvAvKc-C2CE_agg4t4AaABAg,1617235200,GuiltyJx,1,😅👍 Hahaha is rushia boing boing pattern not flat in Japanese word.. 👏😆
UgwvdILjqnPVHCODLaV4AaABAg,1617235200,Just Xian,0,Rushia is  BOING BOING
UgyRYbOMvPALOFCeYsF4AaABAg,1617235200,David R,9,"Comentario para los que hablan en español: por favor no hagan spam, comportense y no peleen en los comentarios, abstenganse de comentar ""no entiendo nada"", ""viva mi pais"", ""habla en español"" o cosas por el estilo, están haciendo quedar mal a los hispano hablantes con la audiencia japonesa y las Vtubers."
UgyRYbOMvPALOFCeYsF4AaABAg.9BZ7FAwjcFn9Batch5TgSX,1617235200,__ AF20 __,0,"Tienes toda la razón bro nos hacen quedar mal.
Todas las personas en general debemos hacer un buen uso de las redes sociales y respetar a las personas que hacen lo que les gusta   se el idioma que sea.


PD: las Vtuvers son geniales
投稿データ：Vtuberはかわいい"
UgzFYCAKZINZHDsw4QF4AaABAg,1617235200,ShakeMeDown,1,"Wow wow wow que!
Juegas Apex!
Jajaja buenas partidas muy divertidas"
UgwDzzEu14OErhlTIAZ4AaABAg,1617235200,Einclad【SSRB】,3,"she struggled with my name :'>
2:47:34"
Ugzu9XTOl9mLaAiShy54AaABAg,1617235200,Federico L,2,"Primera vez en canal de una japonesa entretenido, aunque no entiendo nada xd"
Ugzu9XTOl9mLaAiShy54AaABAg.9BRZpCK2nxk9BRd01FW5wN,1617235200,A I M H Y S,0,vienes del video de FF? xD
Ugx6UFEApRzF0MA5Nah4AaABAg,1617235200,Alan09,0,"rushia.... stand....star.....FLATinum






jk, she is boing boing!!!!!!!"
Ugzb2HX2UdMD7VSM2vl4AaABAg,1617235200,Agga Viriyo,1,I think either Matsuri or Aqua has to teach her
Ugz5PUdmdUYOg7O5CvJ4AaABAg,1617235200,Whatsinmypocket,0,Is she real or an AI? How do the anime girl's expressions change to match the dialogue?
Ugz5PUdmdUYOg7O5CvJ4AaABAg.9BOUvS4bCQj9BObBHVjVms,1617235200,Belial,1,Motion sensor
Ugz5PUdmdUYOg7O5CvJ4AaABAg.9BOUvS4bCQj9BruBjwkN9O,1617235200,Ya,0, @Belial  No they have buttons
Ugx_J0yEeRiBrW8nVRh4AaABAg,1617235200,宝鐘マリルリン,0,ミラージュボヤージュから全力で逃走するのほんと草
UgyxmRYBrmC9q33cS9B4AaABAg,1617235200,salem00 thai,0,😊😊😊😊
UgxBY0T2j3pzAJYaX-54AaABAg,1617235200,Truong Quyen,0,Love you cute Idol 🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓🍓
UgwFo4pSSoHQektSSuF4AaABAg,1617235200,ReziNite,6,The flat jokes are starting to get stale...
Ugw2sLtwN-KXiNK-KcR4AaABAg,1617235200,ぱなまる,47,2:31:42 Twitterから来た人向け
UgwqeWlUqj-SRRG7qxR4AaABAg,1617235200,Senpapi,3,English fans still spamming the flat joke? Yikes.
UgwqeWlUqj-SRRG7qxR4AaABAg.9BMuvlhPurp9Cr3wXO2iek,1617235200,Cyrus G,0,Been 1 month again. Its still ongoing. Its getting old by now.
UgwGZ_I3SiIqIYhZrBF4AaABAg,1617235200,BEE YATCH,0,Omagah rushia gonna reach 400k sub now! so happy TwT
UgzpQHip6OeVRgSaWk54AaABAg,1617235200,"Ζ-Α, KFP Gnosis",0,Rushia BOING BOING
UgxrPBsX4_XH3i-e_dN4AaABAg,1617235200,暇時free,0,"APEX配信乙るし！
ちゃんぽん&2killおめでとう(*’ω’ﾉﾉﾞ☆ﾊﾟﾁﾊﾟﾁ
るしあちゃん久々とは言えAIMつよつよだぜ✨
あとは色々覚えていけばるしあちゃんは最強になるよ✨"
Ugw4CQEPWloP-4V1xDR4AaABAg,1617235200,Neverdone,0,"i love seeing angry rushia, the flat queen."
UgzQ1BKSvgVd_bhEXlh4AaABAg,1617235200,ふにさん,2,400時間で初心者卒業というのがよくわかった。
Ugx_-rh3ajgbMN1mUqd4AaABAg,1617235200,Night Sky,2,"21:20 Boing Boing Rushia sama 
:')"
Ugx_-rh3ajgbMN1mUqd4AaABAg.9BLkD-j-yzP9BLkPOJHkGN,1617235200,Night Sky,0,"PS, what was said, I couldnt get that sentence well fully. 

If any explanations, 
10q :')"
UgwTyQwNi1I-eswyuCV4AaABAg,1617235200,Yuu Sato,0,Neeee anyone know BGM when stream start? 😅
UgwVUMvHftO4aGsobBR4AaABAg,1617235200,まなまな,9,素がでるところいつも笑わせてもらってます！姉さん今日もお疲れさまでした❗
UgwcJLtxwr3uGGPXPZ94AaABAg,1617235200,_ keffer _,0,Say this fun: All Hail Rusi!!! All Hail Rusi!!!
UgzashNsDj9LYJOWcuF4AaABAg,1617235200,silica‐シリカ 77,2,"るしあちゃん2ヶ月ぶりなのに味方回復して上げたりちゃんと役割で来ててすごいよ!
しっかりキルもしてちゃんぽんおめでとう！！！
所々でる名言にツボって笑いが止まらなかったよw
APEXは難しいけど慣れれば楽しいよね！
とても面白かったですw"
UgzmqRECRZNB0mLrQq94AaABAg,1617235200,benn,2,"From VietNam 
Love u <3"
UgxbgGry8OFM0x6Fxbh4AaABAg,1617235200,。タケノコ,0,Not ペったん！
Ugy9oCWqgr5ooRYIbzl4AaABAg,1617235200,Anomalous,1,"Rushia try out subnautica, I'm pretty sure you'll like it"
Ugy9oCWqgr5ooRYIbzl4AaABAg.9BL22yFHNkK9BLse1cd-6B,1617235200,Master Skye,0,"I dont think she....
Japanese."
UgxjJ-F2SWzPaNtE29R4AaABAg,1617235200,Literal_Cow,4,"As a vietnamese, i myself want to say sorry for what our people did to you. Please don't mind them as they are mostly 13- and aren't matured enough. Deeply apologize."
UgxjJ-F2SWzPaNtE29R4AaABAg.9BKwVrKknXJ9BMsp20jFMZ,1617235200,peace chan,2,"As an outsider to be honest
We deeply apologize for the inconveniences and destruction we may cause"
UgyRcYkRc1KYav3sf0N4AaABAg,1617235200,浦澤靖代,0,今日は色々ありましたが、お疲れ様でした！るしあの言う通りゲームは楽しむことが大切ですね！
UgwIWVYvsQxk7AlRkRp4AaABAg,1617235200,メンヘラくん,0,Keep Safe Kawaii Rushia :3
UgxjevipHVKHpSb016p4AaABAg,1617235200,28-Phan Ích Quân,1,You should play horror game so I can hear you cute scream
UgxjevipHVKHpSb016p4AaABAg.9BKs_XSyWaC9BLsh8nQfcT,1617235200,Master Skye,0,Creepy
UgxjevipHVKHpSb016p4AaABAg.9BKs_XSyWaC9BMP0EDgb3P,1617235200,28-Phan Ích Quân,0,Skye Animation creepy games sound not right
UgxksoVVvsnhlfeCLG94AaABAg,1617235200,ちょむ,0,"数をこなせば強くなるぅ！後半はキルも取れたしちゃんぽんも取れたね〜おめでとう！ちゃんと支援もできてたしさすがだと思うよ〜
やはり楽しいのを見てるのが一番楽しいね
マイクいいの見つかるといいねぇ"
UgxNaYwGjLZKdq57Tfl4AaABAg,1617235200,vadur,0,I love Apex Construct
