id,timestamp,author,likeCount,text
Ugwt3YPQyD4_HSEsrmp4AaABAg,1617235200,Amir Ruslan,0,i love how struggle she was...
Ugz9_I7z1kNnjrwhj-d4AaABAg,1617235200,AC,0,38:20 自分用
Ugy8hJPxEldGKdQO06J4AaABAg,1617235200,Ramiro Sanchez,0,I have seem this thumbail pose before but where...
UgylKmR0-wi7-RUAupZ4AaABAg,1617235200,Naduron0,0,kawaiiii! :3
Ugxhp1eGVN1cY6TCkS14AaABAg,1617235200,Sya Man,0,My god the backseater
UgxWFYQmz-ph0IZPg_R4AaABAg,1617235200,TheSovietChicken,4,15:05 Arigato chu
UgxWFYQmz-ph0IZPg_R4AaABAg.9FeejmXiLto9FgtWNfLkUl,1617235200,shadowk556,1,Ty I was looking for this :)
UgwS1YdmyqSLPa0eCPZ4AaABAg,1617235200,Kristoffer -,0,1:23:23 Rushia rage
Ugwzy_6g9fHDTB-lF6J4AaABAg,1617235200,Kristoffer -,0,"Her English is not the best but atleast she tries and it works pretty well and that’s all that matters. Keep going Rushia, your doing great 👍"
Ugwzy_6g9fHDTB-lF6J4AaABAg.9FdkKb-gv4Q9GwUTkerPSA,1617235200,KnightOfResistance,0,I personally feel that her Engrish is funny and cute.
Ugz4-mnmp40MO_xJWdR4AaABAg,1617235200,Kristoffer -,5,"Yes Rushia, very CREN
I shouldn’t say anything because her English is 100 times better then my japanese but it’s still funny, too me atleast."
UgzUMx6_ztHYBw6aoIx4AaABAg,1617235200,Shadow Buster,0,2:00:59
UgxdCyOfFEQc7r1v0Yl4AaABAg,1617235200,R,0,Wawawaw murasaki rushia tuki tuki
UgzHR2CykXC4_2XZJDF4AaABAg,1617235200,VM,0,3:58:30 Last 50seconds 😳
Ugy5w5UZwgW2ZfU_B454AaABAg,1617235200,Xope,0,Aishiteru
Ugx1POPQW-FW1SAqxcR4AaABAg,1617235200,$@MER,0,43:26
UgzwoiaEXNdI50HwNlh4AaABAg,1617235200,Rushia is My Waifu,1,"Rushia I'm a big big fan of you, I always watch your streams and other compilation of you..and it makes me happy😁 your the one who cured my depression...ya know I can't support you with money and membership but ya know I can still support you with views I love you so much RUSHIA ♥️..and I'm a Filipino weeb who is addicted to HOLOLIVE and especially you..hope you notice this..ya know I'm studying Japanese languages and culture more than I'm studying in my school rn, because I want to watch your streams without subtitles anymore, hope you make everyone happy, I can only understand a little bit of Japanese so I love you RUSHIA😁♥️..once again Watashi wa, anata o aishiteimasu"
UgwDW8TyUn1tv0MwCbN4AaABAg,1617235200,むはにたあ,1,"寝れない人用
3:54:57



本名ネタのあたりで本当はもう少し遊びたかったんですが、あんな完璧なタイミングでBGM消えちゃったら焦っちゃうよ…。面白かった。
3:21:37
あと「嘘っす」言った後、数人の方が彼女は嘘が嫌いだからと諭してくれました。皆様から大切にされてるんだなぁと改めてあたたかい気持ちになりました。ありがとうございました。
…反省はしないけども。"
UgxtFZcIJxcqGfqWn_p4AaABAg,1617235200,里見賢五,0,"また時間が合わなかった～＞＜
リアタイじゃないと物足りない感じにハマってきてる。"
UgzQisTyDTzpKwTS4yx4AaABAg,1617235200,Raiden,35,"18:48 
""I love you, I need you""

That phrase started it all for me"
UgxB2L-zQ0iHDb5e3YJ4AaABAg,1617235200,The King of Antarctica,0,"Alright, where is Redan? Did he donate today? I missed the stream."
UgxkT8UYSY-jwfD3U0V4AaABAg,1617235200,Morales モラレスCarlos カルロス,0,それはとても楽しかったです、ルシアさんは本当にクールで楽しかったです、各レベルは素晴らしかったです ヽ(^o^)丿＼(^o^)／👌👏👏👏👌
Ugx9Iw5KFrcYx0Uy6Vt4AaABAg,1617235200,Asm_T453,5,20:47 I was expecting another NEEEEEEEEEE
Ugzlr6inLQ9JJstXKmh4AaABAg,1617235200,WUNDER64,0,Rushia sus
UgxMNjXlmvHeb4YIljt4AaABAg,1617235200,The Mad Kitten,0,Desk-kun took like 3 Tekken combos right off the bat holy hell =))
Ugw9YUvkldl9meBTmHl4AaABAg,1617235200,ろいろい,1,"前回よりも確実にうまくなってたね😌
明日のコラボ楽しみにしてんで！"
UgxRL19oWnoPl9uIcdx4AaABAg,1617235200,詹傑閔,1,看完心情都很舒服!!感謝Rushia
UgwQNcXMYc9sZoGm7-54AaABAg,1617235200,Kroel,3,"1:49:17
AH"
Ugx0Bq7WtSWCrnKxhdR4AaABAg,1617235200,Shirakami Kawakaze 白神大スキ,2,"素晴らしいストリーミングです、あなたは最高です。
私はあなたを愛しています、あなたは美しいです。
ちゅう。"
UgyIU3pdFlxtBepStE54AaABAg,1617235200,__ keffer __,1,"Me now lost , me now lost. Mo Mo Mo Mo (fast tap) 30:4130:4130:4130:4130:4130:4130:4130:4130:4130:4130:4130:4130:4130:4130:41"
UgyIU3pdFlxtBepStE54AaABAg.9Fb0kHRuabv9Fb2nE2ZuNY,1617235200,__ keffer __,0,"Ohhh , me 100% used this to my sound tap :D"
UgyIU3pdFlxtBepStE54AaABAg.9Fb0kHRuabv9FbHGcexC6V,1617235200,k4,1, @__ keffer __  woah we have the same name
Ugzfo2SRyMxcRJI2yf94AaABAg,1617235200,Nexcell Pride,7,"Greatest streaming, and improving Rushia-daitenshi's english skill. :_ハート:

At game, again user names have every references and jokes. Some player names Repeated from previous ""AmongUs"" stream.

- Dead: Every corpse who wants to be revived by Rushia-daitenshi.
- POLlamao: Possibly reference to 5th Generation member Omaru Polka, and mixed with LMAO.
- Towa hat: Obviously the Demon-shaped Tokoyami Towa's hat. (Tokoyami Towa is a 4th Generation member)
- fanfandead: Obviously Fandeads reference.
- im cren: Reference to Rushia's ""I'm Clean"" writing. Rushia-daitenshi can speak english, but she's not good at writing in this language, reason for writing or talking in simple english.
- Rushiakill: Possibly a Yandere Rushia reference.
- Ghost: Made two references, to Obake-chan and ""Ghost in a flower"", english name for Yorushika's ""Hana ni Bourei""
- Ruselcrean: Reference of Rushia's ""I'm crean"" (I'm clean)
- BoingTsuki: Reference to Boing Boing joke and who like Rushia in this form.
- Wild Card: Reference to Failing to slide card at reader.
- Konta: Fox mascot in Minecraft.
- FANGCHAMA: Reference to Akai Haato, alias Haachama. About fang was unfitting, a few Hololive's members has fangs (Like Meru-chan, Ayame-oni, Rushia-daitenshi, Flare-san, Towa-chan, Botan-san, Nenechi, Korone-chan, Okayu-chan and Lamy-san) have fangs (Single or dual)
- enoroK: Reference to Inugami Korone. (It spell in backwards) 
- bekora: Reference to Usada Pekora-san.
- pettanko: Reference to one of recurrent jokes about Rushia's bust measure complex.

And Supaachaato Orei Time was converted into a battle for red Superchats and proposal episodes.

Personally talking: I also wanted to join into game, but everyone was faster and ended to breaking my chair with my right fist... It hurts... (🤜💥🪑 And it still hurts) :_あせり:
Also I felt a bit jealous, no one knows why. :_おこなのです:
But well... I'm trying to finishing a demo for ""Butterflies in the huge Night Sky"", Rushia's first Original Song. :_ちょうちょ: Please wait me!!!"
Ugzfo2SRyMxcRJI2yf94AaABAg.9Fb0CN6H-eI9FbVSew9Bgj,1617235200,Game Jedi,0,I empathize.
UgzJrj-JafHj1jKXkGV4AaABAg,1617235200,Zero Omega,0,She really loves playing as Impostor doesn't she?
Ugzv82nhdXCYK3vII1l4AaABAg,1617235200,Hiryū Ran 草,9,1:49:17 O my ga :0
Ugxm5guDa71-eDF4E954AaABAg,1617235200,Motoyo Makoto,0,"Nicely done :>
Hey rushia
Do you like to go to brazil? XD"
UgwSnlD8iqs7MJaiYXN4AaABAg,1617235200,Mohammad Rahhal,11,"38:32 野うさぎ・まな板と一緒に人狼。おい辛すぎるww
Rushia imposter with nousagi and manaita (cutting board). This is way too cruel kusa"
UgwSnlD8iqs7MJaiYXN4AaABAg.9FauRDuiltZ9Fb3B8m2ReY,1617235200,__ keffer __,1,38:34 🐧Pettan Remember
UgwSnlD8iqs7MJaiYXN4AaABAg.9FauRDuiltZ9FoVX5SeCXU,1617235200,Islu The ded,0,SMOL IS justice
Ugw5_nkBAjMxKj3vPR94AaABAg,1617235200,Redan Kenneth Uy,95,"5:48 Intro with Desk-kun -20 HP Double Hit!
9:16 Desk-kun HP.....I count 18.....
11:56 Blessing
12:20 Elite English Rushia
13:45 IQ 5-0-0
16:31 Among Us: Rushifer Intro
20:47 Old Version
25:08 I AM SPEED 2.0
26:35 Card Swipe
33:55 Locked in
38:53 First Kill
41:48 I'm crean dattebayo
58:33 Ah....Rushia....
1:01:48 First Death
1:23:23 Second Death

Matches:
25:38 Match 1
38:28 Match 2 (3 Imposters)
42:48 Match 3
57:57 Match 4
1:19:29 Match 5
1:31:54 Match 6 (The Red Knight)

[Warning: High Level of Cringe Detected]
1:47:47 Match 7

English with Rushia:
27:54 Match 1 Discussion 1
30:41 Match 1 Discussion 2
34:51 Match 1 Discussion 3

39:03 Match 2 Discussion 1

43:25 Match 3 Discussion 1
49:17 Match 3 Discussion 2
54:07 Match 3 Discussion 3

58:37 Match 4 Discussion 1
1:02:12 Match 4 Discussion 2
1:05:36 Match 4 Discussion 3
1:10:48 Match 4 Discussion 4
1:14:08 Match 4 Discussion 5
1:16:13 Match 4 Discussion 6 (Tell me lies tell me sweet little lies)

1:20:14 Match 5 Discussion 1
1:23:27 Match 5 Discussion 2 (Karma)
1:25:51 Match 5 Discussion 3
1:30:26 Match 5 Discussion 4 (Gave up)

1:33:08 Match 6 Discussion 1
1:37:28 Match 6 Discussion 2
1:40:31 Match 6 Discussion 3 (Me sus?!)
1:44:50 Match 6 Discussion 4

[Warning: High Level of Cringe Detected]
1:49:16 Match 7 Discussion 1
1:53:02 Match 7 Discussion 2
1:57:16 Match 7 Discussion 3
2:00:15 Match 7 Discussion 4"
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9Fb1dJKwP46,1617235200,__ keffer __,2,"Weeeee, is mans who play very lazy , is not interested see guys who just play and not made any who interested 😒"
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9Fb1nhQG-ib,1617235200,__ keffer __,1,"say what this mans really not made any who interested and just talk , no one meme , Not One Really Good Meme , is just made me not interested"
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9Fb1w9Q9Mbj,1617235200,__ keffer __,1,Just to see you work more interested to see this guys = 👍
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9FbFR0Wbkr9,1617235200,comrade skulerr,7," @__ keffer __  What? dude's just making timestamps, what's the problem?"
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9FbULXCZOrJ,1617235200,Game Jedi,0,Why is game 7 high level of cringe?
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9FbvvmzAH0T,1617235200,Redan Kenneth Uy,4, @Game Jedi  Just messing around. A player is doing old memes in discussion and the chat been cringing almost the entire match.
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9FcqBsJjcFx,1617235200,_ keffer _,0, @M0IST  Absolutely
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9FdTylBwG2e,1617235200,comrade skulerr,1," @_ keffer _  I don't understand your English, but are you mad?"
Ugw5_nkBAjMxKj3vPR94AaABAg.9FatRMMTrSu9Fgm2Z1DsfY,1617235200,_ keffer _,0," @comrade skulerr  absolutely yes , you good man"
UgzKvZtGUx4E3j2L1jJ4AaABAg,1617235200,Flat R,0,おつるしー
Ugze72MCC6Wes1vCNeF4AaABAg,1617235200,卵なしゆで卵,4,"kono douga no midokoro
0:00 ~ 3:59:24 
kawaii"
UgyhXav1rPclif7Trel4AaABAg,1617235200,ライオンRyon,1,Kawaii Rushia English
UgwtLkGkRaalHjEfl5t4AaABAg,1617235200,はあちゃまの ぼにゅう,38,Rushia interacting with those players must've been heaven for them. Too bad she's too crean to be an impostor.
UgwtLkGkRaalHjEfl5t4AaABAg.9Fas65UHRQ49FsOLsQInbA,1617235200,Game Jedi,1,"It was! I was able to catch her attention in the last game, even if it was just until after the first report. I only wish I knew what she was saying to/about me, though."
UgwpyKnTS7VMjo_NMWp4AaABAg,1617235200,alice,1,前よりすごく上手くなっててびっくりした！英語がうまく伝わらなかったりうまく理解できなかったりしたけどそこも楽しかった
Ugxt-dh2DYKDQ2pKdJ14AaABAg,1617235200,TenmaSakuchiPlay,0,Cute
Ugzm2ReWKItyU8wXLLF4AaABAg,1617235200,まお,2,墓場チャットでのやり取り面白かったw
UgxGWKCD8cwqFKP-m1Z4AaABAg,1617235200,Tantalizing Eyes,15,1:48:19 Rushia?! O_O
UgxGWKCD8cwqFKP-m1Z4AaABAg.9Faqyp7TwAt9Fax6GOFKCi,1617235200,Hiryū Ran 草,0,._.XD
UgxGWKCD8cwqFKP-m1Z4AaABAg.9Faqyp7TwAt9Fb3HmtKWxi,1617235200,__ keffer __,0,"38:34 what you say , is Penguin Requiem"
UgxGWKCD8cwqFKP-m1Z4AaABAg.9Faqyp7TwAt9Fbqg5Up-gP,1617235200,Karma110,0,I mean have you heard her in Ring Fit?
UgxMPfhUcsdxH08Lc5Z4AaABAg,1617235200,はまち🐟,7,0:00からの潤羽るしあラッシュびっくりしたw
UgwOtfI4HAdojFP7F6B4AaABAg,1617235200,アセロラ,3,"最初の方で間違った英語の言い方コメントしちゃってごめんなさい🙇
明日のコラボ頑張ってね
応援してるよ"
UgyQqn63mgpIMD7978F4AaABAg,1617235200,Ari Naotonemai,58,"2:03:40
I've seen enough. I'm satisfied."
UgxjgSbCdf4sNiHzbyx4AaABAg,1617235200,Amai Ta. Yume,57,"Thank you everyone again for the whole some stream. I like to take more focus on the Super chat reading. It got better and better than before by the way. A lot of people are now from around the world trying to thank Rushia and it feels very wholesome! Thank you JP and EN bros for every support that you have! No matter how little or how much you give, even just by watching and liking the video, it's something that will help Rushia in the long run.

For Rushia, Thank you for doing your best as usual. I believe you'll be more fantastic than before. Just do what you love to do and I'm here supporting you with everyone! I hope you had a good time today because we had tons of fun! <3 

Oh and Redan! waiting for the season finale. Give it a bang!"
UgxjgSbCdf4sNiHzbyx4AaABAg.9Fap76fff6R9FauApwxa3n,1617235200,Redan Kenneth Uy,3,I am not sure if I should make a season 6. It is more of a personal talk if I'm doing it. But I'm afraid it might be bittersweet. Calling it epilogue maybe? After story? True end? Season 5 will end on a high note as much as I can.
UgxjgSbCdf4sNiHzbyx4AaABAg.9Fap76fff6R9FauX9udZUd,1617235200,Amai Ta. Yume,1," @Redan Kenneth Uy  yeah only season 5. We had fun with your super chat, just don't overstep it though. And also, take care of yourself!"
UgyX5tr9kg85CJJPBFJ4AaABAg,1617235200,"fire,",4,"宇宙人狼面白かった！
いつもより一層英語で話そうとしててかわいかった！
つよつよな人狼もいつか見せてね。"
Ugx_h8l3JsLk8aPdj354AaABAg,1617235200,Jake Kamiya,5,5:48声スタート
Ugx54hSJajwCKIGYFIx4AaABAg,1617235200,Evander K,16,"Game: update game ples
Rushia: panik"
UgydQovUNximt35cy2J4AaABAg,1617235200,Doro,26,"43:26 neee ooo uuu :_くさｗ:
1:41:02 TOLK 
Nice game today, i'm looking forward for tomorrow collab😎👊"
UgydQovUNximt35cy2J4AaABAg.9FaoNEnURvN9Fb2xz1Sjwa,1617235200,__ keffer __,0,Is Penguin Noise : 43:2643:2643:2643:2643:2643:2643:2643:26 (use timing)
Ugw8wWPDcDZFsWjuRCB4AaABAg,1617235200,雑魚だつこ,11,start 2:58
UgyGhEFJwX52loMrLMF4AaABAg,1617235200,Jake Kamiya,6,"おつるし〜
最後のありがとう⤴ラッシュで
毎回癒やされてます"
