id,timestamp,author,likeCount,text
UgwhNP9tV6usNZXi4rV4AaABAg,1646092800,Nam,0,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
UgwOPwG-VX4zqTVwpuF4AaABAg,1643673600,mameco,0,物知りレベルが低くて可愛い
UgwgybcvmfOEesbob1R4AaABAg,1638316800,ワラソティス,0,"20分近くあるから3戦くらいはしたんかな？と思ったら色々放送事故起きてて結局1戦で終わってて草。
るしあちゃんの王冠被ってる衣装の怒り顔好き"
UgysNiLMjIbAlFdX5lR4AaABAg,1633046400,ダイ,0,"切り抜きかと思ったら
本人のアカウントだった"
UgxkpUfxX9nkMm2RZFl4AaABAg,1630454400,Need Healing,0,I don't understand a word but I really love her expression
UgxOH9PKddXmkcDIAsl4AaABAg,1630454400,𓆉,1,こんばんわ❤
Ugxv5dAVMT6wXcs7WYx4AaABAg,1630454400,Fun Music,1,"Expectation: ""it's not that hard to be between 1st- 9th positions..""

Reality: 10th"
UgyFoSRITtkWPC4ewyV4AaABAg,1630454400,ボボ某ボ・某ボボ,1,怒っててもかわ
UgwH1IWfPEwYVuTxctx4AaABAg,1630454400,yuuji watanabe,1,この後のマリカーがメン限で見れなくて残念でした。
UgxboSWux02jCm7KhU14AaABAg,1630454400,紅螢,1,うちらの姫様可愛いすぎｗｗ:_きゅん:
UgzpDF4o3C1PoNHtHLB4AaABAg,1630454400,Vyse,1,"Thank you for the extreme speed Mario Kart stream, Rushia! Watching Rushia try her best not to lose was cute."
UgzVq4QMnEFutA0m5cN4AaABAg,1630454400,ilcseven,0,9以下＝1～9だと思ってて9位セーフだと勘違いしてたのかな
UgzsI7CjyfGHS_k6miN4AaABAg,1630454400,和喜渡辺,0,口悪い子じゃな、でも好き。
UgywZyecXb8CPgn8x4R4AaABAg,1630454400,에퓌_fe,1,17:26   (❁´◡`❁)
UgwcQoGKjcLJjALuee54AaABAg,1630454400,ゴンフリークス,0,4:00
UgzhJgA2XHFRRLfFW114AaABAg,1630454400,Super Satanson,0,a perfect stream
Ugw6OXIK03CyF9tyv414AaABAg,1630454400,るの足置きJONATHAN,0,あっ切り抜き動画だったんですね|ω･)ﾉ
UgwRJbGlYkQigubeb654AaABAg,1630454400,kentaiwata,0,9位がアウトかどうかとか何にも関係なかった
UgwRT4SaX6HNkmdXFIp4AaABAg,1630454400,pon hiro,1,12:59　ここからのトーンダウン、かわいすぎるんだよなぁ
UgyX9b4jfQboqjX9Max4AaABAg,1630454400,きら,0,２０分耐えれたのかと思ったら動画の大半小学生の会話でわろたｗ
Ugwf8kmudKCx4MiNmWB4AaABAg,1630454400,うるはヴァジラ,0,"終わりは突然に。
でも、その潔さ好感もてるよ
6位で勝利して、次のレースもいい順位だったのに最終レースで転落したから、まじで何があるかわからんwそれも楽しさの一つ！
るしあちゃんの感情豊かなとこ好きだし、よく声通っててよかっでい:_ハート:"
UgyIv7CH_rYkrrMuMqt4AaABAg,1630454400,*PPタクーン,0,今度は私とマリカー勝負しよー🔥
UgzfqBIR5Nwbhacnud54AaABAg,1630454400,kirito,1,❤❤❤❤❤
Ugw2v6EQvqezSTeNA794AaABAg,1630454400,kirito,1,露西亞可愛
Ugw9O3rWskpaZ660gXB4AaABAg,1630454400,ゆう,0,20分あるから3.4レースぐらい行ったか？！って思ったら1レースで終わってたのめっちゃ可愛くてキュン死
UgwepQyFKMvZM8KlX394AaABAg,1630454400,蒼い鳥,0,"7:01
ごめん、思いました。:_あせり:
でも、楽しかったです！
次回は開始直後でこの時間まで
行けるように応援しております！
次回も宜しくお願いします♪"
UgxDnaMIR6WtbG-wc9x4AaABAg,1630454400,むくむくバナナ,0,3期生みんなマリカ終わるの早すぎw
UgyNBMnBcc_-uEwuA6h4AaABAg,1630454400,yohei y,0,5分以内って冗談だったのに、むしろ3分以内になってた・・・(´・ω・`)ｼｮﾎﾞｰﾝ
Ugzerqkh2KETWNLrhKt4AaABAg,1630454400,ツナまよ,0,切り抜きお疲れ様です！
Ugy9I0EiPgtJFvgUzQJ4AaABAg,1627776000,爽健美茶,0,むしろ才能
UgwQywexKFrhyZE-Gad4AaABAg,1627776000,右手,0,"うん…まぁ…がんばるしあ！
可愛かったし1位みたいなとこあるよね(ない)あと咆哮ご馳走様でした！"
Ugx-mwTX7eERs8-_y-94AaABAg,1627776000,どっこいのりぐらたん,0,おい、もしかしてだけどルシアタイキックの人ってぺこらタイキックの同じ人だよな
Ugw5ZGDmgC2ThGP78Nh4AaABAg,1627776000,tang roro,16,"I love she spend more time debating whether 9th place counts as ""lower than 9th place"", than the actual gameplay"
Ugw5ZGDmgC2ThGP78Nh4AaABAg.9QSxQdF4tDg9Q_MujKnzL4,1630454400,penwhale/ソフ,2,"Japanese have different phrases for ""over X""  and ""X and above"" [as well as ""below X"" vs ""X and below""].
The phrase in question - 以下 - is the phrase for ""X and below"" - which for position purposes becomes ""Xth place and below"".
The title being 9位以下 - 9th place and below - therefore includes 9th place (meaning the stream ends if she gets 9th).





... The fact that she got 10th place made it moot anyway"
UgzCdivFHRhmOJ-lUSN4AaABAg,1627776000,E-ELT 2025,0,身バレしちゃうっていうか身バレしてる
UgwjCQn7zKKpHf_VJ8d4AaABAg,1627776000,🌙赤月雪人⛄️,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_るしあのあ:
UgwYaY1xKRr-cHpI0XF4AaABAg,1627776000,Taranchura,0,GG
Ugz_nEDfIFZGFltJR3d4AaABAg,1627776000,yuた  月が綺麗ですね[百鬼組],0,スタダミスった瞬間おつるし流れてるの草‪w
UgySX9nSfHoBJFSmGUZ4AaABAg,1627776000,まっこじっきー,0,"20分も持ったのか！
と思ってアーカイブ見たら17分まで走ってなかった(´・ω・｀)"
UgwKgqef79TrZ3ygaox4AaABAg,1627776000,悟獣,0,るしあ、これは何だい？
