id,timestamp,author,likeCount,text
UgyMNOPXvHoG0HIotJ94AaABAg,1625097600,Kim Subaki,0,anyone knows her bgm title?
Ugw3cECXcRJZopL6ceR4AaABAg,1625097600,Gustavo Ch.グスタボCh,0,Rushia excelente directo fue de [Minecraft] ¡Preparándonos para una entrevista! !! ?? [Uruha Rushia/Hololive] y siempre ver a rushia jugando es muy divirtido ah minecraft me gustaria volver a jugarlo pero estoy ocupado en otros juegos eres tan linda rushia daisuidesu.
UgzWwZiAo3RegivucWx4AaABAg,1622505600,INKK,0,she looks so serious when playing lol
UgxybWNWwWoSIWuh6Wd4AaABAg,1622505600,coo1instar,0,どうぞお大事に。
UgyZ2H2TNrb-3OIKVVB4AaABAg,1622505600,P1X3L,0,stop speaking french
UgyZ2H2TNrb-3OIKVVB4AaABAg.9NTg_K2d8k09N_W91Eb66j,1622505600,JUST BOTAN【SSRB】,0,?
UgwhOvl5dYSa0fDczWt4AaABAg,1622505600,🌙赤月雪人⛄️,0,"おつサイ
:_おつるしのお::_おつるしのつ:"
Ugx2q1hQCh8gMy9LOdd4AaABAg,1622505600,YAGOO単推しりゅうちゃん,1,1:41:32 壁に対してのリアクション可愛い
Ugw4VTDP8lgvYvagJAl4AaABAg,1622505600,Vyse,1,"Thank you for the stream, Rushia! It was fun and interesting to watch you do your best to build. Nice job! I hope your interview with your boss goes well!
:_るんるん::_ハート:"
UgxpXabGbaTcxsJ_W8d4AaABAg,1622505600,けいけま けいけま けいけま,0,るしあ！
UgzzfhfEpJofdduJApN4AaABAg,1622505600,하이랄,2,放送中ずっと再生されたBGMの名前は何ですか???
UgzRY7_OIjb9r6wzUyJ4AaABAg,1622505600,ディアウスピター(ФωФ),0,今日は合格準備一緒に居る気分で最高だったよ(*´∇｀*)
Ugw9CQznrVMdzA18KxR4AaABAg,1622505600,たぬまゆう,0,お疲れさまでした！！素晴らしい動画有難う御座います！
Ugz4UahNOycUuXYqd2p4AaABAg,1622505600,_ Rm,1,かわいい。
UgziMAxeq7U2SIv_YXx4AaABAg,1622505600,Cosmoman78,0,What happened to the live chat history?
Ugyl12UL9dI3WToGF7N4AaABAg,1622505600,イルミナ,0,おつるし！あんまリアタイで見られなかったけど楽しかったよ！面接がんばるしあ！
Ugyme8iPZYM6Hf-X_U94AaABAg,1622505600,はるさめ,1,面接受かりますように〜🙏
UgxYZqdABiblG7X7P9l4AaABAg,1622505600,生まれたばかりのଘぽめらてଓくん★,0,"おつるしでしたー！面接がんばるしあ！
自分用 1:04:14 1:35:51 1:50:56 2:31:18 (るーちゃんコメ4回も拾ってくれてありがとう！)"
UgxJkXg8N5qwcz-R8_h4AaABAg,1622505600,ゆっくりRubyルビー,1,今日はしっかりとリアタイ見れた！配信おつるし！面接頑張るしあぁぁ！
UgwDCFgplbz1O6G-UIZ4AaABAg,1622505600,ちゃん黒,0,今日めちやくちゃ楽しかったです☺️
UgxBs9L0-duTsTFfYSd4AaABAg,1622505600,ろいろい,0,"今日も楽しい配信をありがとう！！
面接がんばるしあ～💪"
Ugyf5EJ85b3XubY1sPx4AaABAg,1622505600,れっさー,0,オンゲーでの放置離席は危険と改めて身をもって教えてくれたるしあちゃんの行く先に幸あれ！
UgwEYoW30wBY_Qdhxht4AaABAg,1622505600,うすみどり,0,"面接準備おつるし〜！
るしあちゃんの無邪気でユニークな発想、大好きだよ！
きっとそこに技術が加われば、とっても素敵なものがつくれるようになるよ。
今日の面接は、つよつよ建築家になるための第一歩！
自信を持って情熱をぶつけてきてね！
いってらっしゃい！:_きゅん:"
UgwI7WaxaiXlLpe_ecl4AaABAg,1622505600,ポップコーン,0,ちくしょう！時間間違えたァァァ(´；ω；｀)
UgzDvAz2fh28xx2mjId4AaABAg,1622505600,ニノニノちゃん,1,"おつるし！
面接がんばるしあ！
応援してるよ！"
