id,timestamp,author,likeCount,text
UgxHeuT4UjkrnmJsdcJ4AaABAg,1648717200,パルン,1,るしあありがとう
UgwANuHZMMJ-ExzkFlN4AaABAg,1647993600,ゆり彦,0,これが閉店事件かぁ
UgxsdpR35Y-cT-iJXJ54AaABAg,1646956800,IdenityX Unknown,0,"Watching you play horror game is such a fun:_きゅん:, COVER SORPORATION PLS DON'T DELETE HER YOUTUBE CHANNEL:_しょぼん::_しょぼん:

Legit struggle to find a staircase :_くさｗ:, and ""pum pum pum"" no idea what is that but just cute , and did you just trying to put a VHS into a microwave and fridge :_くさｗ::_くさｗ:, not gonna lie , this whole horror game just became less horror because of you:_ハート:, well I mean there is nothing to fear while you have a necromance around you right ? 

59:09 Tencho is Yagoo confirmed 
1:12:22 Rushia soul just left her body for a while :_くさｗ::_くさｗ:
Rushia just chu those rat to dead , the power of Rushia's kisses is immeasurable  :_ハート:

Hey Hey , Rushia Dayo:_こんるーー:, the man just chilling , and a cute necromancer showed up , a lucky guy indeed:_きゅん:
Wanna start learning Japanese , that way I can finally understand what you are talking about:_るんるん:"
UgxTrU0L1L0ZHIP53PN4AaABAg,1646956800,KIRUA,0,久しぶりに見たけどビデオテープをレンジであっためる？冷蔵庫にしまっとく？と言ってる所面白いしかわいい
Ugyk8LCxvrw0ly5UkYV4AaABAg,1646352000,Kobato Winga,1,rushia cute when scare:yougotthis: good job finish the game:chillwcat:
Ugx7Axt3xnFka_VUdTZ4AaABAg,1646352000,ken,1,I watched this on 1st March 2022. What a coincidence...
Ugy7q3qoA8njnkD7vHl4AaABAg,1646092800,#ぱんぱあす,1,叫び声がもう聞こえないのは寂しいね
UgypkBkMMsrWsIXpAmR4AaABAg,1646092800,わさび漬け【Vtuber切り抜き】,4,"初めて見た配信がこの配信でした。鮮明に覚えています。
今となって考えてみればるーちゃんがきっかけでホロライブを見るようになりました。
推しではなかったのでたまに見るくらいでしたが実際いなくなってしまうと悲しいです。

きっかけをくれてありがとうございました。"
UgzgWYYME-qB_eDCKyZ4AaABAg,1646092800,Gilberto da Paz,3,T-T
UgxytpuzHkCkgLPoY5t4AaABAg,1646092800,Tấn Bình Phạm,1,Goodbye rushia
UgwS7hwIROHy0XaUz614AaABAg,1646092800,drakke125,1,6:00 to 6:20 blessed frustration and screm
UgzpdLujaZ4AMv-HUtB4AaABAg,1646092800,神楽,0,これからも応援します
UgzpdLujaZ4AMv-HUtB4AaABAg.9YsfWYkaeNL9Yu27mSnpsM,1646092800,結城友奈,0,もう終わったんじゃないの？
UgyGZgKDk9uSNZoybFd4AaABAg,1633046400,ジェシャン,0,このかわいい店員どこにいるかな~:_きゅん::_ハート:ホラゲーけれどるしあと一緒にだから怖くなったよ~
Ugz8FD-tBRusYZWGXjJ4AaABAg,1633046400,"fire,",1,"普通にバイトを楽しんじゃうの本当かわいい
怖がってるのもかわゆ！"
UgxmpSZm-mWRfVeABVV4AaABAg,1630454400,とりかわ,0,"さすがネクロマンサー。
死体に関しては全く動じない(^v^"
Ugxzy81N6d7J7ZktRpx4AaABAg,1630454400,ぜりー,0,"テレビのところもっと沼るかと思ってたけどめっちゃさくさく進めてて惚れ直した
さするし"
UgyNULfhx2QayE5w0yp4AaABAg,1625097600,Chains of Scarlet,1,Thanks for pushing me into the rabbit hole
Ugy11fVZ34rsE-wA2zN4AaABAg,1625097600,じゃがバタ,0,じー|ω･`)バイト見よっと
Ugzn3TWnEErr3VjGdzd4AaABAg,1622505600,Nightmare Hellscythe,0,❤️❤️❤️❤️
UgxfsRsdYtzIkU5L_UZ4AaABAg,1622505600,뮤소,0,32:03
Ugw703aQDYPPOBdCl5V4AaABAg,1619827200,Markgonaut,0,:_ハート:
UgxH6iQWTI8PgkPYEU54AaABAg,1619827200,donaco.どな子,0,叫び声のたびにBluetooth ヘッドフォンが切断されるんだけど…どうして？
UgxiKHC7rqOcU17yh6B4AaABAg,1619827200,よよいのよい,0,わろたー
Ugz1KmAlA96gFLA5sBp4AaABAg,1617235200,詞音,1,1年前のるしあちゃんも超可愛い(*´ω｀)
UgzJWGbiEgJfEuHUBVh4AaABAg,1617235200,Feijoada,0,ろしあかわいい‼️
UgwNxyPqPHDpeCMumkh4AaABAg,1617235200,_muscat Super,3,怒ってるるしあかっこよくて好き
UgzZlLXd2sUOGPgz1td4AaABAg,1617235200,そるてぃー,5,"11:36 るしあちゃんかわいい
19:13 バイト先の横でラップバトルを仕掛けようとするるしあちゃん
20:38 キレるしあ
25:33 バイトリーダーるしあ！"
UgzRILPD521euU5CxYZ4AaABAg,1617235200,センシャ。,0,あれ？見れるようになってる！
Ugx4pQdpB42sOGSmUwd4AaABAg,1617235200,digicame0,2,"見られるようになってる...
感謝"
