id,timestamp,author,likeCount,text
UgwIn8cD32TDEgW9LwV4AaABAg,1646092800,中澤,0,"ダイヤすぐ見つけちゃうのなんやかんや豪運なんよなぁ
あと、作業枠ゆっくり見れるで凄い好き"
Ugw5CYCGn8CGRjYdWFx4AaABAg,1630454400,ZERO.B-ぜろびー,0,"ダイヤ採取お疲れ様だよ！
50個取れなくて残念だったね…"
UgzsiZDIvAorcjCue4d4AaABAg,1617235200,cos. mos.,0,"39:13
あ゛！！"
Ugxbg4BPeecuiiKOd7t4AaABAg,1617235200,Yuki,0,元気でよかった
UgxSM4_eWczxMI-S1814AaABAg,1617235200,レミリアの夫DIO,0,"え？6日経った今になって通知来たんだが？？？？？？
怖"
Ugzb-ImoktmAtOs8qvB4AaABAg,1617235200,山のまつり,0,わぁすげえ🎈
UgwBr1d0pE0_MEATk2R4AaABAg,1617235200,Radithia Marco,1,2:50:51 a certain gigguk passing by
UgwM2V1YGtZiQgizSN54AaABAg,1617235200,Ren,0,yes
UgwM2V1YGtZiQgizSN54AaABAg.9EOVnC2SPXx9EOVnkbnuBQ,1617235200,Ren,0,yes
UgzTFJ56-iWfyCMOB3N4AaABAg,1617235200,Strider Hiryu,1,Oh god she was so happy to get all those diamonds before the pekora trap incident >_<
UgxUOONc5fQNkP0yoTF4AaABAg,1617235200,voooftruK,1,"if i become very rich, i will donate 1 million yen to all vtubers i know"
UgxUOONc5fQNkP0yoTF4AaABAg.9EMCzBRyHwE9EOm_t5Z--D,1617235200,[REDACTED],0,"iirc, 1M yen is 1k usd"
UgxUOONc5fQNkP0yoTF4AaABAg.9EMCzBRyHwE9ER7oThqDO1,1617235200,Arif Gunawan,0, @[REDACTED]  actually it's 10k usd
UgxUOONc5fQNkP0yoTF4AaABAg.9EMCzBRyHwE9ERaBMWmnK2,1617235200,[REDACTED],0, @Arif Gunawan  oh
UgypEW4ViU_DWLof6714AaABAg,1617235200,南長崎Googl,0,前回の泣いたまま配信して欲しかった(笑)
UgysovVWbv3Etnzpte54AaABAg,1617235200,Tetsuya Kun,6,"We love you too Rushia-senpaii *-*)// 
We're here always for you and everyone in hololive!"
Ugw4Ez1NpCDRRkDFd1h4AaABAg,1617235200,King Of Bel,0,"Rushia-sama, everyone oversea loves you! Never forget that, okay? <3
海外の皆さんはあなたを愛して！"
UgyCbK7poDQKSeOKQLd4AaABAg,1617235200,A1 ひたち L85,0,ネクロマンサーだから幽霊に好かれるんか？
UgxeV4_VzqbNlKqgbxR4AaABAg,1617235200,nemu,0,声可愛い
UgxGf2c_B-eN-wbYUIl4AaABAg,1617235200,Mr Duke,0,Gigguk tho😂
UgxxGomVXtATUezBcyJ4AaABAg,1617235200,ほほ,0,深夜にお疲れ様:_るんるん:途中で寝ちゃったからアーカイブ見るね
UgxYxIt432MkFEhOHTN4AaABAg,1617235200,"⸙ ,, Sae_🇪༉",0,¡Es tan linda!
UgzzT5-a55klA0ai1rR4AaABAg,1617235200,un weon cualquiera,0,Si
UgxYjhatJFOekUYpp9t4AaABAg,1617235200,YamiKazu,4,39:20 Rushia zombie sounds
UgytPjKjAJh_4AuUx8p4AaABAg,1617235200,alex exe2.0 Løquenderø,0,彼はスペイン語を開けると思うが、少しはね。
UgzoKVnrKp1C3atVGtR4AaABAg,1617235200,ペガサスナイト,0,ダイヤ採取お疲れさま、元気になったみたいで良かった
UgyRA6HlaEOiNQCueBB4AaABAg,1617235200,Lynxリンクス,0,I fell asleep ugh
UgzpWusD5uWTjQw67wJ4AaABAg,1617235200,pickle rick,140,2:50:51 Lol didn't know Gigguk is also simping for Rushia lol
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EFR4hCo1Um,1617235200,Christ + Ian,33,"Well, his favorite Yakuza dragon is suspended, so it's a good thing he's watching other VTubers as well. But, oh boy. He's far down on the rabbit hole now."
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EFRwci_oge,1617235200,pickle rick,4, @Christ + Ian  lol the rabbit hole is like a disease that has no cure
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EGUsIP_UOT,1617235200,alex,1,pretty sure gigguk's wasted again
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EGoKZMAorJ,1617235200,Wally Smart,0,does rushia know who gigguk is?
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EHC_y8Dl-n,1617235200,xaero xiii,2,Our boi Gigguk has fallen deep down the Rabbit hole. As a viewer and subscriber of his for years this is welcome news!
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EHFK-gELUX,1617235200,WeebMan,0,I completely lost it when she said his name unaware of who he is
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EJso5RvraR,1617235200,͔,5,He even made a video regarding the topic of vtubing hahahaha. Go watch it if you didn't yet.
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EJsxsAz7de,1617235200,Andy Hoang,3,Came in search of Gigguk from his latest vtuber video
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EJt8XaBUQ1,1617235200,Wally Smart,3, @͔  im watching it now lol
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EJydcTxUlv,1617235200,gamaliel bontilao,2,Came here from his last video lmao
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EJz4_IZSxO,1617235200,KevsTheBadBoy,0," @Wally Smart  Based on her response to his SPC, nope."
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EK4wZzRIcq,1617235200,Setton Sai,1,Came here from his latest vid. You are great bro
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EK8nPBRDH2,1617235200,やなそら,0," @͔  yep same, came here from his latest video..."
UgzpWusD5uWTjQw67wJ4AaABAg.9EFK_z9UeYa9EK95yEfIwT,1617235200,͔,2,TRASH TASTE VTUBERS EPISODE IS UP BOIS
