id,timestamp,author,likeCount,text
Ugw6bliEVVvcl5ZyGIZ4AaABAg,1648728000,紅月,0,この動画でるしあと出会えてそこから推しになりました。今までありがとう！:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_きゅん::_ちょうちょ:
Ugzy_s0paWWqs1fffY94AaABAg,1646092800,L Nguyen,1,40:14 RUSHIA POWAH!
UgyI6tei2j00cX7KOfx4AaABAg,1646092800,応援歌EITO,3,帰ってきて…
UgxwgvywZWVqPbQEApR4AaABAg,1643673600,ぐるぐる焼き派,0,これが後世に受け継がれる逆鱗配信か
UgzFpOfsCV0t-UPEjXV4AaABAg,1640995200,ハラショー,1,巡礼
UgxaJZJvAAJlXxbpcG14AaABAg,1640995200,瞿麦,1,プロジェクトVにご登場おめでとうございます…
UgzUTAxJvSHzYghKlzJ4AaABAg,1640995200,Takumi,2,これが伝説の回か....😇
Ugxx-2Jx6SXCywig6zd4AaABAg,1640995200,めりーめりー,1,"11:23 配信がはじまってんだよぉ！！！
ホント好き。爆笑しっぱなしだったw"
UgwaaUZ1gvrqz2b5dEV4AaABAg,1638316800,玲乃_Aoi,0,るしあちゃんのおかげで耳が強くなりました
Ugx7s6tAbiFPAZHWUYt4AaABAg,1638316800,。ぺっ,1,るしあの咆哮助かる
UgwxyLlAuyVFvw3moc14AaABAg,1638316800,西住マン,0,"あぁ〜この強キャラ感ぱねぇ
脳に効く"
UgwyTLeg4wcFo3H_2ml4AaABAg,1633046400,まいっち,1,"何が起きてるか知りたい人が音量上げたとこを見計らっての咆哮、、、
流石です！"
UgzTuiH5wQ7nAalavYB4AaABAg,1630454400,Andy,1,6:53怖すぎる
Ugy46sJir_Ol5lg3FUZ4AaABAg,1627776000,あせあせ,2,9:00サラッと優しい声でやばいこと言ってて草
UgyJs5IvR03NThTjddd4AaABAg,1627776000,네코,1,こんにちは!!!!!(日本語翻訳機を使用しているです。)
UgycUkeeCaLEBiFhwL54AaABAg,1627776000,Nguyễn Thành,1,My ear
UgyFQzTRUQuKCqrOKuh4AaABAg,1627776000,藤原蒙古,2,"同じ声優なのか
すげー"
Ugx6BncUTIjCFApwrit4AaABAg,1627776000,Rafeal Anthony,0,Kocak boxingnya wkwkwk
Ugyo8bwAPSeTU-_gsi54AaABAg,1625097600,HackerShader,0,Warning: earrape
UgwwI-2nW_fnkR09GeV4AaABAg,1622505600,碇エンドウ,1,エヴァのパイロットとエヴァの両方を出来るのすごいな
UgxVrTBTY1QdR13Yi4B4AaABAg,1622505600,もりしゅう,0,14:05クロちゃんるしあ
Ugw3mbk727V1mk3uP1V4AaABAg,1622505600,MIKE,0,6:39 ⚠️
Ugy08RLF54pAyUhI0xp4AaABAg,1622505600,Nightmare Hellscythe,0,Barbar wkwkw
UgwdUrCzlx6EQ1Np16t4AaABAg,1622505600,A Lyrae Vega,0,6:40 Legend's starting
UgxJhca7U9KIRM8or6Z4AaABAg,1622505600,飯テロ,0,7:13え？あっ
UgwNm01q665I9PfgxKZ4AaABAg,1622505600,銀髪ていいよね,0,俺昔家でこんなふうに発狂してお叱りを受けたわ
Ugxa9YGvO2i_fMVp8Cx4AaABAg,1622505600,いよてん,0,"切れ散らかしても可愛いと思えるるしあがやっぱり最強(^^)
ホントそばでみてたい、いずれ恋人的なそういう人が現れたら羨まし過ぎて死にたくなりそう(･ω･｀)"
UgzqhL5-UivEUU_Kg8F4AaABAg,1622505600,切り抜きたい民 HARU,3,1:55:00 勘でバー動かしたら歌舞伎揚の下りドンピシャだった
UgxTfcZPoGkMv2iQSxR4AaABAg,1622505600,sungmin son,0,30:13
UgwTgHKF0Q56X__Ht6Z4AaABAg,1622505600,ウォーレス 弥生、怒ってなんかないですよ。,1,コマンドースタイル？「動け！動けってんだよ！！ガン！」
Ugx2dwpcJMU_8NFBNrZ4AaABAg,1619827200,방토쥬스,0,"これわ ぞとこわいでうね。。。
こえが いろいろあるね"
UgzA4LPV9dy_znOFsER4AaABAg,1619827200,ちーもん,0,伝説の咆哮ラッシュww
Ugz_xzq--ST1BYWLkAh4AaABAg,1619827200,なるぽん,0,ボクシングつよ過ぎて草
UgwurQJitUA3QPeCx-F4AaABAg,1619827200,夜木爾玖焼肉屋ヤキニクYKNKY,3,24:13ス”タ”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”ー”
