id,timestamp,author,likeCount,text
UgwbUGi8HqqzUa5g5g54AaABAg,1648717200,パルン,0,るしあありがとう
UgyxUuv1WKKhdtXM7IN4AaABAg,1648702800,Samoth Wang,0,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.
おつるし!"
Ugx-N5wbgdO5b01v0Vl4AaABAg,1646956800,IdenityX Unknown,0,":_ドクロ:Mario but hell level:_ドクロ:, COVER CORPORATION PLS DON'T DELETE RUSHIA YOUTUBE CHANNEL :_大泣き::_大泣き:

Only minutes in and you've already scream, this game is slowly but surely breaking our Necromancer :_くさｗ::_くさｗ::_くさｗ:,but you are actually good at it though:_るんるん::_るんるん:

3th gen member suddenly show up is so cute:_ハート::_ハート::_きゅん:"
UgzPE9uMOPaWozFdjnx4AaABAg,1646956800,chester,0,❤️🦋
UgyM9l4Po4im9taUc_x4AaABAg,1646352000,サラリア'あくあマリフレぺこみこ推し宝鐘海賊団砲撃手',4,この時の3期生の温かさが懐かしくなりました。凸来なくて寂しそうな時に再登場する団長が乗り移ったおじさんとマリン船長がめっちゃ好き
Ugyx_fbkk41ENukPN0t4AaABAg,1646092800,あきらえかざま,3,37:43　聞きに来たくなる楽しい絡みとこのセリフ
Ugxm9_OrSYHQge7kXCR4AaABAg,1646092800,堕天使じぇみる,12,"るしあ今までありがとう。
この配信が1番好きだしこの配信でるしあにハマりました。
るしあほんとうにありがとう。
そつぎょうします。ふぁんでっと。"
UgyL5ER8e7c24TNwSR54AaABAg,1646092800,海月,4,37:43 るしあぁぁあぁあ！！！！大丈夫かぁぁああぁ！！！
UgyWB_F5IVxAka9JLGt4AaABAg,1638316800,ひめじま,0,37:19コナンに出てくる黒い人
UgxaqawfkJLKpYhPcjN4AaABAg,1635724800,Waf AshiWinter,0,37:18
UgwwwZfStO0x3v6fnR94AaABAg,1633046400,ぜりー,2,"これは神回
しょぼんやってるのがまず面白すぎるし3期生マジでてぇてぇし凸きてくれたみんなとの会話も愛が強くて面白い
やっぱりるしあは最高だぜ！"
Ugw9-E3SqTF2hbDbChh4AaABAg,1625097600,なこ,1,"41:55
ここBGM途切れるタイミング完璧すぎて草"
UgzZ8JkBMUTPtAo1t-14AaABAg,1625097600,Aini,0,20:14
Ugzh3ukKaFxXofck5gJ4AaABAg,1622505600,よんきゅっぱ,0,"1:00:29 1:00:29
1:00:29 1:00:29"
UgwexUJg8wESniM9b554AaABAg,1622505600,oro ahi,0,すごく初々しい
Ugw7fA_tipgpqi1ln4B4AaABAg,1617235200,FlareChama,1,"16:36
20:05
49:37"
UgyQhm6Qb91vY9HcR654AaABAg,1617235200,スタミナムアルファ（編集済み）,0,すいちゃんとのやりとりがバカ殿様
UgzyXd7dVQG4waRiTsR4AaABAg,1617235200,兎恋_uren_,1,1:00:30自分用
UgxC0Ta8DFcJAmBSV2V4AaABAg,1617235200,変態じゃい,0,こんな彼女は今では84.4万人です、と。
UgzHwTpg9qdf24ba4u94AaABAg,1617235200,風邪,0,16:39
UgxHl4f8ZVrNXTEobzN4AaABAg,1617235200,たく,0,:_るしあのる::_るしあの::_るしあのあ::_なのです:
Ugzdy5uaR1etOZdH_BF4AaABAg,1617235200,ぱいなぽ〜キッズゆらる,0,自分用     37:19     37:44
UgzsFzfr8vmDNoF1_154AaABAg,1617235200,teruha,0,"ちょこ先生＆わためぇ
の凸の切り抜きから本編を観にきましたが。
今じゃ、80万人.......すげぇや"
UgyJJJrtoZk7PLPoY5h4AaABAg,1617235200,有栖川煉,0,17:30
UgxkqcPItPm9nxKIqX94AaABAg,1617235200,たけし*,0,"この動画を初めてみて
読まれたの嬉しかったなぁ
この頃は
ファンデッドやなかったけども

自分用
1:33:36"
Ugza63EKZEUdDixWhvV4AaABAg,1617235200,라디나ラディナ,0,37:35 38:40 1:00:51
UgwEw3FVod72i0PsbGR4AaABAg,1617235200,風祭,0,c
UgwW23YKIhzjWjdwqnt4AaABAg,1617235200,かわすみまさと,23,37:18 笑すぎる
UgwW23YKIhzjWjdwqnt4AaABAg.9Fd4gd5byI29FwnMTrBJkK,1617235200,Protocol.,1,"I was looking exactly for this
Thank you~"
Ugz7gE2qs4uPgNFLGTp4AaABAg,1617235200,わためわためは悪くないよね,0,≧∇≦≧∇≦≧∇≦
UgypsYhL2xmSFJ6gemJ4AaABAg,1617235200,やま,1,あ
UgzHd2WmEcu7RoaKpvl4AaABAg,1617235200,Johnny AE Jordan,0,On behalf of all the Vietnamese people who have hurt you. We apologize that the young Vietnamese have hurt you because of the harsh words. We will try so please ignore those comments
Ugzq0wQtl63GF5E0eOR4AaABAg,1617235200,英国のウザイ奴,0,"ショボンだるぃどお😭
頑張ってなw"
Ugw5xqyK3aRltKX4BBB4AaABAg,1617235200,英国のウザイ奴,1,おー、オープニングきれい😁
UgzB6P82w1kEkTFBowN4AaABAg,1617235200,絶影,0,"結局30万人になったら…の後は聞けずじまいだったな。

６月12日現在30万人超えてるわけだけど、何してくれるか今からワクワクするペコ。"
UgwxRIDq_MIR7hy-6U94AaABAg,1617235200,Tono Ruri,1,"チャンネル登録します
30万人突破楽しみです☆"
UgwNzYF1qABI-sNItS14AaABAg,1617235200,ショコラトル,2,From this video forward is when she starts putting things on her head
UgylfyOHTOwO77Qh74h4AaABAg,1617235200,rum spect,0,I like F(lat)-cup Rusia.
UgwiXpSdQH24nPtRs_V4AaABAg,1617235200,Videogamingfreak13,0,1:00:28 Cheetahmen
UgxuVzfV9urH9wcQfnZ4AaABAg,1617235200,ぷらむ.,2,37:20
Ugyxzdk7fxtxl78Jebl4AaABAg,1617235200,ひろ助,1,巨乳おばけと虚乳おばけ
UgyVSXK3gX7budDsqeB4AaABAg,1617235200,Bito,0,Does someone know how to learn to speak japanese? i want to stop watching anime without subtitles and i want to actually understand what she’s saying
Ugy2lsHGAgS7OtUK6CV4AaABAg,1617235200,サヨヒナ,1,最後のBGMの曲名なんて言うのか知りたい
UgyIdVpjkOv-7y7UlcV4AaABAg,1617235200,沖田さん.,34,22:42の団長の「ちょっと寝てたんだけど」が可愛いがすぎる
UgzID4ktVBhCIt3yD1t4AaABAg,1617235200,* omiso,36,50:20　修羅場
Ugz8zb6Hd2g2h6lrO3p4AaABAg,1617235200,ふーんえっちじゃん,3,なんか声変わった？にわかだけど
Ugz8zb6Hd2g2h6lrO3p4AaABAg.97rHGZEWKU898po0wE5eQU,1617235200,まんまる大福,1,清楚が剥がれただけやでww
Ugz8zb6Hd2g2h6lrO3p4AaABAg.97rHGZEWKU898ptTY0fe95,1617235200,ふーんえっちじゃん,0,"まんまる この声好きじゃないから見なくなったわ
説明あざす"
UgycZmhX4Ifa87dtIyp4AaABAg,1617235200,天鵞絨然刃,0,おめでとう！！
Ugz1NtveBHDic1mLQRt4AaABAg,1617235200,群青,0,遅くなっちゃったけど20万人おめでとう！🎉
UgzM1QaCIxAPxQc4SDR4AaABAg,1617235200,卍卍,0,ぺこらいつも遠くね？笑
UgzDNfaLHqnuIHEZg1d4AaABAg,1617235200,ペテルギウス・ロマネコンティ,2,"どうも
ホロライブ司教潤羽担当、ペテルギウス・ロマネコンティ…
デス(:D)！！！！！！！！！！！
改めて登録者数20万人突破おめでとうございマス！
この大きな喜びにワタクシも脳゛が゛震゛え゛る゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛
るしあ様の成長が止まる事知らず！感激でございマス。
いつも癒しのお声をかけて頂き、愛情を注がれて…あまりの嬉しさに涙を流す毎日にございマス…。
これからも、どこまでも愛し続けるのデス。それでも、どうかご自愛なされますように…🙏
ずっと応援しているのデス。
愛するるしあ様へ。"
Ugxupj-NQr3GJGZ1_IV4AaABAg,1617235200,Him,0,るしあ姉ちゃん20万人おめでとうございます🎉🎉☺️🥳🥳
UgxdxVnM1bfbiEAAjLN4AaABAg,1617235200,Cyrene サイリーン,0,Sugoi Rushi boing boing
UgzPiQlsb-gn2s5pGmx4AaABAg,1617235200,オポテトォォ,0,るしあさんすごい人気者でびっくりしましたw
UgwGdFKyLphGHHeH3i14AaABAg,1617235200,ひさき,8,"20万人本当におめでとう！！！
俺は推し続けるからよ、るしあちゃんも…止まるんじゃねぇぞ…



叫ぶるしあちゃんも可愛くて好きだけど、のどが心配です
無理せず、頑張ってね🦋🦋"
UgwmZzXwbP4-RJs4K7V4AaABAg,1617235200,くちぴゆ,0,るしあすき
UgwsE4_V_Z5gPYcDz7l4AaABAg,1617235200,モノノフ2号,0,すばうイケメンすぎてw
