id,timestamp,author,likeCount,text
Ugyk074SHSib8JEPMs54AaABAg,1648717200,パルン,2,るしあありがとう
Ugw0JHAo5f7I42U3T3l4AaABAg,1646956800,ひややっこ,0,"動きが猛者みたいだったねw
意外に上手くて驚いたよw"
Ugy_4q3y8nsvGm8uWUV4AaABAg,1646956800,IdenityX Unknown,2,"Ink-Rushia :_るんるん:, COVER CORPORATION PLS DON'T DELETE RUSHIA'S YOUTUBE CHANNEL:_しょぼん:

Ain't gonna lie , she is quite good in this game , VICTORY at last ! :_きゅん::_きゅん:
 
But still , I've lost count of how many time you got smacked to death:_くさｗ:, shikashi MUDA ! MUDA ! WATASHIAWA , RUSHIA DA !!!!!!! da da da da da da da da da:_なのです::_なのです::_なのです::_ハート: NICE :_ハート:"
UgybhC9uM0M9JShOhDB4AaABAg,1646092800,Gilberto da Paz,3,T-T
UgxbOZEDm68EyTxSejN4AaABAg,1630454400,じゃがバタ,0,"スプラめっちゃ上手👏
しかもめっちゃ楽しそう✨:_きゅん:
新作スプラ早く来ればいいのに〜
アーカイブ助かる〜:_るんるん:"
UgzQ0ipHAkhbXSs8MXx4AaABAg,1630454400,ぜりー,0,"スプラうんめぇ！
またスプラ配信見たいなぁ"
Ugyqv9BuErogCDVeU454AaABAg,1630454400,AHYAI,0,"射撃してからインクに潜る行動が素早すぎる…しかも4連キル…！！つ、強い…
((( ；ﾟДﾟ)))

スプラトゥーン今までやって来なかったけど、るーちゃんのプレイング見てたらめちゃくちゃやりたくなってきた…すごく楽しそう…( -᷅_-᷄ )！！
3が出たら僕も買おうそうしよう
いつか一緒に遊べる機会とかあったら練習するからるーちゃんと一緒に遊びたいなっ！:_きゅん:
チームでも敵でも！！⸜(* ॑꒳ ॑*  )⸝⋆*"
UgxaGXbXJTYidThUCE54AaABAg,1617235200,変態じゃい,0,16:11
UgwfRuFFIV-TaXjjAV54AaABAg,1617235200,すぷら,3,思ってたより上手くて草
Ugz9bvZQocMcBi4BPx94AaABAg,1617235200,そるてぃー,0,"動きがめっちゃ速いしAIMもつよつよ！　これは覚醒るしあちゃん！！
43:33 ふーん、なるほどね？
54:03 ４連続キル
2:18:38　べ、別に今のままで困ってないし（かわいい）
2:23:28 今だけはみんなを独占嬉しすぎる"
UgzcZuQCUorXduyvIw94AaABAg,1585699200,Nguyễn Nhật Khánh,0,What a pro cutting... ahem.... gamer
UgzCzFKfOSLssVk5rkN4AaABAg,1585699200,おくきこ,1,Zapメインで戦ってる時は強いからボム使う量減らした方が良さそう。インク足りなくなってる場面多い。
UgwU9he4uPszbrgj37R4AaABAg,1585699200,めいか,2,"21:28 いあいあいあいあいあ！
1:07:35 4体とらえたよぉ〜＾＾からのよっしゃぁ，ばいばい！
1:22:38 ノーデス無双するしあ
2:22:46 照れるしあ
2:27:17 ゆびきりげんまん"
UgysOiGy5T6s4chlkp54AaABAg,1585699200,. tks,0,ダイナモ使ってくれて嬉しい
UgxSgONY_t-Mv1oaKnh4AaABAg,1585699200,幸春,0,ルシアちゃん大好き❤️
UgzOCFb5bc261GLKM8d4AaABAg,1585699200,幸春,0,ルシアちゃんの動画いつも見ています❗(^-^)/
UgywfCL3dIeTfAwfTtV4AaABAg,1585699200,†にし†,0,"そらまめの話の時めっちゃかわいい
だんだん良さが分かってきて嬉しい"
UgzVdVBmgsRbr2yGVGh4AaABAg,1585699200,よもぎ餅,0,最近同じ箱の子が炎上したんだから気を付けなよw
UgyO96cXmOhS1lEMB4R4AaABAg,1585699200,アクリア,0,るしぁーーーーー！
UgyCCxnGlaUiYH63TBd4AaABAg,1585699200,藤咲凌,3,"やはり上手いんだよなぁ……流石やで！
推しが楽しく遊んでるの見てるだけで幸せになれる✨

次は更に高みを目指そうね！
つよつよなところを見せつけるんや！

スパチャ読みのまったりした感じ本当に癒されます！
いつもありがとう☺️✨
今日も推しが最高に可愛かった！！！"
UgxgryQT7Xy7u0eyOip4AaABAg,1585699200,Silver,0,2:33:48 と言ってらっしゃいますが実はここ(59:58)のロボットボムでしれっと倒されているので完封できたわけではないのです
UgxWGy1CaWmcKsXZnHN4AaABAg,1585699200,Alex,2,Didnt see splatoon in a while nice stream rushia💚
Ugx3lJFUOQlMiv25ip54AaABAg,1585699200,てんゆー,0,"やはり普通に上手いですねぇ
A帯惜しかったけどるしあちゃんなら行けそうです
後本当にるしあちゃんにしか言ってないですからね？"
