id,timestamp,author,likeCount,text
Ugw3jKMeWucwgcFJCf94AaABAg,1648738654,水s,0,お疲れ様
UgxQ9zPLwPd1i2sEDPF4AaABAg,1648738440,高海千歌,0,thank you rushia !
Ugx2JhpJ6pSkz_-tcTd4AaABAg,1648738380,Cliff V,0,o7
UgwQetaq5Z2HVC6xmk54AaABAg,1648737360,おかゆ推しのウユ,0,今までありがとうそしてさよなら
UgypJeRTAmCfTz2OXth4AaABAg,1648736700,JN9,1,Rushia’s last collab with Marine.
Ugx98gZehCQ3m0xnalN4AaABAg,1648735200,Faris Daffa,0,LOVE
Ugy1Tbe6fgH1BQeuQR54AaABAg,1648735200,tomo,0,ありがとう！！！
UgwgF1j7fkGclWofx8J4AaABAg,1648735200,no se :v,0,Hi mina
UgyEsVOIHaDXUb-txjB4AaABAg,1648731600,仮面ライダーKG,0,今までありがとう……
UgwepM8gf4lg35o89mV4AaABAg,1648731600,Samoth Wang,0,"Thank you, Rushia.
Thank you for everything.
We'll never forget you.

おつるし!"
UgxL8LzU2pSsDTZifBt4AaABAg,1648728000,たっくんCman-Rakko中学生,0,僕はるしあの生配信を1度も見たことがなくてアーカイブしか見ることができなかったのに今日をもってアーカイブすら見れなくなるからマジで辛い
Ugz_Ftoq75401I-ZwXx4AaABAg,1648713600,amemiya tsuyoshi,1,"「永久保存版」ミラーるしあ
こちらで配信が見れます
宣伝お願いします!!!!!少しふぁんでっどを残すために"
UgzKImR-oiuh84mQ_rJ4AaABAg,1648710000,Nadeshiko,2,Thank you Rushia for everything!!! <3
UgwEpcqRO9X464YCBjd4AaABAg,1648688400,彌月兔,0,:_待機中::_待機中:
Ugwt6ZKCWsvG-EodBoB4AaABAg,1648684800,Blue Sky,2,🦋💐...........
Ugz5zT6odJP_pZ837t94AaABAg,1648598400,しろわっさん,0,見た
UgxckOBj1ixt8YXwx6h4AaABAg,1648252800,すじ,3,ホロやいろんなVの活動が刻まれてるから何とかチャンネルや動画が残ってほしかったなあ
Ugw-kRTB50g381iVNRN4AaABAg,1647907200,Soul Tunnel Reavers,1,Yun boses mo ok yan 👌
UgyW8fOIpNy12FTbu654AaABAg,1647907200,やつがれ,0,24:05
UgyXZvwoNE71HVHT87h4AaABAg,1647648000,#しゆん,1,あ
UgzMCvzM8jctVSBUd2d4AaABAg,1647561600,Lucy.,1,Hha
Ugz61vKyEwTPYWXNeyN4AaABAg,1646956800,李振瑋,2,😩😩😩
Ugx81eZguMRpJuvqGDl4AaABAg,1646956800,矛盾ニキこいし推しだお,5,"あんたがいなくなってくれて最高すぎるううううう
今日は祝い酒じゃあああああああああああ"
UgzExr3dKgoof6Q17zp4AaABAg,1646956800,Miyuki,2,:_ちょうちょ::_猫耳るしあちゅう:
UgzITCfNbJXMQ8MarP14AaABAg,1646092800,らふらんす一味募集中,13,アーカイブ見てるとやっぱり寂しいわ。
UgzITCfNbJXMQ8MarP14AaABAg.9YxXUY_Yzji9Zl99KCejjw,1647820800,13歳,0,ほんとそうですね
UgzITCfNbJXMQ8MarP14AaABAg.9YxXUY_Yzji9ZprkIqZx8U,1647907200,7割の確率で断罪失敗する男,0,……おかげで今はいい気分だぜ…
UgzCu2DkVZgcHscZn6x4AaABAg,1646092800,オカ,10,まさかこれが最後のコラボになるなんて…
