id,timestamp,author,likeCount,text
Ugw47m0ktzT87tuU0GV4AaABAg,1648724400,ヘイラス・マリオン,0,さよならがないけど今日休むわよね、それしかいないようなもんだろか。ちょうど漫画が一千万ぶ。
UgyltvqA-iOExaj5UCZ4AaABAg,1617235200,中日フランドール,0,クッパのカスタマイズ…ターボワンとローラータイヤでは曲がりずらいよ！クッパみたいな重量級はハナちゃんバギーとパタテンテンの方がいいよ。タイヤはローラータイヤのままでいいけど。とにかく練習あるのみ！
UgxM_QMjPGkSL5IeL254AaABAg,1617235200,みやっち,1,20:20 世界中のゆうすけニキ用 :_るんるん::_きゅん::_ちょうちょ:
UgxM_QMjPGkSL5IeL254AaABAg.9IVIg3YdS549IVIvWUdmSp,1617235200,みやっち,0,22:05
UgzEthwZ4aiX2BJ_pLx4AaABAg,1617235200,かなで,0,つよつよ
Ugzcne3PDosR80Hm_RV4AaABAg,1617235200,ArtistaFrustrado - KFP Noon Shift,0,"Rushia's death metal screams, while she has the most relaxed expression, is the funniest thing <3"
UgycRxRsnjnqK4_pT7B4AaABAg,1617235200,riv たまご屋アルバイト中,0,るしあ可愛い
UgzAq8Y1zEaz6xK9KCJ4AaABAg,1617235200,Daniel Enck,0,"Rushia is the only hololive member which switches hair color and outfits as often as her mood. i dig that <3
to the clippers out there, pls make a Rushia screamo song xD"
UgxXxikAkaGta3nkcRp4AaABAg,1617235200,出雲Elusy、別名Argent・vampire,1,チャンネル登録者数多いからちょっと入りづらいww
UgzfJb4AJlhRLEZbn6R4AaABAg,1617235200,ええっと、何だっけ?,1,50:35〜あったかくなりたい人向け
UgzWCMc77Nf6eBaSEDR4AaABAg,1617235200,ええっと、何だっけ?,1,36:12〜　スターイキリからの順位転落でヨワヨワになるルシア
UgzAw4T5IA8o_NHegXR4AaABAg,1617235200,MLG Pagan,0,Привет из россии
Ugzivc7G4FGLJbpp0D14AaABAg,1617235200,くせ毛代表,0,30:31
Ugwk0TrDyqO-Nwpx2314AaABAg,1617235200,K,0,あーかわい
UgwSxvqdT_B_MpzDqh54AaABAg,1617235200,Jorge Gomez,0,Relax Rushia 😁
UgxNbAwy-ZAxKI_lc-54AaABAg,1617235200,白鳥,0,"今日も面白かった！！
るしあちゃんに免許を与えてはならない…(小声)

自分用
6:28 22:43"
Ugx6TYaIqCDwvz8EMvF4AaABAg,1617235200,ゴシップジョルノ,1,"46:54
るしあ「あの山多分るしあだわ」
リスナー「いいえまな板です」
草"
UgxegLZuvKBX2BA2Brl4AaABAg,1617235200,Hiryū Ran 草,1,"thank for the stream
 
P
3
P"
UgydkXYpF_kMFy1kSEJ4AaABAg,1617235200,Stone DS,0,"誕生日おめでとう!!!
私はライブを見る時間はありませんが、私はまた、あなたをサポートしています - あなたはあまり泣かないでください"
UgzqGqYR4JcHYuEL6CV4AaABAg,1617235200,kyoryu takeru,0,"En la portada del video puso la palabra マリカ para abreviar Mario Kart pero su pronunciación en romaji es Marika y en español esa es una mala palabra con una connotación contra los gays.
CON SOLO LEERLO ME HIZO GRACIA XD"
UgwJ42Oyxo3OVNbQ8yd4AaABAg,1617235200,吉原勝利,0,5:29
UgyvxNMb-np3LO0fmcd4AaABAg,1617235200,cubito de Tetris 79,0,No entiendo nada de lo que dice pero me encanta verla
UgxGZy6eAeaz_U2_m5x4AaABAg,1617235200,ドサイドン・ガチデブオギャール,5,今回の配信も面白かったです！るしあちゃん可愛エエのぉ！
Ugwc612VaI070uGrtCR4AaABAg,1617235200,alice,1,今日も楽しかった〜
Ugy6rjClRkkQm98Kf4d4AaABAg,1617235200,るしあ王,2,夜遅く配信するの悩んでたけど気にせず配信していいんだよ😢リアタイできない人はアーカイブで見ればいいんだし😤普段配信開始してる17時18時だって社会人ちゃんや部活帰りの学生ちゃん達は最初から追えなかったりリアタイするの難しいだろうしね😁だから気にしなくていいんだよ😊ぼくはるーちゃんしか興味ないから配信が増えると嬉しいんだ😍
UgwVd92kCQtf1uwImZB4AaABAg,1617235200,aqamelon02,29,"0:00 Loading Graphics - ""Be Happy"" signature free-use BGM. Audio starts at 0:10
2:44 Greetings and Pre-Gameplay Chat about yesterday's Japan-only event.
20:11 ""Don't mess with me""
21:48 Cute laugh
31:26 3, 2, 1.. prroin~ (Cute countdown)
32:56 ""Hey, Stop messing""
39:21 3, 2, 1.. oe
47:59 Cute short laugh
59:17 Powerful scream

Post-Gameplay Talk and Superchat Reading Time (""Thank You Time"" logo)
1:05:15 Cute Humming 🎶
1:29:30 Changes BGM and reverb voice.
* Didn't understand this part, but probably Rushia welcomes back one of the very first Fandead member.

Very fun stream. Peaked at 15k viewers, but as it aired in a Eastern-friendly timeslot, almost all players are from Japan, so very little chance for international viewers."
UgwFmvZbwbCfPbkTOjl4AaABAg,1617235200,まお,1,"るしあちゃんも上手いけどみんなも上手だったね💦
ふぁんでっどポケモンになりがち😌"
UgyBt_FPvEvR4idALuV4AaABAg,1617235200,まおぅん,2,"おつるし！
今日もつよつよなマリオカートだったよ😊
るしあちゃんの配信見ながら勉強してたけどるしあちゃんが可愛いすぎてずっと見てしまってた（笑）
次の大会もがんばるしあ！"
UgzQ0ZlHt8tkwdmCVyZ4AaABAg,1617235200,日本産の蟹と海老 天然の上物,1,"蟹GETならず…
残念だったね
見ててたのしかった！
お金があれば蟹代おいていきたかったなぁ"
Ugzw8lMLQJqXocBb-zR4AaABAg,1617235200,ET.03,1,you are so so so so kawaii✨✨✨
UgzC-RNPy-ghNZURCbB4AaABAg,1617235200,Homaru Tengen,0,"It was a thrill watching you race, thank you rushia for the stream❤️❤️"
Ugz6w22PWybovTDmI2d4AaABAg,1617235200,YUSUKEE E,15,20:10から僕はるしあちゃんに目をつけられた笑
Ugzl4tZxc-ks-Lxwxp94AaABAg,1617235200,ボブボブボンバー,1,マリカー欲しくなりました
UgyOSNO1_C_cSG6pT2V4AaABAg,1617235200,Takayoshi A,1,"ホロお正月CUPの練習は大切なので次の配信もあれば良いと思います
戦績確認用
43:49 Wii グラグラかざん
配信平均順位 1位
ホロライブ総合平均順位 2.9位"
Ugxk8ejwUgJBkeTnPXB4AaABAg,1617235200,ニッキニキ,2,"1:00:24
おかゆんいるやんけ！"
UgwwNvFm4xDhLrPeN414AaABAg,1617235200,バロバロス,1,"マリカーお疲れ様です
対ありでした今回初めて参加できました:_ちょうちょ:
 26:40




次回も参加できるように頑張ろう:_ふぁんちゃん:"
Ugylzoz8Zzu1lLmYpsd4AaABAg,1617235200,メランコリィ!,26,"2:57 開始 / start
5:10 久しぶりのマリカ / It's been a while since I've played Mario Kart.
7:18 アイドルなので / because I'm a idol
9:22 ルージュラ、アナゴさん / Jynx and Anago-san
10:25 1レース目 / 1st race
┗13:02 全部抜かせ / Pass them all.
14:37 2レース目 / 2nd race
┗17:08 咆哮 / roar
18:30 家族との口論 / arguments with family members
18:45 3レース目 / 3rd race
┣20:06 ふざけんな / You're kidding.
┗21:00 あいぃ / oh...
22:53 4レース目 / 4th race
┗24:43 怒るしあ / angry Rushia
25:38 煽るしあ / excited Rushia
26:33 5レース目 / 5th race
┗27:45 なんで当たってくるのよ / Why are you hitting me?
31:03 6レース目 / 6th race
┣31:36 こっちかな？ / This way?
┣32:29 悲鳴 / scream
┗32:55 ねえええ / neeeee
34:42 7レース目 / 7th race
┣35:21 1位 / first place
┗36:28 おゆるしあ / Forgive me.
38:15 カニ食べたい / I want to eat crab.
38:58 8レース目 / 8th race
┗41:13 カニを求めて / in search of crabs
43:44 9レース目 / 9th race
48:24 10レース目 / 10th race
┣49:40 ダジャレ / pun
┣50:45 ちゅ / chu
┗51:05 ばいばーい / bye bye
52:58 11レース目 / 11th race
┗54:18 ねえええ / neeee
55:34 わための宣伝 / Watame
56:37 12レース目 / 12th race
59:54 やだやだ / no,no,nooooo
1:00:32 ED / ED

1:01:23 ED後トーク / talk after ED
1:03:45 ポケモン / Pokemon
1:06:31 るしあを信じて欲しい / I want you to believe in me.
1:07:32 昨日のメン限配信 / yesterday's member-only stream
1:08:15 スパチャお礼タイム / superchat reading start
1:12:59 カニ / crab
1:19:12 悩み事 / matter causing distress
1:24:00 嫌なことあると食べられない / I can't eat when I'm having a bad day.
1:26:26 昨日のメン限後 / after yesterday's member-only stream
1:29:00 BGM変更 / BGM change
1:30:29 みんなもるしあと結婚 / Everyone marries me too.
1:42:50 ポケモン関係でまだ言えないこと / what I can't say about Pokemon yet
1:45:13 明日が今年最後の通常配信になるかも / Tomorrow may be the last normal stream for the year.
1:50:14 後輩ちゃんの新衣装 / new costumes for juniors
2:07:45 みんなポケモン好きで嬉しい / I'm glad you all like Pokemon.
2:20:29 シャンプー / shampoo
2:46:03 ED / ED
2:46:51 Cパート / C part

いつもの人の代わりに簡単に作成しました。
I want you to forgive me even if my English is strange.
Thank you for DeepL."
Ugylzoz8Zzu1lLmYpsd4AaABAg.9Hr0q7p-E8J9Hr5dkquTWe,1617235200,Staynight,3,Thank you !
UgzGehSoeqP7c-FAbmF4AaABAg,1617235200,Korone,0,What is the bgm rushia used in the talk part? :<
