id,timestamp,author,likeCount,text
Ugy9i82AlXCmyzQr6qR4AaABAg,1648735860,Ben Lin,0,Ya that's best ED
UgwVo7tLafDjRDIno6B4AaABAg,1646956800,IdenityX Unknown,0,"Kawaii :_ハート:, COVER CORPORATION PLS DON'T DELETE RUSHIA CHANNEL:_しょぼん::_しょぼん:

Cute Animal + Cute Streamer = Ultimate Stream , and you have cats too , even more points for that :_ハート::_ハート:

Rabbit, hamster , kitty , doggo and Rushia ! I can't take it , pls revive me after this :_ドクロ:"
UgyjvYtHZromoSPxMJN4AaABAg,1646956800,Maple May,0,"The ED so amazing
I love it:_ハート:"
UgxMxOl_nRM9uMNwcRF4AaABAg,1646092800,い。,0,このエンディング今見ると泣ける...
UgwQO1SqNHifDglnt2F4AaABAg,1638316800,ぜりー,0,"ペットもかわいいし、それを見てはしゃいでるるしあちゃんもめっちゃかわいい！
るしゃのペットになりたーい！"
UgzwzrOxkW9BzVq7WF14AaABAg,1633046400,赤サブレ,0,スパチャ読みの時に流れてるBGMの曲名わかる人いますか？
Ugz3visM5OsW2iYnSDl4AaABAg,1617235200,Dr.おれあぽ,0,1:47:31
Ugy3Rsw5_LQ6Xm2rJ8l4AaABAg,1617235200,Nexcell Pride,1,"The premiere from Ending sequence... 2020 May 31st, maybe abscent at following stream (It was a collab with 2nd Generation's Member Nakiri Ayame) but starting at 2020 June 5th, ending became official.
Otherwise, Rushia-daitenshi plays the ending two times: when ends her normal stream and later when Supaachaato Orei Time ends.
But it have a problem: with playing the ending after normal stream and before ""Supaachaato Orei Time"", many people think the stream's over. Maybe she need a transition for passing from normal stream into Supaachaato reading... But well... Rushia-daitenshi is very modest in it."
Ugw1ZYIGwHthyOBGj_N4AaABAg,1617235200,No.4,0,38:05
UgwpRRqydugSCifSon14AaABAg,1617235200,ただの明智,0,オッドアイじゃなくてペッチャパイなんですけどねぇ…こんなこと言った後がオッカナイです
UgwZ2xkZJSZqPx1jLF54AaABAg,1617235200,〆幽玄,0,るしあこの配信だけでめっちゃカロリー消費してそう
UgyCHh1CjhODAcU0rlR4AaABAg,1617235200,功坂亮,0,11:48 蟹のご飯...を見る猫...を見るるしあ...を見るふぁんでっと　がここにいますよ
UgwEq1k3EePSGWZbCP94AaABAg,1617235200,Bellystraw,1,I came here because of Wii-senpai's death. It was hilarious. Good luck with the upcoming streams
UgwXIPtrZc0mwqrLfOV4AaABAg,1617235200,Kat 501,0,"Rushia!!!! You might not see this comment but your actually the first V-Tuber I have watched. I watch archives and all that of you :) 

I love you rushia your the best~!"
UgzA-ad6goIlNEnfjbV4AaABAg,1617235200,Potatotenkopf,1,Poggers
UgynrxADSPhtroXNnS14AaABAg,1617235200,Sandim,0,Onde vim parar?
Ugz0SOSr9FY9_FB3JEl4AaABAg,1617235200,Nagamin,0,im now learning japanese just to understand this
Ugz0SOSr9FY9_FB3JEl4AaABAg.99NZdpRz7ec99OYXLyPHdc,1617235200,Marco Huerta,1,Hello english brother
UgyaCwYOTxwKy4s4-ax4AaABAg,1617235200,Zukaze,0,"Ill watch it even tho I don't understand 90% of it
 Lmao"
UgyaCwYOTxwKy4s4-ax4AaABAg.99NCqHwwSNU99ONuzoO-m0,1617235200,ray shadows,0,"You will some day, by the power of internet ( that how i learn English well 90% of the time )"
UgxNqAWKxkYcS4b-eWt4AaABAg,1617235200,スーパーお寿司,0,ED凄すぎ！
Ugz5f71QfGcuXJvX4pt4AaABAg,1617235200,bladegalaxy,9,I wished I understood Japanese so I can enjoy this content..
Ugz5f71QfGcuXJvX4pt4AaABAg.99MwASSWFNG99SI9sjJoiR,1617235200,Daffa Virwandy,0,Mmmm. Watcha saayyy..
UgxRPjxW3mzyH0igzXp4AaABAg,1617235200,kyoro,0,"EDすげぇコメばっかりだったから、期待しすぎて肩スカし。
お前ら、誰かがコメしたもんじゃ気がすまねーわけ？
自分がしなきゃ気がすまないんか。
マジで黙っとけ！！"
UgymwPLog2HXHht9vKp4AaABAg,1617235200,真咲,0,エンディングすごくステキ……
UgyOClT0kUMQlSeJxep4AaABAg,1617235200,ししゃも,0,次の機会におくりたいいーーるしあに見てもらいたい
