id,timestamp,author,likeCount,text
Ugwx5TDqJKo8pmQNsgt4AaABAg,1622505600,INKK,0,kami sama please make rushia happy
UgxJIsod3t0sHSuDfJN4AaABAg,1622505600,Gustavo Ch.グスタボCh,0,Rushia excelente directo de [Morley Online] Okakoro Buenos EstrellaIi Ii Ii! [Uruha Rushia/Hololive] y estuvo muy interesante estos productos de Okakoro claro si que ere sel extranjero necesita vpn para poder usar la weeb linda rushia gracias por otro genial directo.
UgzPkGHbICI9QjHSDAR4AaABAg,1622505600,はちみつレモン,0,僕もねるしあの豚になりたかったんだ…
Ugx7PtlwkyDn5IW-a9p4AaABAg,1622505600,Om Tsun,0,Kontoru rushia duar!!
UgytNcQR0NudG6z00ah4AaABAg,1622505600,tang roro,1,I feel bad when she said she doesn't get enogh chances to be on Hologra
Ugzj3MAycXyILodNafB4AaABAg,1622505600,Eriエリ,1,神の手本当にありがとうございます！！ww
UgzARuzmqSH_eh0nlv94AaABAg,1622505600,みそスープ,2,1:40:58 チラ見するるしあちゃん可愛すぎる:_きゅん:
UgzlAuU5e-bGqaXW0-h4AaABAg,1622505600,Kumazume熊爪,0,すごく縄文ドキドキ！
Ugz3TixtTr_HEJgGUqV4AaABAg,1622505600,赤ヘルサガン,0,新ギャグ、縄文　ドキドキ
UgwZVyy9MPufaDbDxHx4AaABAg,1622505600,うるはヴァジラ,0,"るしあちゃんたこ焼き職人だったのビックリしたw未来予知したりと、スキル発動も凄かったね！
るしあちゃんの距離ってほんとに隣で遊んでる感覚だからいつまでも身を委ねたくなる。可愛い彼女とデートできてとっても充実した１日なったよ:_ハート:
次のデートはどこいく？どこいく？
楽しみに待ってるねー！
115万人もおめでとう！
これからもずっと一緒だかんな！"
UgxzCkSySOKijVxK15R4AaABAg,1622505600,るの足置きJONATHAN,0,:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし::_ハート:
UgzdR0xk79DIHbUqb9N4AaABAg,1622505600,きぃるん。,0,るしあちゃん、運が極まって良かったね！
UgxsNmh_c0MVxjBwUe14AaABAg,1622505600,途方に暮れる暇人,1,"スパチャ読みに入った瞬間寝ちゃったよぉ〜今から少しだけアーカイブ見るからね。
コラボ頑張ってね絶対見に行くからね。面白そうww"
UgxIkzUDOOx5g6hDdpt4AaABAg,1622505600,_ Rm,0,かわいい。
UgydXastMoOVeYCGblt4AaABAg,1622505600,ㅎㅎㅎ,0,씹 ㅋㅋ ㅋㅋ ㅋ 정
UgxFsadyzWaDm2H-pQF4AaABAg,1622505600,Nexcell Pride,15,"We can't believe how luck was positive in this stream.

Happy Rushia = a great day for everyone.

0:43:22 Tensai gaming... We thought about a mistake, but the ball bunch made another way to win.

0:54:35 How lucky... 3 balls inserted and the fourth bounced the inserted ones, traced the field and inserted at red marked.

1:11:11 One of best plays and Rushia's reaction.

1:27:08 Best reaction... And at that moment, Rushia reached 1150000 subs.

— Results —
7 Okakoro items obtained."
UgyI1lty7qWKEtX1P1t4AaABAg,1622505600,Shadow白影,1,Missed the stream !!!
UgyhXzTg1s5vgnXUXmJ4AaABAg,1622505600,Shake,12,1:33:54 シャイガイるしあ可愛いいいぃぃ！
UgzQ4cdXg_P4g4Bv2vN4AaABAg,1622505600,blazaid storm,4,I just realized if were married to rushia then is she allowed to hold hands and that stuff with other vtubers.
UgzCqd0vjkRwLsOI_n14AaABAg,1622505600,rei,2,大好き
Ugxk8VDhX_FvYsOghZ54AaABAg,1622505600,Hibikill,34,"28:24 
Table-kun: Rushia, i'm happy as well"
Ugw27EDFbptYPxVq9LR4AaABAg,1622505600,てもて〜,6,景品取れたときの高笑いかわいすぎぃ
UgxxnTLyQSsTGvZIkWx4AaABAg,1622505600,M̸e̸h̵a̷c̴h̷i̵i̵,5,chu! miss you Rushia!
Ugz-8FSn3YLcodjKTCR4AaABAg,1622505600,선우산,1,9
UgzmQc6dO45i7knK-_94AaABAg,1622505600,バタモン╰ お兄ちゃん,2,"お疲れ様だよ～
グッズいっぱいゲットおめでとー
今日もありがと、大好き！"
Ugw5SwqsAcA4tMHwfxp4AaABAg,1622505600,🌙赤月雪人⛄️,2,"おつサイ
:_おつるしのお::_おつるしのつ::_なのです:"
UgyoFzLMYWYz2CaXgJt4AaABAg,1622505600,ゆーくん！,0,"ゲームセンターデートとっても楽しかったよ♪
るしあちゃんたこ焼きとっても上手で沢山取ることができたね！！
とってもすごかった:_るんるん:
また一緒にゲームセンターデート行こうね！！
今日もとっても楽しかったよ〜"
UgxW2zVw4FAh2Wj2lV54AaABAg,1622505600,ろいろい,0,"グッズ大量ゲッドおめでとう✨
あと自分の誕生日プレゼント使ってくれてありがとう😌
手のひらマッサージ版も送ってあるから良かったら使ってみてね！"
UgyRM5SFAF3nrkYNaGJ4AaABAg,1622505600,Vyse,1,"Thank you Rushia it was a very fun Molly time! I always enjoy watching you, it's always fun and exciting, and you always know how to make me laugh. Lol. :_くさｗ:
Good job today! See you next time Super Cute Nekoromancer!:_るんるん::_ハート:
My personal favorite Rushia moments.
36:40 No ball...?! The Molly Gods noticed Rushia's cry (scream) for help.
43:35 Thank you Molly Gods.
50:03 Rushia Luck & Cute Noise.
51:10 Success & Cute Noise.
1:00:56 Lucky Ball was very Boing Boing & successful. Rushia Cute Noise.
1:09:40 Sad Rushia.
1:11:25 Success! Dekai Voice!
1:20:40 Mama Rushia.
1:27:06 Success & Cute Noise."
Ugzgvpyl9csqHT6HRql4AaABAg,1622505600,もるげんろーと,1,"今日もうんと癒された:_きゅん:
たこ焼きつよつよだったね〜"
Ugw0ycMJRs91DqaVEBN4AaABAg,1622505600,Ilda Litast Mwanasomi,0,るしあちゃんは今日運が良いね！
Ugw5h7ZuaDTvMNtwQZN4AaABAg,1622505600,白,0,"強過ぎん！？
アーカイブ助かる！"
UgzIjLRMNY6rqGn1aA54AaABAg,1622505600,よしお,0,るしあちゃんとのゲーセンデート楽しかった！グッズとれた時の反応すごい可愛かった！
UgxJYsYKgvyEuX-_Onh4AaABAg,1622505600,目潰しコアラ,1,縄文ドキドキ〜☆彡.。
UgybgCQLLs843Ef5t-l4AaABAg,1622505600,茶々,0,"配信あったのかぁぁぁ
通知きてなぁぁぁぁ"
UgwmHylMkGEi_tFmbBp4AaABAg,1622505600,ニノニノちゃん,0,"おつるし！
ゲーセンデート楽しかったよ！
取るところ見てたら思った以上に取れてて驚いたよ！
さするし！(*'ω'*)b
115万人もおめでとう！"
UgzPQ-jv5sFQ3RcsAw94AaABAg,1622505600,星宮蓮,0,"1:50:13

るしあちゃん115万人おめでとうと、配信お疲れ様！
僕の初スパチャです！
これからもるしあちゃんのことずーと大好き！愛してるよ！

アーカイブもみるね！

アイコンるしあちゃんだよ！"
UgztFtJ6VrSER548Q2N4AaABAg,1622505600,Kira Asuka,0,たくさん取れて凄い！海外だからモーリーはできないよ・・・
Ugw-n0D4biiCdFKFiNx4AaABAg,1622505600,水色彼方,4,"ワイ　るしあちゃん台パン大好き侍
(音量注意　ミスあったら補足お願いします:_きゅん:）
7:07 28:21 1:01:00"
Ugw0z-rFWpyM6bJz78V4AaABAg,1622505600,うすみどり,0,"モーリー配信おつるし〜！
グッズ大量GETおめでとー！！
るしあちゃんの豪運が炸裂したね😆
ゲーセンデート楽しかったよ！
ずっとるしあちゃんに縄文ドキドキしっぱなしでしたぁ:_ハート::_きゅん:"
Ugwvq2mEa_5d4lDlU3R4AaABAg,1622505600,Kelvin Lai,1,Thank Q My Boing Boing Nekomacer for another great stream!
UgwvgyEhH15ZUq1BfLt4AaABAg,1622505600,KON,2,Bye bye~~
UgzARqlD0rhROEpv3LF4AaABAg,1622505600,むはにたあ,1,"アームに玉が入らなかった時にスッと入れてくれる神の手すき。
るしかなコラボで私自身がやった時こんなポンポン取れなかった…やはり豪運の女神…！"
