id,timestamp,author,likeCount,text
Ugw4gH9hpmE_5w_L8C14AaABAg,1640995200,ぜりー,1,"るーちゃんのマリカほんと楽しい
レアなピンクショートも見れたしこれはいいアーカイブだ！
最後の震えるしあは笑ったけどw"
Ugz_dXJIlcrfE3vnHAN4AaABAg,1617235200,ふぁびお,6,38:16〜  一応歌詞書いときますね            ... 最強モード来ちゃったなぁ〜 どの辺で使おうかな〜 うーんと この辺   ｲｬｧｧｷﾞｬｧｧｧｧｧｧｧｧｧｧ
Ugz_dXJIlcrfE3vnHAN4AaABAg.9CTcABuwQFY9KXcNIsNNhj,1617235200,りょうりょう,2,歌詞探してたので助かります
UgwlP3yqjtxYTICdWCF4AaABAg,1617235200,ラムゥ【Former professional gamer FPS】,0,1年ぶりに見たけどこのまんまなんか、リスナー頑張ってるな。
Ugzc0ZzPojYlDU4k3gJ4AaABAg,1617235200,Kataifi,0,Fun stream
Ugymwy0DPo5w3fMISwx4AaABAg,1617235200,Ahmad Daffa Pratama,0,Just my personal timestamp 46:52
Ugwp2-DewibxpCam45x4AaABAg,1617235200,カカロット【カカさん】,0,るしあちゃん毎回コイン取らないからそりゃ走力で勝てないよ！！！( ・∇・)1週、2週目は順位にこだわる必要ないしコイン取ろうね。
Ugxb-LJPmJ1ku2eeWsF4AaABAg,1617235200,Jose De Jesus Martinez Enriquez,0,1:17:45
UgyxzADtwMo6bMIGzzJ4AaABAg,1617235200,バナナパフェ,5,38:24 ディアルガ
UgzSKywOS-ZkDeD5ow54AaABAg,1617235200,せぶん,0,思春期のおじさんしか見てない気持ち悪い配信ｵﾂｶﾚｻﾏﾃﾞｰｽ
UgzpoG5whJcbEGsOuvV4AaABAg,1617235200,Mangel Ejea14,0,Hablas una variante muy rara del catalán
UgzAz259V20jH3QG61N4AaABAg,1617235200,Acalanatha,0,Rushia you need to take the coins to get a speed boost! The reason why you are falling behind is because you don't have enough coins as well! I hope I can play next time you have a MK8D stream
UgyHNFyvyaAB2BXvSDh4AaABAg,1617235200,Valentino Chiu,4,One day I’ll be able to watch these without needing people to translate them 😼
UgyHNFyvyaAB2BXvSDh4AaABAg.9C0gINV6KWP9HIs70BP0q3,1617235200,Outrider Knight,0,You and me both. one day...
UgwdQYq2ImSXGY7bLDx4AaABAg,1617235200,ザイモン,0,サムネ可愛い
Ugzim9y-j_dmFOHKKHx4AaABAg,1617235200,Calon OTAKU Id,0,Last of US please
UgxcfnaymSvZxdS8GHR4AaABAg,1617235200,Dipta0499,0,"I came here, because............. Nevermind"
UgzMSNTdky9mOX_mHHR4AaABAg,1617235200,`,2,46:52
Ugy3AN8m-yVyPS-lbzV4AaABAg,1617235200,Cụ bơ men,0,Á à
UgwOnQNrLk2rJOgDzx94AaABAg,1617235200,わしきへんし,11,"なにとは言わない
1:44:34"
UgzSKdd4avIhw2Judtp4AaABAg,1617235200,ちびお,1,1:44:25
Ugy1dURS1skaBRSfB9Z4AaABAg,1617235200,HAZARD TOWN,0,Cómo piñas termine aquí >:v
UgxeC-XWZsNKolpqCzR4AaABAg,1617235200,에취,2,1:56:42
UgxlC7N_x0Bf6bvY8Hl4AaABAg,1617235200,MomonKusa,5,14:40 Rushia blue shell attack and rocket roar ORAAA
Ugy0WXaI1E66NMB0qEV4AaABAg,1617235200,んひ,4,24:02第4レースのビッグブルーのフランスニキもしかしたら世界代表の人かもしれない。ついでに参考程度でいいんですけどもし本当に勝ちたいならワルイージはなちゃんにローラータイヤが最強なんでオススメです。でもいちばんは自分が好きなキャラやカスタムを使うことです！
UgyT1quNkKJNeS3uon54AaABAg,1617235200,Lolis Hunter,0,Te amo
Ugyn6NyamGQ321IHL2J4AaABAg,1617235200,Supermapleaddict,0,the thumbnail was 10/10 lol.
UgzaXPoxzO8bSR2k4h14AaABAg,1617235200,riryu【雪民】りゅーたにえん,1,マリカー配信のるしあちゃん毎回キレッキレですこ
UgwIWwFV4nfyBgM0NSh4AaABAg,1617235200,"fire,",2,"久しぶりのマリカ配信楽しかった！
ゴスロリショートのるしあちゃんは新鮮ですごいかわいかった。"
Ugz5o1dwcxvcXFXn6QV4AaABAg,1617235200,Y Y,0,46:53
UgyEmImSN1fLXe4G4MZ4AaABAg,1617235200,Michael Mahagaputra,0,"Thank you Rushia, I'm still here because of you"
UgzimriRcvvCyEmFvg54AaABAg,1617235200,パンが欲しい？,2,"No mames no entiendo ni verga, pero te amo jajaj re virgen el que lo lea xd"
Ugwi-uJ-jtK1XZxPC6R4AaABAg,1617235200,TheSpeedyFire,3,It was a pleasure racing with you Rushia! 20:37
UgybQl8o0CZEC8Odgdt4AaABAg,1617235200,Animality Official,0,Whats the BGM at 0:06 ?
