id,timestamp,author,likeCount,text
Ugw8adLG298aIpuxQk54AaABAg,1646092800,かみとき,1,"るしあを初めて見た配信がこの枠でした。 今は過去を思い出して涙が止まりませんが、とても楽しい日々にさせてくれました。
今までありがとうございました！
活動お疲れ様でした。"
Ugx9fRI07hGZJtIUQQN4AaABAg,1622505600,INKK,0,she should add her bpm i want to see if it settle down when she obtain a weapon like pekora
Ugwr_RVUf4PAr26QYA94AaABAg,1622505600,INKK,0,i want her to play in vr
Ugwblbr7hGVP4ktfY294AaABAg,1622505600,Gustavo Ch.グスタボCh,1,Rushia fue divertido directo de [RESIDENT EVIL 7 biohazard] Primer vistazo al episodio final [Uruha Rushia / Hololive] y gracias por traernos estos directos de este juego fue muy bueno de tu parte linda rushia(total nunca podre llegar a jugarlo ni el 8)eres tan hermosa jugando daisukidesu rushia-chan.
UgzsSpWLeUG1aBRc6lF4AaABAg,1622505600,潤羽なおくん,0,"8は大事な分岐のとこは
セーブを上書きせずに新しいセーブデータ作りゃーえーかもね😋"
UgwVF5QINT5pdBoTytt4AaABAg,1622505600,潤羽なおくん,0,"心情的にはゾイルートよね！:_ハート:
ゾイを助けるそーゆーるしあが
ばりかわえーけー:_ハート::_ドクロ::_ハート:"
UgxWal4_iPNW8tspnOV4AaABAg,1622505600,紅茶と蜂蜜,0,1:08:58 2:37:40 2:54:50 2:57:57
UgzA7uSenCqp14HX0N94AaABAg,1622505600,김안주,0,常に頑張っ私を応援するよ！韓国人だが、YouTubeは常に見ている！ルチアから日本語少しずつ学んでいる。もう少し大きければ会話まですることができだろう？(feat.PaPago)
Ugwgpic67aQZwNZsr3V4AaABAg,1622505600,引きこもりのUMA,3,1:31:13　イくっ！！って言ってて　草
UgxgwpOmUqC3zyXpaht4AaABAg,1622505600,katudo2nn,1,"30:06　アランが居ないよ？あら～ん
32:02　はにゃー！はにゃふにゃふにゃ"
UgzEO9E4HHD1-QaCB0d4AaABAg,1622505600,Liu Amber,1,基本的に洞察力足りなすぎ
Ugx35PKY29moWfRFBg14AaABAg,1622505600,烈焰紅茶,0,Peko
UgwZGI27SHhORkPECXl4AaABAg,1622505600,Za Sin,0,Mohon Maaf Lahir Dan Batin Rushia 😳🙏
UgwZlDgZ0PPhaYMAya54AaABAg,1622505600,なおちゃ郎,1,"関係ないんですけど今日はいい夢が見れました！ルシアさんが登場したんですよ！
教室で4列目の前から2番目にルシアさんが座っていて自分は6列目の3番目に座っていました。自分は基本陰キャなんですけど夢の中でなんか陽キャ？みたいでルシアさんに「ルシアは今日も可愛いなぁ〜、ほんとにかわいいー、ねえ聞いてる〜？おーい！最近冷たくなーい？」なんて言ってたらルシアさんが振り返ってくれて「ありがとう！(可愛いに対して)」と笑顔で返されました！自分は「ルシア〜」なんて呼んでルシアさんが振り向いて「なに？」って言って自分は「呼んだだけ😊」と言ってそれに対してルシアさんはプクーってしてました。
これで夢の話は終わりです！久しぶりにいい夢が見れて良かったです。心から一番の推しになりました！以上です！"
UgyBU3gm4PO8SBTULCB4AaABAg,1622505600,アルカード,0,るーしー よく頑張った
UgyxfgOetvGeslxdwml4AaABAg,1622505600,Nightmare UwU,1,Vine de nuevo ;)       :v
UgzuTWcExsyUm2nPm-94AaABAg,1622505600,のの,0,"バイオ7クリアおめでとうございます！
物語の結末としては……でしたね。
でも、るしあちゃんがミアではなくゾイを選んだ理由や心情はとても共感できましたし、とても情に厚い素敵な方なんだなともっと好きになりました。
ゲーマー的にはトゥルーだバッドだで分類されていますが、きっとどちらも正しい選択肢。るしあちゃんの選んだ物語、確かに見届けさせて頂きました

ミアを選んだ先の感想も聞きたいなと思いました！
最後に、続編の配信も楽しみにしてます！！"
UgxvHZknaMFTFDR5FYZ4AaABAg,1622505600,fanta nakanaka,0,"おつるしあでした
幸せは何かを犠牲にしなくては得られないのか…"
UgxVbyLbq0DilFg63ZV4AaABAg,1622505600,Joe Schloe,3,Cute anime girl playing cute anime game let’s see if she does the dlc too!
UgyAhda8LW-iajzIMjJ4AaABAg,1622505600,Haanaa,0,im new subscribe
UgzudxOrB3wwQdCte-x4AaABAg,1622505600,喫茶タチバナの辛味噌パスタ,0,ゾイ編クリアおめでとうございます！ホントはリアタイ視聴したかったけど仕事だったのでアドバイスしたり励ましたり出来なくて、ごめんね………
Ugxeln_Mzp9e_2lVuTh4AaABAg,1622505600,あーもんどげいる,0,"寝ている間にめちゃくちゃ楽しみだった初見バイオ7の配信。
寝なきゃ良かったと後悔してる今日この頃"
