id,timestamp,author,likeCount,text
UgxvMUAmUvGskBqIqid4AaABAg,1646092800,羽原陽介,1,DM動画ありがとう！
UgxvMUAmUvGskBqIqid4AaABAg.9YpfqA9iPFV9ZvcIPl5QJD,1648166400,Pちょ丸,0,詳しく
UgzQUwg4-lhlaQ8t1cl4AaABAg,1627776000,高3男子,0,最近るしあちゃんにハマり、これを見ながらブランチマイニングをし、ようやく10数個手に入れているるしあちゃんを横にダイヤワンスタック手に入れて帰ってた
UgzphvPZ4U4XpYZ7Nk14AaABAg,1617235200,Nai Bdaiwi,1,it kind sucks that i can’t understand japanese
UgwRbutiB9LuyWwrvMt4AaABAg,1617235200,Ruy 01,0,im end the minecraft 7×
UgyaQbelTSQKf84TeCF4AaABAg,1617235200,don’t worry,0,wait why is there a pink haired one and a green haired on the same channel
UgwGM0qGTP9vcNYZv8l4AaABAg,1617235200,Navy,0,I swear chat can't spend 1 whole stream without spamming boing boing or pettan
UgxfQcq-xF-aTW4WwE14AaABAg,1617235200,Diego Eduardo Estrada Medina,3,"Someone else doesnt even knows japanese, but still watchs all of the streams?"
UgxfQcq-xF-aTW4WwE14AaABAg.9DdFm5jvDJJ9FCdRMSlpVk,1617235200,Kristoffer -,0,"Yes👍
Well, not all of the streams but all the Minecraft streams and one or two Fall Guys streams."
Ugw1sh9PSM3E-Aw611J4AaABAg,1617235200,lucifer montiel,1,ここアルゼンチンで抱えている問題を解決した後、日本に戻ります
UgzlVwjyFWux9k9UhwB4AaABAg,1617235200,lucifer montiel,1,私たちが学校に行ったとき、あなたはあの変な女の子だったのを覚えています。
UgwMMco60dHVLtBGxWJ4AaABAg,1617235200,Jonard Carbero,0,I'm your fan from Philippines and I love you videos
UgzfK7_jU0N-iM99y6N4AaABAg,1617235200,King Slime,0,3:41:47 МБ одному сашке пригодится
UgxgKt_z0rotaIdg1nh4AaABAg,1617235200,Jomo,1,"I wasn't able to watch you live, but it's always refreshing to see you enjoy yourself regardless~ Stay strong, Rushia~ As an introvert myself, I've been hesitant to stream myself playing, let alone speak on stream. Now I wanna do this as well, but after I upgrade my laptop.

Fight on, fluffy necromancer~"
UgzBaMBAQn-9B1lfQZl4AaABAg,1617235200,AzureHarume,0,"Otsukare-sama Rushia! You will always be cute, even when you're angry XD
Just know that, a lot of us loves you :D"
UgyJGaAE7aQxSpLncL54AaABAg,1617235200,アンハッピーリフレイン,0,"おつるし✨

ダイヤ💎50個おめでとう🎊

あなたの諦めない心は💎以上に輝くものです😊"
UgzILWLnOdno04DFrGJ4AaABAg,1617235200,Jindrax,5,"Rushia, don't be Sad, i love your smile"
UgzaIAYkyTW9BGKXRu14AaABAg,1617235200,笹本依吹,0,1:13:07
UgwZwo6rMxZy-6r-oOR4AaABAg,1617235200,笹本依吹,0,ボマー捕まえた
Ugza7j4z-wvRBXcuh0V4AaABAg,1617235200,Zach Yu,2,Sorry I just have to delete the previous comment due to some unwanted reply from an upset oversea fan. Just want to keep this fresh and I do still wish for her to play such games like this because It's relaxing and fun for everyone :)
UgwyhLYFTT74N0qHTnZ4AaABAg,1617235200,Syafiq Tajuddin,0,"I am happy because Rushia is happy :D
Everyone is happy <3"
Ugw6NDIo0xYV8MuKtI54AaABAg,1617235200,Patrick Ramos,2,We love you rushia! :o thnx for the stream! <3
UgyPJNFCK8Ie0uNdfZt4AaABAg,1617235200,Gerald GE1,1,Thank you for the fun stream Rushia!!!!
UgzJYCXVl3W_rW7eUrJ4AaABAg,1617235200,Hikaru Ch.- 黒画ね光る,1,"ルシアさん、あなたを怒らせて悲しくさせようとする愚かな人がたくさんいることを知っています。チャットでそれらのコメントを見ることができず、ただ無視します。
あなたは素晴らしく、多くの人に幸せをもたらし、素晴らしい人です。
海外のファンは有毒だと思いますが、私も海外です。あなたに対するそのような無礼は私を緊張させました。
それらを無視してください。 それは難しい ？ あなたの気持ちはわかりませんが、私にとってあなたは重要です。 私だけでなくたくさんの人がいるので、笑顔でバカを無視してストリーミングを続けてください、あなたは私たちの愛するツンデレボーイングボーイングです♡
私が住んでいるブラジルから乾杯、あなたの才能が南アメリカにも届いたのを見て。

P.S.
I do speak Japanese but not much well so i had to use the translator."
