id,timestamp,author,likeCount,text
UgwLO_6P_5MhLlXxSNJ4AaABAg,1648339200,dacksdack,0,このテンションの起伏がメンヘラなのか…
UgzRCE_l_oPdC-hxzm94AaABAg,1648339200,赤木レイア【3分動画】,25,1:40:17　自分用
UgwmZp1j_QjB6AyKMzd4AaABAg,1646092800,TSM_ Bana,0,1:53:25 fbk~~~~~~~~~~~~~~~~
UgzaPzE0jjlgPaGiat54AaABAg,1646092800,Hoàng Anh Ngô,0,"Day 4, still on my way to archive Rushia's video."
Ugz-wrL6Pg89crso0Zp4AaABAg,1646092800,橋爾耶DjoreYeh,1,😢Is that place still there?
UgyTBJB4J_Wp53SMcwx4AaABAg,1646092800,Rasulla Kirana,0,I will miss you...
UgxrhUHmmTW5EXZguS14AaABAg,1635724800,アルバート・ウェスカー🐑🍃,0,めんこちゃん(*´ω｀*)
UgyV2KiFsSOnZzE6iJZ4AaABAg,1630454400,Kasuwa Kumadesu,0,3:48:57 It melts my heart every time. Rushia-chan ichiban kawaii.
UgzwuFrLr97WM3s4htx4AaABAg,1617235200,エクシスト,1,コンちゃんの死を受け入れられない。るしあちゃん可哀想(´；ω；｀)
UgxvCE_-q7cxCeyaTfR4AaABAg,1617235200,seijin【大道具】 JP,1,壮大なドラマが、ここから始まる…
Ugzbfiyu3iTwSpm9oKh4AaABAg,1617235200,Musashi武蔵 M,0,May i ask whats the name of the bgm that is played?
UgwYEMGN32h2h3N6ggJ4AaABAg,1617235200,02,20,2:45:14 かわいい
UgyYZPbpRHbA1FjKJnB4AaABAg,1617235200,N+ ngu =???,0,Hài cực :) nghe giọng dễ thương thật @@
Ugw9DnGFXmhUWp52aKh4AaABAg,1617235200,CrazieGerry,46,"1:53:29 FireFox






ok bye..."
Ugw9DnGFXmhUWp52aKh4AaABAg.9EjvoJD23vU9EnBhD_sKTW,1617235200,Fauna Simp,1,LOL😂
UgzGemuKpN1fVz2x6gt4AaABAg,1617235200,Kentaro Ch.破壊,0,Rushia-san stay strong!!!
UgyLarWTo0ZoddLdl-54AaABAg,1617235200,Rohan !,10,あのキツネは自由の翼を得たんだ…
UgylFsM7p7Q5-hnEQaV4AaABAg,1617235200,Mama virus [MIO VIRUS!!!!!!!],1,RIP KONTA GONE BUT NOT FORGOTTEN
UgwjZq4c-nF_327FCn54AaABAg,1617235200,秀司鄭,1,こんたにかわりたい
UgyRN6uNrPOAfbu01c54AaABAg,1617235200,Jeh Aziel,0,"konta's death

others: ........
memers: subarashi a new meme has been born"
UgzJeCWP4_zO-eUCIJZ4AaABAg,1617235200,KAWIN CHAYAPORN,0,"If talk about game system, how chance that fox will walk and stop on that fire."
UgzVyogumvx5PJlMCMF4AaABAg,1617235200,張李,6,"1:53:27
""Give me liberty, or give me death!"""
UgzfRck-bjDpeycygmZ4AaABAg,1617235200,ジャンヌ・ダルク,2,3:42:07 集まりタイム！
UgzWBesB_Klus8vwHc14AaABAg,1617235200,YukiUmi,3,"1:54:00.     こんなるしあを見ていると心が痛くなります。😢😢😢，見ているのが辛くてたまりません。
直接顔に向かって慰めてあげたかったけど、自分ではできなかったので、悲しい気持ちになりました。😭😭😭"
UgzKzGDm25tra6f_yYV4AaABAg,1617235200,NazFloyd MK Ultra Victim,1,Konta commit oof because Rushia's pettan
UgwPnJE5UoGpZV7nwBl4AaABAg,1617235200,SionNaruse,10,？？？「追い詰められた狐はジャッカルより凶暴だ」
Ugx8lvZH5B0IVV1vCvF4AaABAg,1617235200,むはにたあ,1,"焚き火は結構エグい事件でしたね…。
やはり有名なゲームは指示コメ増えるねぇ。

PCしながら寝落ちしないようにリクライニング機能が無い椅子にしたのに結局寝落ちしてリアタイ逃すなんて一体どう言うことなんですか？"
UgylH_5MEzo52ThaCad4AaABAg,1617235200,柊,0,"会えもしないし触れてもいないのにここまでの感情が湧いて来るのは何故 潤羽るしあに出会い執着しすぎたのが間違いなのかそもそも鬱になってなければ普通に応援できた気がする潤羽るしあの事を自分の中から消したいと考えるそんな夜でした

はい"
UgylH_5MEzo52ThaCad4AaABAg.9EgUeWOgJwL9EuFomKZXEE,1617235200,サノエン,0,大丈夫か
UgylH_5MEzo52ThaCad4AaABAg.9EgUeWOgJwL9FIzqwYHob8,1617235200,オスガキ 🅥,0,消えない黒、マッキー
UgzuXKW4EqYetSKypQd4AaABAg,1617235200,Roy Aguilera,47,"1:53:35 Konta was like a father to me, I loved him like my son..."
UgwdzwAp5FrcYY8xHyh4AaABAg,1617235200,Lux el infernal,50,"OMG! Konta choose suicide than being Rushia's pet!
That bad is having this life? that bad?
Not even Penta were this tragic..."
UgwdzwAp5FrcYY8xHyh4AaABAg.9Eg6Zwlo1Hd9EhD_ZydVxt,1617235200,Ivan Nite,1,Lol hahahhaha
Ugx-2vOQFGmCJvAqaFd4AaABAg,1617235200,Morales モラレスCarlos カルロス,4,コンタさんとの素晴らしい乗り心地はとても楽しかったです。 また、多くの資料のコレクションから。 コンタさん、ごめんなさい。みんなにとってとても悲しい死でした。彼の記憶は、良い戦士であり、何千人もの人々に喜びを与えただけでなく、ルシアさんにもっと愛と愛情を与えたので、決して忘れられません。 さようならコンタさん。 幸せな夜をお過ごしくださいルシアさん 😭😭🌃
