id,timestamp,author,likeCount,text
Ugw-a5OFOTrHAQZjAEx4AaABAg,1648512000,mogumogu,0,😭
UgzxvYJ3CKq7Vm9lBD14AaABAg,1646956800,- Kirby-tan,3,"これがvtuberを知った動画でした。
いなくなって悲しいです😭"
UgzxvYJ3CKq7Vm9lBD14AaABAg.9ZBRKntN4xi9ZU1XfojM2M,1647561600,タシュー,1,私も。。
Ugy8dHlJ6HuPExbCKap4AaABAg,1646092800,あくえりじけん,2,るぅちゃん
UgwUa6-1dmuCUSAa7wl4AaABAg,1646092800,りある,2,るぅちゃん
UgwaGwdeUw5ujqtT51F4AaABAg,1646092800,姓　名,1,16：30馬じゃなくてロバじゃない？それ
UgzODRgexTsZwrrKXrJ4AaABAg,1630454400,ねねね,0,21:41自分用
UgzeUvi9_NkfrFagMJV4AaABAg,1625097600,Gustavo Ch.グスタボCh,0,Rushia fue genial directo de [Minecraft] ¡Prefectura del Conejo! ¡Trabaja por primera vez! !! !! [Uruha Rushia/Hololive] y es muy genial verte tan feliz rushia jugando minecraft para mejorar el servidor de hololive JP esta quedando una hermosa ciudad con esos asombrosos edificios aparte de los monumentos importantes son tan geniales linda rushia.
UgwOk9gK24I6M9GOHHx4AaABAg,1625097600,タシュー,3,1:06:17 「誰だお前」ホリミヤの参照ｗｗ
UgxcbevUwZXTzUws6e14AaABAg,1625097600,タシュー,0,47:07 ;( グッドバイ、ゾンビさん。
UgyeXCOCOPO-FVwj5U54AaABAg,1625097600,タシュー,1,40:18　「ニャーニャー、かわいい」🧡　るしあも可愛い～
UgygLlckxhnrNK58BYt4AaABAg,1625097600,Pinis Chaldea security Organization D.R,0,めちゃくちゃ いしてる。
Ugzl1jYyR73RdrUhVHZ4AaABAg,1622505600,ああ,0,デスRTAマジで草
Ugw4x7S1xk1DmFdgKFx4AaABAg,1622505600,INKK,1,大好きでするしあちゃん
Ugz9kG-ne7GDDPamGWl4AaABAg,1622505600,大伴家持,0,3:35  スタート
UgwHn69tvATkG93RUbV4AaABAg,1622505600,さむいふゆ,0,サムネ可愛すぎか
UgzcPnBne-MeEbldTEF4AaABAg,1622505600,coo1instar,0,どうぞお大事に。
UgyM3kdYveTwhaxvCJ14AaABAg,1622505600,雪,2,切り抜きから来た人へ19:20
Ugy29a5iE0txmWMvldZ4AaABAg,1622505600,Young,0,22:59 23:55 47:00
Ugyi5B36IyCL8W1fcZ54AaABAg,1622505600,Celine Lim,3,russiaのカバーが可愛すぎて、pekoraの服を着てるから可愛く見える！
UgzpOtu1l9p1pMbhxcN4AaABAg,1622505600,ホロ外部なぞなぞ仮面,1,本職、助かる。へへ…
Ugz7tQFYm4tJTf3Qgmt4AaABAg,1622505600,Văn Đệ official,0,vietnam🇻🇳 love you
Ugw0C1-X2lc3z-rCR-t4AaABAg,1622505600,Monster Tokusatsu,0,"I want your Tamaki, give me Tamaki now :V"
UgxUDuH-qzrSjqojQSV4AaABAg,1622505600,つなざわ,0,兎田 健太郎、略してうさ建
UgxZCvPEYgoMmVEhw5R4AaABAg,1622505600,ヒスイ,1,ポルカが見聞色使ったところ笑いすぎて顎外れましたw
UgxZCvPEYgoMmVEhw5R4AaABAg.9NdMM0c6fES9Ndfdgj-cuv,1622505600,うんkちゃんが大好きな高一,0,顎外れすぎて加藤純一の放送見てた
UgztXJtmqk1VxEow4nx4AaABAg,1622505600,煉夜,0,見れてなかった
UgyaYIOnldTQAogu7st4AaABAg,1622505600,donaco.どな子,1,"初仕事おつるしでした。
完成おめでとう御座います。"
Ugy1-_OsThp6MytQjKR4AaABAg,1622505600,shinya nakagawa,11,"It's bad that she had a headache at the end because 2 minutes after she logged out from MC, Pekora finished building an annex for her in Pekoland Castle and was about to call her."
Ugz03Vy_Zm93b-39MiF4AaABAg,1622505600,※人を食べますくだものちゃん,2,落下最高でした、乙かれ様です
Ugww3Oryx-2-6Vtr1BN4AaABAg,1622505600,power8888 power,5,"Rushia finally did some necromancer things, I'm touched."
Ugxy0nucOOn8TGVgsX94AaABAg,1622505600,ひよこのひよ🎣,2,"人をトロッコに乗せるのがグダグダだったのに、壁で囲み監禁スタイルにした瞬間、すんなり乗せられた辺りるしあさんだなぁ～と思った。


特に深い意味はないですけど『壁』と『監禁』かぁ‥‥‥"
UgxJJrB0VEKvdiFG91l4AaABAg,1622505600,R4y re1,5,"おつるし！

ベッドは設置しても村人が寝るだけで、夜はベッドがあろうがなかろうが仕事はしないので設置する必要はないかな
トラップドアのところは通路として認識されちゃってるから、そこから出入りしたいならフェンスゲートとかにすると良いかも
あと天井を塞がないと低確率とはいえ村人がウィッチになってしまう可能性があるので注意"
UgxcvoogUv8-Zj867At4AaABAg,1622505600,とらたぬ,4,"配信お疲れ様～
ゾンビから回復させた村人は、激安でモノ売ってくれるので、就職させるとお得です。
村人欲しいときは、ぺこらんどのKFCで子供産ませて、壁下1ブロック壊してベッドかパン持って外に誘導するといいですよ
夜間だとベッドを外に接地すれば勝手に出てきます。
ぺこらんどから出すときは、ハサミで葉っぱ壁壊して出しましょう。
紫のタワーはバージョンが1.16になったとき上階の村人固定器が壊れたため、現在使われてません。(この辺チャットが混乱してたので一応)
タワー1階にいた村人は、ぺこらが以前ぺこら交易近くでさまよってた村人を閉じ込めていたものなので、一度話しておいた方がええかもね。"
Ugxax-8cTduPzyUp-JF4AaABAg,1622505600,🌙赤月雪人⛄️,1,"おつサイ
:_おつるしのお::_おつるしのつ:"
UgzCGnZYRIAxbS7C1zJ4AaABAg,1622505600,バタモン╰ お兄ちゃん,2,"初仕事お疲れ様だよ～
なんとか完成できてよかった
今日もありがと～、ゆっくり休んでね～"
UgwWFJxm1GQlB7ullD14AaABAg,1622505600,たんたん🛸💜,1,"初お仕事おつるし〜
完成おめでとう🎉🎉"
UgyQ6jXFkWhwVPzpFRF4AaABAg,1622505600,バルス「優」Yu,2,"雷落ちても大丈夫かな？
屋根ないけど…"
UgzsMdu9GZPFyly5GDN4AaABAg,1622505600,LHT.,1,お疲れ様でした
UgyDtOl9pwCqmv-ET2R4AaABAg,1622505600,おにぎり,4,1:33:12 ここホント好きかわいすぎ
UgyDtOl9pwCqmv-ET2R4AaABAg.9NblMnXAm8R9Nd9XBpW6Yz,1622505600,-T VENGE_兔沮,0,Let’s goooooooo
Ugx8gjCpj3NgEKcjYDB4AaABAg,1622505600,-구베-,1,루시아는 왜 인기가 별로 없냐 일본어써서 그런가 존나 슬프네
UgxkjMyVIMIitVHELOZ4AaABAg,1622505600,ろいろい,5,無事完成できて何より！　きょうはゆっくり休んでね
Ugz70M3Dj3tF_8qpdDx4AaABAg,1622505600,[],1,サムネ、夢盛りですね
Ugz7Zd72vWtQIGd-m9N4AaABAg,1622505600,ぴょまえのジーニョ,2,素晴らしい
UgwfsQ78u7CZkWdoJy54AaABAg,1622505600,Sola Fate,1,アニメ化おめでとう
UgwVti0VdM2fvwhuiDt4AaABAg,1622505600,jason蕭,1,:_大泣き:ヽ(･ω･ )
Ugxe2KPs6q8NjU7Rw9R4AaABAg,1622505600,탕수육이좋아,0,Gonbangwa
Ugzd01FdtOAaI2K6CUJ4AaABAg,1622505600,Vyse,2,"Thank you for the fun time Rushia it was really fun to watch you try and capture zombies and villagers, and trying your best to make the villagers listen to you. I love watching build too it's very interesting. Everything in this stream was cute and adorable. You did very good today! Nice job!!:_るんるん::_ハート:
See you next time and rest well, Rushia."
UgxmFmWH30B55bihHkN4AaABAg,1622505600,うすみどり,2,"うさ建初仕事おつるし〜！
困難なこと続きだったけれど、最後は無事完成させることができたね！さするし！
るしあちゃんの働きぶりとても立派だったよん！
長時間労働お疲れさまだぁ🍺"
Ugx1cAc91bpXECxKeSx4AaABAg,1622505600,トレバーフィリップス,1,るしあちゃんこんばんは。今日もライブ配信長時間まで本当にお疲れ様です､今日もとっても楽しいライブ配信をありがとうございました、次回のライブ配信も楽しみにしてますので必ず見に行きます。､開催期間まで待機してお待ちしております。😊😊、🤗🤗
UgwY6dt8HLXVC5r2Ywd4AaABAg,1622505600,誰かの分身,1,"るしあちゃん、今日はめっちゃ頑張ったね！
自分も含めて、ふぁんでっどさんはご飯を作ってあげればいいのに:_あせり:
改めて無事に完成おめでとう！今日も楽しい時間を過ごせて嬉しいな！ありがとう！
ご飯食べてゆっくり休んでね！:_きゅん:"
UgzB2lWNB2biAYZmJGN4AaABAg,1622505600,YT C,7,"Take your time Rushia-chan, headache is pain indeed:_きゅん::_るんるん::_きゅん:"
UgxF1QuAe9alk3pIWnp4AaABAg,1622505600,Sharky Gawrrr,7,"Never expected Rushia to start working on human experience after she joined UsaKen, guess this is what happens when you join UsaKen XD."
UgxhhXmEMTiHlXchLkJ4AaABAg,1622505600,厚切りポテチ,7,"鳩ではないけどオルタナティブのMVを見た後に”オルタ参戦おめでとう！”コメントを流れぶった切って書いたことを後悔しました…
配信の流れを何も汲まずにMVを見た熱量を持ち込むのは良くなかった、ごめんねるしあちゃん"
UgzfvIZIu442m7BYE6Z4AaABAg,1622505600,KON,0,Bye bye~~:_きゅん:
UgwFZT9LhK-P5gHh7cJ4AaABAg,1622505600,岩本りかこ,6,"おつるし！あんまり見れなかったのでアーカイブを見ます！！サムネかわいい！
ーーーーーーーーーーーーーーーーー
Thumbnails are cute
I didn't see much, I see the archive!I'm sorry not good at English."
UgwvFmyvaMrxJ62xCvB4AaABAg,1622505600,るの足置きJONATHAN,1,"おつるし(*っ･з･)ﾉ
完成したかな？全部見れなかったから、明日アーカイブで会いに行くね:_あせり:"
UgyEHGJZB8P9gRxgUaN4AaABAg,1622505600,ディアウスピター(ФωФ),0,えっとお疲れ様‼️‼️
Ugz003yExfDWOd2Spop4AaABAg,1622505600,イルミナ,3,"おつるしー！初陣がんばったね！
あんまり見られなかったけどアーカイブ見させていただきます！
鳩問題は…うーん、こればっかりはリスナーが何とかするしかないからなぁ
体調お大事に！ゆっくり休んでね～🦋"
Ugz_ZY-6EtZBjk7RKyd4AaABAg,1622505600,ジッパー壊れた,19,"サムネよく見たら、ぺこらの服でも胸がぺこぺ……

って思ったことを今でもあの世で後悔してます。"
Ugz1uXi7VR1Y0qtCHfJ4AaABAg,1622505600,蒲焼さん太郎,2,"色々トラブルがあったけど、初仕事無事に終わってよかった！
自動畑完成おめでとう！"
UgzTl8GJeQrjN0_NLnN4AaABAg,1622505600,島咲空,2,体調あんまり良くないのに配信頑張ってくれてありがとうね
Ugwqlc_S0zjROdPGy1N4AaABAg,1622505600,ぜりー,4,"うさ建社員としての初仕事おつるし！
初めての事で苦戦しながらも、しっかり完成させたるしあちゃん凄い！:_きゅん:
色々と疲れただろうから、今日はゆっくり休んでくださいな～:_あせり:"
Ugzw0Qu_Gps2DkOEmqB4AaABAg,1622505600,まお,1,"完成おめでとう！！
初出勤でこの仕事はさするし！"
