id,timestamp,author,likeCount,text
UgyZtzGQW0aCMfypPdJ4AaABAg,1648684800,Pertaru 187,0,Good work and good bye this will be the last time I hear and see you outro :(. Good luck for the future.
Ugz-UpPo34PfBcmF6WJ4AaABAg,1646092800,ウランルテニウム,2,ここで出会った
UgzZE43UAOMk0JNis4p4AaABAg,1646092800,中澤,0,ゲームについて熱く語った後にワープで手のひらドリルするの好き
UgzBTrGIyLaXzambMbh4AaABAg,1617235200,操り人形,0,30:30 ？？？｢おいおいおいおい｣
UgzyO1V-xc9Md0ZU7dp4AaABAg,1617235200,12月31日,0,神るし(*｀▽´*)
UgwTv3-6YMBUW0TqtgR4AaABAg,1617235200,Keine Ch. 和白宅けいね,0,"32:27
トンカチ？いやハンマー
いやいやちがう斧
ハンマーブロスは斧使いの名人らしいからねあれは斧だよきっと"
UgxPlgZihx8Z7l_waOZ4AaABAg,1617235200,Wyle_kun,4,Rushia's English is so cute!
UgyD5brBFK5vmRMtE9t4AaABAg,1617235200,著作権侵害の京町涼子,1,1up🍄が画面外に消えてからの待ち時間が寂しそう・・・^^:
Ugz_KBogCD1roJURLo54AaABAg,1617235200,西住ボコ,30,1:37:13 お母さんから電話かかってきて草
UgzxLpBoPvAkjv1oojh4AaABAg,1617235200,DatRaph,3,"Wish the fandead didn't spoil the warps and let her experience the game for the first time on her own, but still very proud of Rushia-sama for beating the game twice on the same stream."
UgzKtFCMH-FLv_RTADN4AaABAg,1617235200,Israel Canales,5,"Y PAM ! Comentario en español 
Pd: I love You rushia"
UgzKtFCMH-FLv_RTADN4AaABAg.9EIdxSiBdrN9EKKqysuQeo,1617235200,Freddy,1,"Inesperado
Pd 2: I love Rushia too!"
UgzKtFCMH-FLv_RTADN4AaABAg.9EIdxSiBdrN9GPxXGUQ8e_,1617235200,Nexcell Pride,0,"No son los únicos ustedes. También hablo español, pero normalmente hablo inglés intermedio para estar en el stream al lado de Rushia y los fandeads. 😉"
Ugwdx_Zcanapb3VjwYB4AaABAg,1617235200,びびたんむむ,0,"最近暴言言えばいいと思ってるのかな？
俺は全肯定信者じゃないから暴言聞いてるの正直不快
る！はマリオ向いてないからやめてくれ頼むわ"
UgzEbD5hSrmDDjqvBV14AaABAg,1617235200,Emmanuel PEREZ,0,Te falto sacar las 99 vidas con las tortugas voladoras
UgxDFMQ_vn_OA6427yV4AaABAg,1617235200,Jaren Wang,3,"1:26:35: Begins singing Kyary Pamyu Pamyu's PONPONPON.

Grabs invincibility star

Rushia: ...PONPONPONWAYPONPONPONWAYWAYPONPONPONPONWAYWAYWAYPONPON..."
UgwzxXzmdXV_Qw87tN14AaABAg,1617235200,イベリコ,4,"57:28
自分用"
Ugw1RHWT7mVAtnMS0s94AaABAg,1617235200,よしみ💍💭,0,"おつるしー🦋
神プレイだったね〜"
UgxP3-ABeJphFYCm8kR4AaABAg,1617235200,Nyein Chan Aung,1,Good to see her happy. She was pretty frustrated yesterday 😅
UgxaKdtHNlvv_6aNyAR4AaABAg,1617235200,Nexcell Pride,5,"Another epic stream, and full of memories... A super classic played by the most beautiful necromancer princess. :_きゅん::_ハート:

Memorable highlights:

1:12:45 After defeating Hanma Brother, Rushia-hime went crazy and laughed a lot, even after defeating King Koopa.

1:13:23 Rushia-hime reads the Epilogue... Well... Definitively is english and not these ""Dark Souls"" stream's engrish. Rushia's english skill was improved again. 

2:04:39 In hard mode... Rushia-hime completed again the game... And again starts laughing maniacally. 

2:04:48 Rushia again read the english epilogue, but until ""Push Button B""

And she ended game twice, first in normal mode and later in hard mode... :_ちょうちょ:

And about the form to defeat 8-4 King Koopa (Or Bowser on overseas) passing from below... The same tactic I made when passed 1-4 for first time despite the platform at top... :_サイリウム碧::_サイリウム紫:

But also, Rushia at least had more patience to defeat strong enemies as Hanma Bros. (Hammer Brothers) with stomping instead passing them from top or below."
Ugzi2uxN1nl9r7f9xkl4AaABAg,1617235200,Morales モラレスCarlos カルロス,2,そのレベルを通過するのは簡単ではなかったに違いないと思います。 もちろん、それは古いビデオゲームであり、古いゲームは印象的な難しさを持っているので。 しかし、練習すればそれをマスターすることができます。 このゲームに勝つために全力を尽くしてください。 あなたはこのゲームに勝つことができると確信しています。 まだあきらめないでください。 よく休む 👌👌🎆🎊🎆🎉🎆🌃🌃😉😉
Ugzi2uxN1nl9r7f9xkl4AaABAg.9EHTyyBNjpR9EJdQg-55b9,1617235200,ソラリク,2,"だいたいの事は伝わりましたよー
( 報告のみ )"
Ugzi2uxN1nl9r7f9xkl4AaABAg.9EHTyyBNjpR9ELOPfH1KI6,1617235200,おぜうさま,0,？
Ugwm6SmZ5Vz7-IIaRNR4AaABAg,1617235200,香風智乃,1,2:19:23
UgxDLPVuXQXuSZGf4zp4AaABAg,1617235200,Raiden,3,16:40 her laugh when she found the second warp zone hahaha
Ugxh0H9e7_Zfh7Nbwbt4AaABAg,1617235200,athleticMC,1,29:50 69... Nice
UgxBHl8gV8w-0cC1LAx4AaABAg,1617235200,離陸でりくりく,0,本動画に関係ないかもしれないけど、スパチャ1億円おめでとぅ！！！
Ugx92jyTNGhDzxpQqzx4AaABAg,1617235200,The King of Antarctica,1,"This stream was too adorable. Then again, all of Rushia's streams are adorable."
UgxqXKcFOfClGLDncMB4AaABAg,1617235200,赤ヘルサガン,0,マリオはおもろいねｗ
Ugwi5vB-e3n0ABwTc5J4AaABAg,1617235200,ぺったんDMP,23,初コメント！これからも頑張ってね！
UgyA0EDHGxBbZkIozTl4AaABAg,1617235200,GravityHurts,12,Ngl I really love the nostalgia that this game gives. Add that to Rushia streaming it and it's a game stream perfection for me ❤
UgyA0EDHGxBbZkIozTl4AaABAg.9EGkEmMUwQM9EHWb4hcPuc,1617235200,Nexcell Pride,0,"I Agree with you: ""A great classic played by a beautiful necromancer princess"" :_きゅん:"
UgyuCrQOHYqDCXAuFIF4AaABAg,1617235200,うより,4,"10:22
実はかなり深い事を言ってるの素敵
プログラマの:_ふぁんちゃん:はきっと感涙してる

…からの、13:40
この流れほんと素敵
美しさすらある:_きゅん:"
Ugyz8CaPy8Jeo7Ynfih4AaABAg,1617235200,Chizero Yasuragi,9,2:52 start
Ugy_qdzPqF2Bc1gWprJ4AaABAg,1617235200,antonio capillo,1,Congratulations!
UgzcGzIpezantrUdo454AaABAg,1617235200,蔵前圭,0,"1:11:33 
机「……」"
