id,timestamp,author,likeCount,text
UgwEmDyjcp-6rbSASJB4AaABAg,1648717200,パルン,0,るしあありがとう
UgyyUzbzGdBUYxaunkh4AaABAg,1646092800,い。,0,るしあ...
Ugy7XYVW-F9hn7gi3NV4AaABAg,1638316800,ワラソティス,2,みんなの島に行って楽しそうに走り回ってるの可愛くて面白いｗ
UgzyXDSTb-Iktl_d8xt4AaABAg,1630454400,ぜりー,0,"サイン書いてるるしあちゃんかわいー:_きゅん:
みんな素敵な島ばっかりで、るしあちゃんの反応もめっちゃ良くてかわいかった！
最後自分で仕掛けた落とし穴に落ちるのも笑ったｗ"
UgwY24QadvvtAh1PVmF4AaABAg,1617235200,Kliff,1,"1:35:34 ngl this part right here was especially why i was hoping this would be unprivated :""D"
UgyHecv2fC0o-ypJONR4AaABAg,1617235200,鍾正祥,0,"自分用
13:01

13:30"
UgzsyJZEcr_8fzToZut4AaABAg,1617235200,Yuu,1,13:32
UgxMftuvaZk_fk22twF4AaABAg,1617235200,el_kappador,18,I wish to speak Japanese just to watch this
Ugw9sokdX-YGnl3wL_t4AaABAg,1617235200,Hikku Rikku,2,I know we love these girls but I wanted to see more ax murder chase scene chasing them off the island :3 the first guy was great but Rushia crashed >:{
Ugy2AxYJNG8JKzrNGhh4AaABAg,1617235200,私は不審者です,8,16:29　可愛い。
UgxPPZbzM-dIxSg2DSJ4AaABAg,1617235200,益田智史,0,るしあかわゆす
UgyQOYO4ZLVQQFtQdkx4AaABAg,1617235200,ちぇーんじんじん,8,"13:32
自分用"
Ugy1nnIYK0sGEC9YdE94AaABAg,1617235200,バルシャーク,1,"47:42      特別ゲスト登場

1:03:04   特別ゲスト退場





特別ゲストのマウスカーソル君"
UgyVq13bO27lxVpVRAl4AaABAg,1617235200,ラブカント,0,ムキムキになったらお胸はないなりません。むしろ筋肥大して大きくなります
UgxlmLicCcA5NKqp6El4AaABAg,1617235200,名無しのホームレス,0,スバルんとことプレゼントの差がえぐくて草
UgyHLnLIkJkPcZUR-3B4AaABAg,1617235200,クロタカ,5,"すごく楽しそうにはしゃぐし、感情豊かで可愛いなぁ。
るしあちゃんが可愛くてずっとにやにやしちゃう…"
UgxBpzjTs0hyeNrSBgd4AaABAg,1617235200,rorokyo123,38,"おにがしま　のものです。
クソ雑魚回線のせいで落ちちゃってホントごめんなさい。。。サイン欲しかったぁ泣　Twitterでも言ってるけど最初に意味深に渡した白いチューリップの花言葉は、　失われた愛　です。"
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c9970W5b3kHr8,1617235200,3 5,11,失われた回線で草
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c9970hSsS6Edr,1617235200,rorokyo123,4,ふぃる そんな世界線（回線）もありかなと。。。ごめんなさい笑
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c99712dQueRBk,1617235200,3 5,1,rorokyo123 いやめちゃくちゃ好きですよ笑
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c9971E8LOBryr,1617235200,rorokyo123,0,ふぃる リスナー同士もあったけぇな笑最高ですね。
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c9973QpiCSgce,1617235200,defi man,1,rorokyo123 リアタイで見てましたけど、ナイス演出←でした！w
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c9973cmjTolGn,1617235200,rorokyo123,0,defi man 嬉しいです！ありがとうございます😭😭
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c997QQ6Ahuzks,1617235200,rorokyo123,0,はぐれメタル Undertaleすごく感動しますよね。。完全にもったいないお言葉です笑笑ありがとうございます😊
UgxBpzjTs0hyeNrSBgd4AaABAg.97-jCrlr4c997QQWoOqdu8,1617235200,rorokyo123,0,ちなみに、マシュマロで送った文は、クリスチーヌより（うさぎの住人）と書いてあって地下の部屋にあった服（熊の後ろ）は、うさぎのふく、という名前なんですよねー。クリスチーヌに恋をして〇してしまった主人公を描いてみましたとさ。
UgxngHyoW_OfPmLWiO54AaABAg,1617235200,Clem CJ,25,watching Rushia always puts smile on my face.
UgxwBOrkmywxlzKxHvF4AaABAg,1617235200,Roadway Cat 旅にする猫,29,"A necromancer that's afraid of scary things is new to me.
Locked in the basement lmao."
Ugxnnw8i8Ox0z4LyGyR4AaABAg,1617235200,ぬくりあ.,2,ファンと交流ができる貴重な機会だからやっぱりテンション高めだねえ…見てて可愛いし、こっちも元気になる…🥳
