id,timestamp,author,likeCount,text
Ugz_BCbqOLtnINahjER4AaABAg,1625097600,夜木爾玖焼肉屋ヤキニクYKNKY,1,1:53:18
Ugzftaq3tZswBV_R29B4AaABAg,1622505600,Fake Story,1,56:00 villager making loves
UgxrvMUNckfpCPt5YNF4AaABAg,1622505600,S O F I A,1,hola hablo español y no entiendo muy bien el japonés XD
Ugzhm1z7xOPpJPjcWBh4AaABAg,1622505600,Gustavo Ch.グスタボCh,0,Rushia excelente directo de [Minecraft] Marco para disfrutar del parque de atracciones [Uruha Rushia/Hololive] y vaya un paseo tranquilo por un parque de diversiones luego llega a un mundo oscuro lleno de monstruos que solo quiere sobrevivir y escapar de ese lugar pero terminas muriendo o no.
Ugy4GUzXZK-oPft9Z8l4AaABAg,1619827200,lqfr88,0,"anyone can tell me where was the time stamp when reine greets ""hello"" ?"
Ugzq_RYYKZJbgc5l-aJ4AaABAg,1619827200,SunFlower,0,Hi Baby~ joke that is kind of creepy
UgxImKFtPISnwUPKVo94AaABAg,1619827200,호쇼해적단선원랄로,2,한국인 손
UgxImKFtPISnwUPKVo94AaABAg.9MdNegJVY-P9N4xNJMlSYn,1622505600,Genesis,0,ㅅ
UgxImKFtPISnwUPKVo94AaABAg.9MdNegJVY-P9N4xO8MJTA3,1622505600,Genesis,0,ㆍ
UgxImKFtPISnwUPKVo94AaABAg.9MdNegJVY-P9N4xOUZ-WjP,1622505600,Genesis,0,ㄴ
UgxcgygB53ok4of-w-Z4AaABAg,1619827200,Leela,3,lmaooooo when the villagers had a baby in front of her hahaha
UgyJ5QLwGMjS25sxuYp4AaABAg,1619827200,Sadiwan :v,0,Subarashi❤❤❤
UgzCCz-1rezjKyi7xxx4AaABAg,1619827200,Aglherm,1,スタート　5:16
UgwKjiWAa4NgWkEX0j14AaABAg,1619827200,윤윤제,0,Love you
UgxXI2eG-47gUD_8CpR4AaABAg,1619827200,반짝이는눈물은별이되어,0,Haha so cute
Ugz3jqHLOdmluyuoDCF4AaABAg,1619827200,ギラがら,0,かわええ
UgwUgzNpzbHz0U29R7V4AaABAg,1619827200,チーズさくらもち,0,かわいい
Ugz4qNe4kslmOdpRYa94AaABAg,1619827200,通りすがりのぴぴひつじ,0,"いつタイトル変えたのかｗｗ
まぁ...遊園地デート楽しいけど"
UgyVCtGSBtP6yHIJ76t4AaABAg,1619827200,愛佳【まなか】,0,:_大泣き::_大泣き::_大泣き::_るしあのあ::_るしあのあ::_るしあのあ::_るしあのあ:
UgzCmJNTeqpxMy2TguJ4AaABAg,1619827200,앙받아라탈모빔,0,"放送で突然韓国語を使用して放送の雰囲気を台無しにする人がいる場合には、すぐに永久遮断するのが効果的です。
一般的な韓国人はあのように行動しません。
ほとんどは悪意を持ってする行為であるため、強力に対応することが最善の方法です"
UgyZINaWwGiCqhkksbB4AaABAg,1619827200,앙받아라탈모빔,0,下でテロする人は過激派であり、嫌気団体の人です、同じ韓国人として非常に残念に思っています高速遮断されることをお勧めします
UgwvbKb6buP26C7ut-N4AaABAg,1619827200,대천사 루시아,0,good!!
UgwvbKb6buP26C7ut-N4AaABAg.9MWuPSQtY-U9N4xRH4-K6m,1622505600,Genesis,0,? 닉에서 부터 팬심이 ㄷㄷ
UgxC98N-H5hOGdsS7nR4AaABAg,1619827200,らららいぶ,0,目の前で子供作られてて草
UgwuY-oNdnGwrx1cqJ54AaABAg,1619827200,Juice Jamo,0,"Rushia I like you.
May god bless you ..."
UgxCyEMJpXOV65_MWPV4AaABAg,1619827200,たんたん🛸💜,0,"るしあちゃんおつるし〜
マイクラデート楽しかったよ！
ありがとうね😊"
UgxCrW3yAHaKr9gxmEx4AaABAg,1619827200,케로로행보관,1,YouTubeのおすすめで見ました。 本当に声が可愛いし動画が面白いです。
Ugx61TB6JWdOePIeAGZ4AaABAg,1619827200,ねこもち,0,5:10から
UgxCv7WTk_b4C1og_rx4AaABAg,1619827200,yama san,5,45:45 むむむのむ
UgyxZHVAEXNb5xLhm714AaABAg,1619827200,노펀지밥,2,노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현
UgyyjXdAuciZihFNc0t4AaABAg,1619827200,노펀지밥,3,노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현노무현
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MX5wZvDAQM,1619827200,멍누리,0, @ST🌀RM   sorry...
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MX9-WGH4Li,1619827200,NiGHT- Night-night,0,"I don't know what to say, but I know this means bad. Actually, it’s more serious."
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MX9Mfa49tJ,1619827200,NiGHT- Night-night,1, @ST🌀RM  I'm with you on that.
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MXAD5fAOvs,1619827200,ST🌀RM,0, @NiGHT- Night-night  Please report this.
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MXBPIfRXCu,1619827200,앙받아라탈모빔,1," @NiGHT- Night-night  That person belongs to an extremist who has serious problems in Korea. As a person from the same country, I am very sorry, but I hope that this does not cause prejudice in Koreans.
We will do our best to prevent this from happening in the future. Sorry and thank you"
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MXMtVk9lbu,1619827200,Che lly,1," @ST🌀RM  That's a word that's not supposed to be used in Korea, and in the extreme, it's like talking about Nazis in Europe and If a person says that word in Korea, he or she is treated like trash."
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MXbcYEON7x,1619827200,앙받아라탈모빔,1," @Che lly  That's a bit too far, and if you compare it, it's true that it's closer to the ku klux klan, which has become much weaker in the present age and closer to the simple far right group than the Nazis."
UgyyjXdAuciZihFNc0t4AaABAg.9MVtH82JRvD9MZ5IJN_uFz,1619827200,B A,0,He is crazy gay just ignore and report
