id,timestamp,author,likeCount,text
UgytbaELVLzwpff2_ah4AaABAg,1646092800,奇しき赫耀のバルファルク,0,戻ってきてほしい
Ugzq2AMOQVJahBZSBKd4AaABAg,1630454400,ゆー りつ,0,4:09:02
Ugzts-ZVQD2oi7bjDeh4AaABAg,1627776000,moryun,2,"1:38:31 You've been blessed.
2:33:07 You've been blessed v2"
Ugzts-ZVQD2oi7bjDeh4AaABAg.9Pdp1qNyo_z9PiuPdBGRei,1627776000,khylegabriel tresvalles,2,1:03:04
Ugzts-ZVQD2oi7bjDeh4AaABAg.9Pdp1qNyo_z9Pj3O0KKN5c,1627776000,moryun,0, @khylegabriel tresvalles  best one by far
UgxdEKOtExOuPFhPvGx4AaABAg,1619827200,サルサ,0,頼むからしっかりとした専門医がいる精神科でみてもらってくれ。不眠は精神疾患の典型的な初期症状だからここで無理したら確実にうつ病を発症するし本当に命に関わるからね。精神疾患は脳の病だから脳が危険な状態にあるって認識をしっかりもっておくれ。
UgzTvoApJUKfqNuXmsV4AaABAg,1619827200,Ni Oxx,1,"Rushia, I hope you feel better soon!  Ganbare!"
UgzrNnY9UIaFP53rxeB4AaABAg,1619827200,友紀尾張,0,"ゲーム配信って実は疲れるんだよね😅
その疲れが蓄積すると体にやっぱり効く
お大事にして､るしあ"
Ugwp5Dwdw8EFiWGOJWN4AaABAg,1619827200,うえだだch.,0,サムネスコッティさんの絵だ！(多分)
UgwMpAozc-P176KcjYl4AaABAg,1619827200,rohitaug,2,"Get well soon, and take as much rest as you need. We'll be waiting for you."
UgxC6GD1vUcCbQJxdex4AaABAg,1619827200,imoken P,0,"おつるし！
無理しないで体調が良くなったらまた配信頑張ってね！！"
UgwDWeQQTlEiuKFmUrN4AaABAg,1619827200,Alistair Williams,3,"Get well soon, Rushia 👍
Please say ""Hi"" to Usako for us 😁"
UgyrO3Kaeq7SJ2mJlGJ4AaABAg,1619827200,Jack Spawroow,0,You might be wondering everyone rushia said she's in bad health right now so I think she needs to rest I heard it when she talks about it in this stream so rushia don't force yourself and always keep your health first love you rushia💖💖💖💖💖💖
Ugx-6roE13vFoQSjupR4AaABAg,1619827200,ざわ,0,"朝早いからと思って途中で抜けて、朝起きてからスパチャおれいタイム見たら連呼してくれてて、うあああってなりましたありがとう〜!!おかげでＧＷ前最後の出勤がんばれたよ!!:_ハート::_きゅん:
いつも元気をくれてありがとう〜!!"
UgzQRjvF9xzNUFKAu0B4AaABAg,1619827200,Dace,2,Look after yourself Rushia! I hope you feel better soon
Ugx_yNDvrlDcZs_R7Z54AaABAg,1619827200,Another,0,アイドルになる前にあなたは女性なので、まずは自分のことを気にかけてください！
UgyL6qxLyEFpYoLzIU14AaABAg,1619827200,Ahmed Mustafa,0,Hope you get a speedy recovery....
UgyA63YhBY1a-5f0RaN4AaABAg,1619827200,はるはる,0,Take care!
UgzumKoYTApMgEmIc2x4AaABAg,1619827200,Nexcell Pride,1,"A memorable stream...
Also... The thumbnail... That dress... It would be a good idea for Yasuyuki-sensei, but... Forget the idea...
She looks so beautiful. :_ちょうちょ: :_るんるん:

And battles were too harder against that dragon... Many tails got cut... :_ドクロ:

At ending of normal stream, Rushia made henshin various times... Her first hairstyle with pink-purple color is already there, but Piyoko was abscent at that status.
Also glasses were available too... :_るんるん:
Personally talking, it ended with a Resistance test for me (Yandere mode) :_やんでれ:
Supaachaato Orei Time was too long, between Supacha reading and also Zatsudan... But the best part was the Part C, totally necessary for everyone who watch her... :_ハート:"
Ugw5wAQxDeP-zlFFnkF4AaABAg,1619827200,Name & Surname,0,すぐに　良く　なりますように。
UgxvMc2HGm-cNHRjLn14AaABAg,1619827200,れっさー,0,"三度目の正直！だったけどもしかしたら初回討伐行けてたかもだよね
やはり当たらなければなんとやらとはよく言ったものです"
