id,timestamp,author,likeCount,text
UgyiYBbgCvQwgEXy0pl4AaABAg,1635724800,ニノニノちゃん,1,"おつるし！
始めにいい報告も聞けてよかった！
るしあちゃんが元気そうで嬉しかったしよかった(´;ω;｀)
スマブラ＆アンダイン戦コソ練楽しかったよ！
スマブラは終わる直前に入れた！次は対戦までいけるようがんばる！！
今日も楽しい時間をありがとう！"
Ugy7u-FS7sP15c0VTnp4AaABAg,1635724800,ぽいまる,5,"るーちゃん本当におつるしです！
スマブラもアンテも凄く面白かったです！
3:04:35るしゃしか勝たん!!"
Ugy2UPQBkmaulB40ZGR4AaABAg,1635724800,ボリサムSam★,57,"Yesterday was the day that Rushia planned to get her second  injection, but she told her doctor that last time she has allergies 2 minutes after her injection, and her doctor told her that was definitely allergy, and she might get breathing difficulties if she get injected. 
Her doctor told her how to deal with her allergy before vaccinated by taking pills and take her injection in hospital, which she can be treated even if anything happens
Also she don’t need to be so hurry and she can get her vaccination when she feel good and energetic"
UgyNtqPPayKLtRMWxCh4AaABAg,1635724800,やみい/朝日奈樒,58,"39:28 しずえでした！対戦ありがとう！
40:33 もう一回やろうって言ってくれてありがとう！2回やると入れない人が増えちゃうのでまた次の時にしずえで行きます！"
Ugy_-QpvVJpaeu5SXx54AaABAg,1635724800,ぜりー,3,"見ていてこんなに幸せな気持ちになれる配信が他にあるでしょうか？いや、ない！
スマブラもめっちゃ上手くなってるし猛者リスナーにも勝てたし、アンダインも撃破しちゃって今日は最高の日か！？そうだな！！
るしゃが元気でめちゃくちゃかわいかったし、一緒に楽しく過ごせて体が熱くなるぐらい幸せ～～:_るんるん:
これからもずっとるしゃの配信見ていたい！大好き:_きゅん::_ハート::_猫耳るしあちゅう:"
UgzkWRvOfaty5hideNZ4AaABAg,1635724800,凜祢,2,"心から嬉しい！ハッピーな日だ！！
るしあちゃんありがとう！！
そしてこれからもよろしくだよ！！"
UgyGeEDhEe9JheKM-xB4AaABAg,1635724800,しすこん,0,お礼タイムにお礼参りさする！
Ugz6zcXCh7cuJVEyZpZ4AaABAg,1635724800,よしお,2,"おつるし！！！
好きな人が二つも好きなゲームを楽しそうにやってる姿っていいねぇ"
UgzlmSmDmbxWMdftOMR4AaABAg,1635724800,Redan Kenneth Uy,56,"3:27 Introduction Start
3:54 Long Rage 1
20:47 Game Start Take 1
21:05 I AM SPEED 1 and Long Rage 2
25:28 Game Start Take 2
26:09 I AM SPEED 2

28:18 Fandead Match - Isabelle VS Ridley
32:42 Match 1 - Ridley VS Ridley
36:02 Match 2 - Ridley VS Donkey Kong
39:28 Match 3 - Ridley VS Isabelle
41:45 Match 4 - Ridley VS Terry
44:06 Match 5 - Ridley VS Mario
48:06 Match 6 - Ridley VS Joker
50:37 Match 7 - Ridley VS Mewtwo
54:15 Match 8 - Ridley VS Pokemon Trainer
57:11 Match 9 - Ridley VS Hikari/Homura
59:44 Match 10 - Ridley VS Ness
1:02:33 Match 11 - Ridley VS Joker
1:05:33 Match 12 - Ridley VS Pacman

1:09:03 Match 13 - Ridley VS Kamui
1:12:16 Match 14 - Ridley VS Kirby
1:15:06 Match 15 - Ridley VS Lucina 
1:20:18 Match 16 - Ridley VS Meta Knight
1:23:49 Match 17 - Ridley VS Reflet 
1:25:09 Match 18 - Ridley VS Isabelle
1:27:48 Match 19 - Pikachu VS Lucas
1:29:58 Match 20 - Pikachu VS Bayonetta
1:31:48 Match 21 - Pikachu VS Palutena
1:34:27 Match 22 - Ridley VS Ganondorf
1:36:36 Match 23 - Ridley VS Ganondorf
1:39:29 Match 24 - Ridley VS Pikachu
1:39:35 Game Error

1:40:13 Game Start Take 3
1:41:34 Match 25 - Ridley VS Ganondorf
1:43:20 Match 26 - Ridley VS Kazuya
1:45:16 Match 27 - Ridley VS Bowser Jr
1:48:15 Match 28 - Ridley VS Cloud
1:51:17 Match 29 - Ridley VS Dark Samus
1:53:40 Match 30 - Ridley VS Ridley
1:56:01 Match 31 - Ridley VS Ness
1:58:19 Match 32 - Ridley VS King K Rool
2:00:50 Match 33 - Ridley VS Incineroar
2:03:37 After Game Chat
2:05:43 Closing Time
2:07:13 Superchat Reading

2:14:57 Undyne the Undying Intro
Attempt 35 to 47
2:15:30 --- --- 2:19:31 --- --- 2:22:58 --- --- 2:26:42 --- --- 2:28:38 --- --- 2:31:36 --- --- 2:37:43 --- --- 2:41:51 --- --- 2:45:44 --- --- 2:52:37 --- --- 2:56:55 --- --- 2:59:54 --- --- 3:04:34 (Winning Attempt)
3:10:15 Final Blow

Notable Bless
28:49 --- --- 33:47 --- --- 36:15 --- --- 37:04 --- --- 40:31 --- --- 46:21 --- --- 52:33 --- --- 52:46 --- --- 55:14 --- --- 1:01:42 --- --- 1:19:12 --- --- 1:34:33 --- --- 1:35:42 --- --- 1:38:16 --- --- 1:39:36 --- --- 2:00:10
Notable Rage
3:54 --- --- 21:06 --- --- 2:36:59 --- --- 2:58:52
Notable Panik
33:57 --- --- 37:28 --- --- 39:55 --- --- 42:01 --- --- 48:26 --- --- 49:40 --- --- 1:00:53 --- --- 1:06:14 --- --- 1:12:52 --- --- 1:14:05 --- --- 1:17:04 --- --- 1:25:24 --- --- 1:37:01 --- --- 1:44:01 --- --- 1:56:29
Notable Kawaii
35:51 --- --- 44:37 --- --- 1:03:06 --- --- 1:08:25 --- --- 1:20:53 --- --- 1:30:11 --- --- 1:39:13"
UgywS9k14Yt1PF4Guv14AaABAg,1635724800,Icy Sporkle,0,:3
UgwjdMuvAQvpi-8TKDB4AaABAg,1635724800,mouns,3,"元気で楽しそうなかわいいるしあが見られて最高だったよ！猛者に怯えるるしあも煽るるしあも全部かわいい！色々な声を聴けて嬉しい！
スマブラでもアンダインへのお礼参りでも手に汗握る戦いを見せてくれてありがとう！
お話もありがとう！いい方向に向かいそうで本当に嬉しいよ！これからもるしあ大好き！
いつも楽しい配信ありがとうね！"
UgzIb5Qi8CeH6PaeheZ4AaABAg,1635724800,ミスるな！ひっきー,1,"スマブラ配信おつるし！2勝おめやで！👍
元気なるしあを見れてほんとよかった😭アンダイン戦クリアもおめでとう！今日はほんといい日だった。アンダイン食べてしっかりと休んでね！wまた明日ね！"
UgwpdAfgQOLBRDicqXp4AaABAg,1635724800,ゆーすけ ふぁんでっど,3,"スマブラおつるし！！
今日は2回も勝っちゃったね！！下掴みも上手くなってた！！これからもきっとドンドン上手くなるよ。きっとるしあちゃんならアンダインを倒せれるって信じてたよ。さするし！！やっぱりるしあちゃんしか勝たん！！
やっぱりるしあちゃんには笑顔が一番似合うよ！！"
UgzJB0LavhrbogYffQh4AaABAg,1635724800,キョロ,2,"おつるし～！今日も楽しかったよ！
るしあが元気でよかったよ！
スマブラ2勝おめでとう！そしてなによりも…
アンダイン討伐おめでとう！！！
覚醒したるしあはつよつよだぁ！"
UgypRECX55q0Zz8pfmt4AaABAg,1635724800,むはにたあ,3,"ホントにうれしい報告から始まった配信でした。
とはいっても数か月間かかるって話だからのんびり行こうね。
初期衣装で復活報告ってのがまた感慨深い。"
Ugy9N3H_Moa822W9SId4AaABAg,1635724800,satton takkan,0,実況草🤣
Ugxq4zOQ6BioU6ylqph4AaABAg,1635724800,たたた,2,"以前、スパチャ読みタイムは本編じゃないって言ってたけど結局本編なんだなと思いました
倒す瞬間観れなくてちょっと残念でした。"
UgyRsVH7kC00ig5BGDl4AaABAg,1635724800,ぷいぷい☆もるふ,6,"✨:_おつるしのお::_おつるしのつ::_おつるしのる::_おつるしのし:✨

るしあちゃんが体調無事で良かったし、スマブラも何回か勝てたし、アンダインも倒せたしいい事づくめだったね✨✨

アンダインとの戦い熱すぎた！！

配信してくれてありがとう、幸せでした:_きゅん:
ゆっくり休んでね:_きゅん::_きゅん:"
UgycSxTRuyKqJpk25ct4AaABAg,1635724800,美雨 吉村,2,おつるし！
Ugy8zG3ZVQlWN-770PZ4AaABAg,1635724800,じゅん【ちゃま】,2,"スマブラも、アンダイン戦もお疲れ様！
るしあちゃん本当にゲーム上手だね！:_きゅん:
次こそるしあちゃんに勝負をいぞむぞ！"
UgwM_mnxL_SZIeasg3J4AaABAg,1635724800,ZERO.B-ぜろびー,7,"元気なるしあが一番！
いい報告が聞けて本当に良かったね、、、！"
UgzkYCurCME468nGv7V4AaABAg,1635724800,"fire,",2,"スマブラ&コソ練配信おつるし！
凄く充実な時間だったよ！めっちゃ楽しかった！
明るい報告もありがとう！本当に良かった
また一緒に遊ぼうね！"
UgxnMstTs2Z6blVxkzN4AaABAg,1635724800,u kun,2,neeeeeeeee
UgzpAmQgBKgv4I1EOT54AaABAg,1635724800,サエ,1,"おつるし～
るしあちゃんが元気になってくれてよかったよ
学生でお金に余裕がないから神社にお参りもスパチャもメンバーにも入れてないけどいつもるしあちゃんの幸せを願ってるよ
今日の話を聞いたとき涙がにじみ出て一昨日と昨日流した悲し涙が今日うれし涙に変わったから本当に良かったよ
これからアレルギーをなくすのにたくさん時間がかかるけど私たちはいつまでも待っているよ
なにがあってもついていくね！るしあちゃん大好き💖
るしあちゃんが救われますように"
Ugw-XiL9nhY6SGdn4m94AaABAg,1635724800,That Time I Got Reincarnated by 🦋🦋,6,"おつるし～

Rushia finally got the revenge!
Congratulations Rushia-chan!!!!"
UgxbyVeSxSe05NVysfh4AaABAg,1635724800,【星野カービィ】,4,おつるしだ〜よ〜るしゃはヒーロー！！！
UgwQEQNYtKZRvnl7nh94AaABAg,1635724800,蒼い鳥,1,"おつるし！
元気な姿が見れて嬉しいよ！！:_るんるん:
今回もボコボコにされてたけど2回も勝利おめでとう！
次回も楽しみに待ってるね♪

スパチャ読み中に気付いたんだけど
初期衣装の胸元の蝶の羽の部分透けてるんだね
後ろのコメントた背景が映ってる！

アンダイン戦おめでとう
次はサンズ戦ですね。頑張って！"
