id,timestamp,author,likeCount,text
UgxrkFvR_jE5agpdLaF4AaABAg,1640995200,LEGENDS,0,"1:42:06

1:59:15"
UgzXzriVJL1AlnUaJ8F4AaABAg,1635724800,ポテコロ,0,かわいい
Ugwhca9qoGraqnOKdI14AaABAg,1630454400,アスラン・ザラ,0,10:22 グフカスタムあるやんけ
Ugz2U-SKAc7TFwhaUR94AaABAg,1627776000,るしあぺったんの会,1,11:41 毎日リスナーとリアルサバゲーやってる癖に
Ugy6MWTKIKX1UmdYYWJ4AaABAg,1627776000,Brownie妮,0,あっ.......
UgzviRdUodfRNskd2kl4AaABAg,1627776000,Brownie妮,0,良いね〜〜〜
Ugy4Xp4LUSaNl7ulu1F4AaABAg,1627776000,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
頑張ってください‼️
応援しています✨"
UgzSjFpoL3EJWOOf-a14AaABAg,1627776000,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
すいませんでした😭"
UgxnN2OJM4kBqaJ5swR4AaABAg,1627776000,とあるしゃちょー&バロリ&広瀬すずと大江梨久がすきな高橋コトノハ&ごには?ロバート数ノ子、石川依与吏,0,"るしあちゃん
許してください😢"
Ugz3mAe8tZRlsw-iGsl4AaABAg,1625097600,Mai Shiranui,2,55:21 Hahahahah
Ugz9pSgA1vqSV3yMQN54AaABAg,1617235200,張竣傑,1,2:35:17🌈SC
UgwQ5f0dNYpi_XBmuj94AaABAg,1617235200,お茶漬け,22,52:50 左のPC草
UgxD8Ga0M_r-nHPVXbR4AaABAg,1617235200,しゅうShuu,5,"53:09
これは〜あれだよ！ほら！所詮ぺこらは使い捨ての女でひんn...ゲフンゲフン、るしあはほら本命だから、ね？"
Ugy50VP8FWR_zksiiGR4AaABAg,1617235200,ねこ桜,0,ヤバい俺の部屋もまだ扇風機あった......................😅。
UgxLyRw8NpG0fiya38R4AaABAg,1617235200,ZeroToHero,3,56:53 present from rushia
UgwCrqIY78t-fBNEdnR4AaABAg,1617235200,Ледяная Роза,1,Сижу ничо не вдупляю :)
UgylUjcoVkdiNT17dVF4AaABAg,1617235200,Putra Ramadhan,1,"Gimme more your voice song rushiaaa, Great voice song rushia"
UgwnLwUAzwHC8CkUtn54AaABAg,1617235200,Silas Paschoal,0,Rushia chu is blessed
UgxcYON-Q8Zvflb2VGl4AaABAg,1617235200,柊,0,Merry X'mas
UgwUjFMK5rLkFiGo16N4AaABAg,1617235200,Adam Pendek,1,Damn 46:23 those tissue i understand u men XD
