id,timestamp,author,likeCount,text
Ugy9n74DK-ZJP9ZJ41p4AaABAg,1646092800,K-taぁー,2,"2:39:45  一番の思い出の配信。
この頃はチャンネル持って無くて「ありがとう」も言えなかったけど、もう誰も見てないと思うけど、本当にうれしかった。
るーちゃんをホロの中でも推すって決めた。
今でもるーちゃんから貰ったヒバニー(エースバーン)は、今までもこれからもずっと宝物。
もう遅いけど、改めて言わせてください。
交換してくれてありがとう！！
るーちゃん大好きだよ！！"
Ugy_uCXn5oOCZcKvURF4AaABAg,1638316800,ワラソティス,0,ようすけ（エレキブル）が倒された時は、友達にようすけって人がいるから「ようすけぇぇっぇぇぇぇ！！！」ってつい叫んでしまった
Ugwr3nOa7LdhEGqlYUJ4AaABAg,1630454400,凜祢,0,2:04:30かわいいw
UgweQSnLbm9lk6RRQQt4AaABAg,1619827200,core,0,推しポケが被るとか最高かよ
Ugww-VeazaDzBLTv4Rt4AaABAg,1619827200,れい,0,ミュート忘れをゴーリキーのせいにするなよ‪w
UgxB5YKqcC8toP8UFrR4AaABAg,1617235200,Punnawat Thubtawee,0,33:00
Ugzpm0N3CGwtuYJRIMZ4AaABAg,1617235200,951TheFly,1,Its Called Rushia the Movie.
UgxixUZdIKBQuqKq3J94AaABAg,1617235200,吉原勝利,0,22:35
Ugwl1yJq7k1NbaoV7TB4AaABAg,1617235200,OkayUe,0,I want rushia go to his father birthday ?
UgwsYANrUEUSCXhZ8_N4AaABAg,1617235200,ろいろい,0,"やっぱりるしあちゃんのポケモン配信は見てて楽しいなぁ
対戦楽しいから無限にやっちゃうのは凄い分かる"
UgyNtplNSy0_6h-8-Y14AaABAg,1617235200,白濁液翔,0,常時ダイロックしないで
UgzYW0lDyGnFsRHJTcR4AaABAg,1617235200,あるふぁ‹Rdx›,0,自分用1:34:23
UgwwO9zDS5Pk-FceaNx4AaABAg,1617235200,Vergil Must Nut,1,"So....
Can we call Rushia a poketuber now?
Huhehe"
UgzmuB_0ObPHwcAg9D94AaABAg,1617235200,山田貢土,0,初めまして！
UgyR1ZF6cMVLs34RWa54AaABAg,1617235200,ヴァロン,14,るしあちゃん交換ありがとう〜。交換用に作ったはあちゃま使ってくれて嬉しかったよ
UgxlU_2RzSHyBAVd_x14AaABAg,1617235200,Josh M,0,Been waiting for more hololive Pokémon the others ones got archived or members only
UgyO1N0n-qK2x7tjq4l4AaABAg,1617235200,Josh M,1,I really want hololive to do a Pokémon tournament vs each other I would pay to see it
UgyO1N0n-qK2x7tjq4l4AaABAg.9J4y4CoCSie9J6-fYIz_9D,1617235200,ヒロノシ,0,"Coming soon, in Niconico"
UgyO1N0n-qK2x7tjq4l4AaABAg.9J4y4CoCSie9JAIJAbMnD-,1617235200,Josh M,0,Nintendo would so demonize it
UgyO1N0n-qK2x7tjq4l4AaABAg.9J4y4CoCSie9JALEPMNR9U,1617235200,ヒロノシ,0," @Josh M  It should be okay, since Dwango is organizing this event."
UgxdJZBkO7lAaGy5-ZB4AaABAg,1617235200,ZeroToHero,0,Congrats on 900k rushia!!🎉 Lets go 1M subscribers!
Ugw6Wz_zZjX3kA72fTh4AaABAg,1617235200,Ahmed Lag,2,"Hololive slowly become nekolive 

:p"
UgzedRueb3pDT_hCfRl4AaABAg,1617235200,小さい頃から富永さん,1,2:27:47 「半分顔切れてますよ…(自分は全ギレ)」
UgwmE3uxFYLSRkHFAmx4AaABAg,1617235200,煉夜,1,今回の配信楽しかったです‼️
UgxXUrdlQx542JSfsuJ4AaABAg,1617235200,Ro 45,0,"Rushia is so cute!
Good luck with Pokemon~"
UgzgtBB5IUJ_fmbq1wt4AaABAg,1617235200,Huanyeo,0,Really missed you nekoromancer
Ugxus9O6GjrKLZZJ_aB4AaABAg,1617235200,uni,0,FUCK I MISSED THIS AND DIDNT KNOW IT WAS POKÉMON JVONNOUFDVUHIFDFBDIUGSIGHUSFUHISRFGG
UgwUNsV8HXzB4A9Ocrp4AaABAg,1617235200,Santi,0,"Que feo es no saber que comentar, porque no te enteras de nada de lo que dice rushia y tampoco de que dicen los comentarios xd"
UgyljuQ9WhoVdEev0wx4AaABAg,1617235200,alice,2,るしあちゃんポケモン本当に楽しそうにするから好きなの伝わってくるし見てて楽しい
UgyAxXdfPvc6n0nBLYJ4AaABAg,1617235200,るんぱっぱ,3,るしあちゃんおかえり！！本当ポケモン配信してほしい
UgzRHSWGOhV2NTbQjOR4AaABAg,1617235200,ぜりー,2,るしあがポケモン配信してくれてほんとに良かった:_大泣き::_ハート::_きゅん:
UgyKRAZqNvgvGWadxNV4AaABAg,1617235200,むはにたあ,2,"長時間ありがとうございました。
体調は治りかけて来た時に油断すると拗らせる可能性あるから、のんびり元に戻していきましょー。"
UgxF6YW5OGYYA0QKbEl4AaABAg,1617235200,Jorge Salazar,1,"Me gustan mucho tus streams y me encanto tu diseño de gatita, muy hermosa Rushia uwu"
UgzMxvbLG6nJ9KqI2Dx4AaABAg,1617235200,Taoutes,1,Happy belated birthday to Rushia's dad
UgxxBPFxGHku8xn7tcR4AaABAg,1617235200,Lucho Pierce,4,Me encanta la voz de rushia!!!! es re sweet!! con esa voz conquista las almas de los muertos :)
UgwfdIJ103k1AB2vSQ14AaABAg,1617235200,Nyandere,6,I tried to trade her my best IV shiny Litten that I hatched but I couldn’t. I don’t think there is a delay in her to stream to live. But any fandead know if there is? Hopefully she does more Pokémon streams.
UgwfdIJ103k1AB2vSQ14AaABAg.9J3jIsKI6CV9J3jMAlPHWw,1617235200,Nyandere,7,By best I mean it’s 5IV not a perfect 6IV
UgwfdIJ103k1AB2vSQ14AaABAg.9J3jIsKI6CV9JEOszQPY0A,1617235200,MetalGearBlaze,1, @Nyandere  Maybe someday Ollie will stream Pokemon SwSh and you can share something with her o3o
Ugw6nld8d4GOty488fB4AaABAg,1617235200,あじ卵,2,とても楽しかった…！ありがとう(｡uωu)♪
UgxBSYYxRY0IkmkLpGh4AaABAg,1617235200,シアネッド,0,5:14:36 自分用
UgwSmw4Sp4xMBrCYnsd4AaABAg,1617235200,Night Sky,5,るーちゃん　のおとさん　Birthday　おめでとう　( ◜‿◝ )
UgwSmw4Sp4xMBrCYnsd4AaABAg.9J3hKydnLLs9L9W0etGxpz,1617235200,増殖するQ,0,優しいコメントにホロリ
UgxsTx-NMYsfRCipHBl4AaABAg,1617235200,16-黃亮維,5,"3:36:02 ~ 3:49:36 
It is me.....
I have fun playing with Rushia 
Sorry for bringing chansey......."
UgxsTx-NMYsfRCipHBl4AaABAg.9J3em9UULwb9J4g5wGqSrT,1617235200,Aaayjay,0,Mad man
UgwY6XORHgtg-p9DUVl4AaABAg,1617235200,Argee Onaler,1,Kaaawwwaaiiiiii👉👈💖🥺
UgyBARLXXAGAidG3_-B4AaABAg,1617235200,かんそうはだシノノメ,4,2:05:11　対戦ありがとうございました＠シノノメ
Ugy02sBP1eUIJHhc51R4AaABAg,1617235200,Npmevlf,2,"Welcome back rushia !!, omedeto 900k sup !!!"
UgwhI34ip5FgAbbc5yd4AaABAg,1617235200,マツメ,1,"久しぶりの配信楽しかったぁ‼️
病み上がりなのに5時間も配信ありがとう、おつかれ様〜
るしあちゃんの声が聞ける日々に感謝🙏"
UgydirfRt8xVu7KVBnd4AaABAg,1617235200,rubbermarble888,13,"Tfw she received a Galvantula called Haachama...
はあちゃま？！ 2:48:12"
UgxTn-JZoqWvzkIcswV4AaABAg,1617235200,デデデ陛下,0,いい叫びっぷりだったぞぉ〜
Ugwd6caumoOJHyMuXdd4AaABAg,1617235200,しょうごん,1,"おつるし！
久しぶりにポケモン剣盾をプレイするきっかけを与えてくれてありがとう🦋

ただ、1人のふぁんでっどトレーナーと2匹交換したのはどうかと思った…。

同じようなことを思ってたりチャットで指摘してた人もいたから交換は1人1匹までというルールを設けてほしい。

不満をぶちまけてしまって申し訳ないけど、理解していただけると助かります。"
UgzqjFX_pp8j5UK9c4V4AaABAg,1617235200,アレク,11,るしあパパに電話 32:41
UgxCgGanZEplHjfs_Kh4AaABAg,1617235200,RIE.月代 理恵,2,"I miss you so much
Thank You for today stream :_きゅん::_ハート:"
Ugzo8OXECRe1eM4yT2J4AaABAg,1617235200,はりりん,4,いつもこんなに楽しいポケモン配信出来たらいいのにね:_るんるん:
Ugx8ZPF-K4p3ChtQqrV4AaABAg,1617235200,ペリクレス,8,再来鼓膜ないなった。けど平常運転で安心しました。
Ugx7vyyoI6VcZXj2fKh4AaABAg,1617235200,ヒロノシ,0,"戻ってきてくれたから言わせていただきますけど、自分がどれだけ皆に心配かけたか、本当にわかってるんですか?
泣き出して配信切ったと聞いて……
2日間も音沙汰なしで……
てっきりそのまま卒業してしまうかも知れないと思ったんですよ。
それなのにまるでどうということなかったかのような口振り……
厳しい言葉を浴びせるようですみません。
ですが、どうかもう少しだけでも自覚してください。
貴女が悲しむ顔を見て、悲しむ人が沢山いるということを。"
