id,timestamp,author,likeCount,text
Ugx4rbBqZ10WxOyUQI94AaABAg,1648731600,小川っち,0,:_ハート::_ハート::_ハート:
UgzR2Kg3JkUBFIdxo8F4AaABAg,1646092800,[Shinigami],0,すべてに感謝します！ 何が起こっても私たちはあなたと一緒にいます:_るんるん::_きゅん::_ハート:
UgzWCxmSkuZ2iCvizLZ4AaABAg,1625097600,デージマ　ディエゴ,0,"メンバーじゃない時は、何に悩んでるのかなって毎日がモヤモヤでした

新参者だからまだまだわからないことだらけだけど、

こんなにもすごい楽しい配信を作れる凄い人だって思って、毎日頑張って生配信見に行ってました

傷つけることになるかもしれませんが、

言っていいことと、言いたいことを我慢しなければいけないってこともあるかもしれません

居なくなるならわざわざ言いに来ないでよ、
黙っていなくなってよの発言が

知らない人から見たら
正直、ショックでしたし
がっかりしてしまいました

今までのやりとりが積もり積もってなのかもしれませんが

それは言ってはダメなのではと思いました

生配信を見ていつかはメンバーになりたいと思ってましたが、この一件でためらいが生まれてしまいました

ズバって言えることはいいことです
良いことと悪いことは常に背中合わせですね
難しいけど一つの意見として受け止めてもらえると助かります


見ながらの投稿でしたごめなさい、
上記は悩みの種の一つではないと思いましたが、やはりありましたね
道連れに抜けた人は無視しても良いと思う
たしかにトラウマですね

同じ気持ちになれればいいけど、道連れで抜けていく人は、それだけの価値しかなかったのだと思うしかない

やめたことを後悔させてやりましょう！

当たり前だけど、見てる側と配信する側の感じるものが違うのも知れました
ありがとうございます
知った上でもコメントは残しておきます

それでもやっぱり、メンバーになりたいと思って入りましたので、時間があったら会いに行きます
楽しい時間を作っていきましょう！

えらい！ちゃんと考えてふぁんでっどさんと話し合えること
辛い時はちゃんと休むこと
まもなく2周年！
応援してます

最後の方は、らしさが出ててして楽しかったです！"
UgzWCxmSkuZ2iCvizLZ4AaABAg.9P8eMqXg66e9P8ngyydNkJ,1625097600,デージマ　ディエゴ,0,"マリンのDVはよかっかたぇで話題を振ったことも鳩なのかもしれません、近々ではすいちゃんは音量のところも知らず知らずで鳩してたかもしれません
本当にすみませんでした"
Ugy-LaxZwQ1xPkxi6t94AaABAg,1625097600,誓帝愉悦,2,"この配信の数日後にるしあちゃんのメンバーになった自分・・・
たくさんの辛い気持ちを我慢し続けてたんだね・・・受け止めた上で書くね。
（※既に気持ちの整理が完全に決着がついた問題であるなら、ごめんなさい。）

　スパチャ等の晒し行為については、運営さんやマネージャーに相談している時点で十分すぎる対応だと考えています。
ふぁんどっとの皆を見えない所で守ってくれてありがとう。

　本題ですが、るしあちゃんの悩みを配信を見た上で整理すると
『解決できない問題に対して、解決できていない問題に対する自身の気持ちを引きずらない方法』
について悩んでいると推察します。

　助言としてはカウンセリングの利用を提案します。カウンセリングを通して、自身で気持ちを引きずらない方法に気づくのが
最もるしあちゃん自身納得ができる答えになると思います。カウンセラーは解決方法を提示せず、るしあちゃんの気持ちを受け止めた上でるしあちゃん自身が気づいていない自身の考えや思考に気づかせてくれると思います。

　私はカウンセラーの有資格者ですが、るしあちゃんのカウンセリングはできないです。これはカウンセラーは相談者に対して、
色をつけていない状態（全く知らない状態）でないとカウンセラー自身の考えが紛れてしまい、カウンセリングにならないからです。
なので相談するカウンセラーは「Vtuberを全く知らない方」が望ましいです。ただ、カウンセリング上、自分の情報を色々と
話すことになりますので、カウンセリング利用前にはマネージャー等に事前にご確認をお願いします。

　長文失礼しました。"
UgzcHr3namjrnlZEH4p4AaABAg,1625097600,Fibi,0,いつも配信お疲れ様:_なのです:
UgzcHr3namjrnlZEH4p4AaABAg.9O1HQNsQOIY9Q06Ca3Y13r,1627776000,あせあせ,0,なんでバッチがないんだ！？
Ugw8RYQFAOLZz8t2Jyp4AaABAg,1622505600,いずのかみ,0,"色々と相談してくれてありがとう。リアタイで相談に乗れなくてごめんね。
伝えづらかったと思うけど話してくれて嬉しいよ！
的確なアドバイスはできないかもだけど、これからもるしあを支えたいと思っているよ
おつかれさま。出会ってくれてありがとう"
UgyHKmNimMfzfZ6OLrV4AaABAg,1622505600,結羽,0,"色々話してくれてありがとね。
正直なところ自分にできることってほとんどないけど、なにかできることがあったらそのときは努力します。"
UgyW8xYMrNMuoC7b7I94AaABAg,1622505600,Jima R,0,"配信来られなくてごめんね。
ファンのために色々考えて、悩んでくれてる愛情深いるしあちゃんが大好きです。
これからもずっと愛しています。るしあちゃんから受けた愛を返せるように、できる限りのことをしていきたいと思います。"
Ugyb6kTJz--EdayIO3R4AaABAg,1622505600,soreiyu52【それいゆ】,0,"るーちゃん。色んな考えの人がいる中で
しっかり考えてくれてとても嬉しく思います。
私はるーちゃんの配信はとても面白く見ています。

ただ、私の意見だけが正しいわけでもないです。
一緒に少しづつでも解決できたらと思います。
大好きです。"
UgzqwlQdGqlwi0LNth14AaABAg,1622505600,オインク,1,出来れば、配信初心者の為に『るしあちゃんからのお願い』みたいなルールが欲しいな〜。正直に言うと、ハトって言われてもなんの事？ってなった事があるので、業界用語少なめで(｡-_-｡)
UgyxyqcxLrRtP30rVsx4AaABAg,1622505600,島咲空,0,色々お話してくれてありがとう
UgzMEfWMIpjKT5wGQtl4AaABAg,1622505600,たんたん🛸💜,0,"色々お話してくれてありがとう！
話を聞く事しか出来ないけど呼んでくれたらすぐに駆けつけるからね！
これからもずっと応援するよ！！"
