id,timestamp,author,likeCount,text
Ugwyh-mVi0JvmIiOASF4AaABAg,1648736160,匿名 希望,0,😓
UgyU3wLTHMrzmQOhsv54AaABAg,1648728000,Dango,1,You always have been...🦋❤️
UgxSsJnHPRf_m2dn73F4AaABAg,1648724400,StriderLoweyd,0,"Sht, it's already raining"
UgyHRFj5Uu1qHbPg2514AaABAg,1648713600,"Ζ-Α, KFP Gnosis",0,BOIN BOIN Forever
UgxADmngTcBLsSJaPxd4AaABAg,1648710000,Gentry Dean,1,"Rushia said it, so you have to believe it."
UgzwQqd6JtsSjRzSJ-B4AaABAg,1648684800,JrPe1o,0,🌺🥀
Ugy37nP_yF252hKsnfZ4AaABAg,1648684800,ぴ,2,このどうがかわいくてだいすき
UgzwcCRtjjULGJxez_t4AaABAg,1648166400,random tako,6,"Yes, you'll be our boing boing necromancer forever ❤️❤️❤️ 

Otsurushi~ (༎ຶ ෴ ༎ຶ)"
UgwhqFMOpbfZ-arnvNR4AaABAg,1646956800,YONTOL,26,You will always gonna be my cute 'boing boing not pettan' necromance ❤
UgxSn3zSOMTlstulkJF4AaABAg,1646352000,ccrob2,8,o7
Ugy1oHRw5g2KsYhoXfF4AaABAg,1646352000,Monzu,6,I will miss her
UgyCRTDIZpeq9rPxw5N4AaABAg,1646352000,JN9,8,"Sayonara, boing boing Rushia."
UgwfKs04jgKeASdoEbF4AaABAg,1646352000,gaMing Boi,2,o7
UgzOvwW0-Qep83njSGF4AaABAg,1646092800,大大,4,Bye bye
Ugyia-o040VZQMPX_ZF4AaABAg,1646092800,kusalebady,10,YES YOU ARE!!
UgxJv7L9i7zA0QXNRaB4AaABAg,1646092800,ĐôngVP,5,Goodbye...
UgzwtFTZzVBa3YECAXF4AaABAg,1646092800,kawi,12,why is boing boing rushia got into my recommended now..?
UgwoT0VzvMWrBnwEHJB4AaABAg,1646092800,warmmilks 4L,7,"Yes, Rushia. You will be always boing boing. See you soon, and good luck on future endeavours. We fandeads will miss you dearly."
UgzkwlD9yyUvtyI_J3J4AaABAg,1646092800,Ximeno Hurtado de Tsunomaki 08,0,"Extrañaremos sus expresiones de que no es plana, que sí es boing boing."
UgzY5tEuEbBq4g3X64d4AaABAg,1646092800,Hoàng Anh Ngô,5,I've downloaded this precious moment.
UgyAtygFBSQJKp5-fsh4AaABAg,1646092800,Jack Der Hauptmann💀,0,o7 we'll meet again; in a better place; at a better time; under better circumstances
Ugw4r6xRifVMDXS4nV54AaABAg,1646092800,Ben Lin,7,YEAH BOING BOING
UgyTmPfV6CfXkZEtOud4AaABAg,1646092800,Abu Taher,33,"You're BoingBoing Rushia forever in my heart, I love you. I hope you can find your happiness in your next journey."
UgyTmPfV6CfXkZEtOud4AaABAg.9Ys5lQbXuzS9Zvgilw0tx2,1648166400,Blitxaac,0,"It's just kinda sad, why do they want to remove it completely...but I suppose they've given archivists ample amounts of time to do their thing.."
UgyTmPfV6CfXkZEtOud4AaABAg.9Ys5lQbXuzS9_DIL0p1-VM,1648684800,JN9,3," @Blitxaac  Even every single video is archived, the experience watching it won’t be the same anymore."
UgyI8ruSjDWmsUZYAat4AaABAg,1646092800,Vạn Thành Đỗ,6,Rushia boing boing forever 😞
Ugwf057Y-aLGXF3iC794AaABAg,1646092800,Alpha 민덕,4,Oke u re boing and forever boing i miss u :((
UgwVKaY-OsUU6C209Hl4AaABAg,1646092800,MercuryPvpcraft,0,bro they really dropped her for a bussniss matter what would be that reason she brought them there cash got them there fans nothing major happend ecept for a dm i may not know the full story but she brought them what they asked for even koko and they just throw her to the side she was happy with what she was doing she was haveing fun and u guys drop her for a dm and if she was leaking info where is it i seen non from the tweets and nothing in youtube and they wont give us a full story
UgwVKaY-OsUU6C209Hl4AaABAg.9Yre0weWILu9Z1poUtWihm,1646352000,チフット🍙,0,Pretty sure there's a lot of videos talking about this.
UgwVKaY-OsUU6C209Hl4AaABAg.9Yre0weWILu9Z74qBIgbbx,1646956800,MercuryPvpcraft,0, @チフット🍙  yeh they dropped her cus she leaked some info that broke the contract but thers nothing saying exactly what she broke
UgwVKaY-OsUU6C209Hl4AaABAg.9Yre0weWILu9Z78_noHjyr,1646956800,チフット🍙,0," @MercuryPvpcraft  She leaked confidential info that was supposed to be company secrets and not to be disclosed to others, and now you want the company to disclose what they deemed as confidential to public as evidence? Ironic."
UgwVKaY-OsUU6C209Hl4AaABAg.9Yre0weWILu9ZAkNCFVokz,1646956800,MercuryPvpcraft,0, @チフット🍙  ok think u have seen meny clips and ect of ppl explaining it right out off MENY CLIPS NOT 1 has anything she said been or sounded confidential so all im asking from them is to atleast tell us a small tad or in what way it effected them cus from all of what i see is they kick her to the side saying she spilt info and then theres no clips or ev she did and TO BOOT a vid i seen a guy had a thought maybe they kicked her to the side so they dont need to deal with the drama but i could be wrong but still they give no explanation or crutal detail out and if u think if she already leaked why would they need to hide it get it?
UgwVKaY-OsUU6C209Hl4AaABAg.9Yre0weWILu9ZBVXw8T9ta,1646956800,チフット🍙,0, @MercuryPvpcraft  Facepalm
UgyAO4U6YgTbkVN_gS54AaABAg,1646092800,Green T,9,And you'll always be boing boing rushia o7
UgxnT78lKyapJtDwiWR4AaABAg,1646092800,whatsuuuuuuuuuuuuuuu,16,Archive her shorts
UgxnT78lKyapJtDwiWR4AaABAg.9YpeDF7Yy3z9YreoZzq3c7,1646092800,るしあ is ぺったんCh.,6,"I'm actually archiving some of her Shorts right now. It will take a while, but I'll post it in my channel. ( I also downloaded some of her Birthday Streams and Concert streams as well. )"
UgxnT78lKyapJtDwiWR4AaABAg.9YpeDF7Yy3z9Yrmw1Lo3UH,1646092800,るしあ is ぺったんCh.,4,UPDATE: I have uploaded most of her short videos now. I'll donwload the rest tommorow.
UgxnT78lKyapJtDwiWR4AaABAg.9YpeDF7Yy3z9Yrwyx5lr9f,1646092800,Gacha_player,1," @るしあ is ぺったんCh.  , thank you so much! God bless you!"
UgxnT78lKyapJtDwiWR4AaABAg.9YpeDF7Yy3z9Yrwz53l6Ts,1646092800,Jean Driftstein,1, @るしあ is ぺったんCh.  I will give you a sub
UgxnT78lKyapJtDwiWR4AaABAg.9YpeDF7Yy3z9YubQE0csQz,1646092800,kevinthedutchcarfan,1," @るしあ is ぺったんCh.  thank you, i'll be subscribing if you don't mind now"
