id,timestamp,author,likeCount,text
UgyiM_MnQI5a5ZY60Lx4AaABAg,1648735200,Ben Lin,0,Oh boooi
Ugy9nBTnFc663bcDybZ4AaABAg,1648728000,ねっぺぺぇのネペンテス,0,"初誕生日おめでとう！！:_るんるん:
これからも幸せでありますように:_ハート::_きゅん:"
UgxBqWFJ6itkiwvLNTl4AaABAg,1648717200,パルン,0,るしあありがとう
UgxSf1LcvL8oK5WtrEx4AaABAg,1648695600,Ahmed S,0,"ありがとう。
Thank you for last 2.5 years.
Goodbye Rushia."
Ugwzf7plb9XSNpuflzB4AaABAg,1648684800,気ままな自由人,1,お疲れ様でした。
Ugzz-fO9L5K7WJ8SV0V4AaABAg,1647993600,みすかしほたの,1,Thank you rushia
UgxobOFOtMdcjWlD3kB4AaABAg,1646956800,IdenityX Unknown,2,"COVER CORPORATION PLS DON'T DELETE RUSHIA-CAN'S YOUTUBE CHANNEL PLSSSSSSS:_しょぼん::_しょぼん::_しょぼん::_しょぼん:

Rushia just got facepalm by the OBS before the video started:_くさｗ:"
Ugw-kz87FLW5DMI2E1F4AaABAg,1646956800,IdenityX Unknown,1,":_きゅん::_あせり::_あせり::_きゅん::_ドクロ::_きゅん::_きゅん::_きゅん::_あせり::_おこなのです::_ドクロ::_おこなのです::_あせり::_きゅん::_ドクロ::_きゅん::_あせり::_おこなのです::_あせり::_きゅん::_あせり::_あせり::_きゅん::_あせり::_あせり::_おこなのです::_あせり::_きゅん::_あせり::_おこなのです::_あせり::_きゅん::_あせり::_あせり::_あせり::_おこなのです::_あせり::_おこなのです::_おこなのです::_あせり::_きゅん::_あせり::_あせり::_ドクロ::_きゅん::_あせり:
                      :_ハート:                  :_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫:     :_ハート:       :_ハート:      
       :_ハート:                :_ハート:    :_サイリウム碧::_ハート:HAPPY BIRTHDAY RUSHIA-CAN:_待機中::_るしあの::_ハート::_サイリウム紫:            :_ハート:            :_ハート:
           :_ハート:    :_ハート:             :_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧:  :_ハート:      :_ハート:              :_ハート:
:_きゅん::_あせり::_あせり::_ドクロ::_ドクロ::_きゅん::_あせり::_ドクロ::_おこなのです::_あせり::_きゅん::_おこなのです::_きゅん::_ドクロ::_おこなのです::_きゅん::_あせり::_きゅん::_おこなのです::_あせり::_おこなのです::_おこなのです::_きゅん:
:_あせり::_きゅん::_ドクロ::_おこなのです::_おこなのです::_おこなのです::_あせり::_あせり::_きゅん::_きゅん::_あせり::_きゅん::_ドクロ::_きゅん::_あせり::_ドクロ::_おこなのです::_きゅん::_あせり::_あせり::_おこなのです::_あせり::_きゅん:
                                                             :_サイリウム碧::_ハート:Love Your Voice:_ハート::_サイリウム紫:"
UgwxEsbVgh3aKVWDVXB4AaABAg,1646956800,IdenityX Unknown,1,":_きゅん::_きゅん::_あせり::_あせり::_きゅん::_あせり::_おこなのです::_おこなのです::_あせり::_あせり::_ドクロ::_ちょうちょ::_ドクロ::_きゅん::_ちょうちょ::_ちょうちょ::_おこなのです::_あせり::_きゅん::_ドクロ::_きゅん::_ちょうちょ:                        
:_ちょうちょ::_ドクロ::_きゅん::_ちょうちょ::_あせり::_おこなのです::_きゅん::_きゅん::_あせり::_おこなのです::_きゅん::_ドクロ::_おこなのです::_あせり::_ドクロ::_ドクロ::_ちょうちょ::_おこなのです::_きゅん::_ドクロ::_きゅん::_あせり::_あせり:

                             :_ハート:       :_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧:             
                            :_ハート:    :_サイリウム碧::_ハート:HAPPY BIRTHDAY  RUSHIA-CAN:_こんるーー::_るしあの::_ハート::_サイリウム紫:              :_ハート:                :_ハート:
         :_ハート:                        :_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫::_サイリウム碧::_サイリウム碧::_サイリウム紫::_サイリウム紫: :_ハート:                :_ハート:            :_ハート:
:_きゅん::_あせり::_きゅん::_あせり::_おこなのです::_あせり::_おこなのです::_あせり::_きゅん::_ちょうちょ::_ドクロ::_きゅん::_おこなのです::_ちょうちょ::_きゅん::_あせり::_おこなのです::_あせり::_きゅん::_おこなのです::_きゅん::_ちょうちょ::_きゅん:
:_あせり::_きゅん::_きゅん::_ドクロ::_おこなのです::_おこなのです::_おこなのです::_あせり::_ドクロ::_ドクロ::_あせり::_あせり::_おこなのです::_ドクロ::_きゅん::_あせり::_おこなのです::_きゅん::_ドクロ::_あせり::_あせり::_あせり::_きゅん:

                   :_ハート:                :_ふぁんちゃん::_ふぁんちゃん::_サイリウム碧:We wish you a Happy Birthday:_サイリウム紫::_ふぁんちゃん::_ふぁんちゃん:      :_ハート:   :_ハート:"
UgzO-b6ykZggwLXiVFt4AaABAg,1646092800,#ぱんぱあす,1,誕生日ももう祝えないんだね、
